"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","124.72","124.72","122.75","123.72","122.96","123.12","123.35","163.45","109.90","14,63,058","18,04,62,491.18","15,805"
"23-Aug-2024","EQ","124.40","124.40","122.70","123.52","123.76","123.72","123.43","163.45","109.90","11,45,160","14,13,43,066.51","12,803"
"22-Aug-2024","EQ","123.35","124.45","123.01","122.67","123.60","123.52","123.76","163.45","109.90","11,75,788","14,55,10,201.20","10,674"
"21-Aug-2024","EQ","122.83","123.70","121.92","122.83","122.90","122.67","122.75","163.45","109.90","10,50,749","12,89,81,913.48","8,503"
"20-Aug-2024","EQ","121.55","123.49","121.12","121.46","122.99","122.83","122.29","163.45","109.90","10,37,976","12,69,35,546.42","11,661"
"19-Aug-2024","EQ","122.89","123.62","121.05","120.81","121.48","121.46","122.00","163.45","109.90","12,74,648","15,55,02,244.51","9,942"
"16-Aug-2024","EQ","118.39","121.20","117.77","115.98","120.70","120.81","119.83","163.45","109.90","21,97,828","26,33,73,404.53","18,632"
"14-Aug-2024","EQ","118.05","118.05","115.31","117.05","115.98","115.98","116.15","163.45","109.90","14,58,545","16,94,16,706.73","23,889"
"13-Aug-2024","EQ","118.90","119.94","116.64","118.43","116.93","117.05","118.12","163.45","109.90","13,94,172","16,46,79,398.83","18,751"
"12-Aug-2024","EQ","118.69","119.91","117.55","118.80","118.40","118.43","118.64","163.45","109.90","10,84,817","12,87,02,947.26","7,436"
"09-Aug-2024","EQ","119.00","119.70","118.33","117.81","118.98","118.80","118.99","163.45","109.90","8,77,200","10,43,80,923.92","8,897"
"08-Aug-2024","EQ","119.00","119.90","117.30","118.98","117.50","117.81","118.39","163.45","109.90","15,63,090","18,50,55,420.86","17,459"
"07-Aug-2024","EQ","120.50","120.90","118.05","119.18","118.99","118.98","119.15","163.45","109.90","17,17,370","20,46,29,136.84","22,714"
"06-Aug-2024","EQ","122.80","122.80","118.38","119.03","119.04","119.18","119.78","163.45","109.90","21,47,881","25,72,77,390.66","18,631"
"05-Aug-2024","EQ","122.70","122.70","118.36","124.53","119.18","119.03","119.72","163.45","109.90","39,94,639","47,82,48,019.76","32,384"
"02-Aug-2024","EQ","123.91","125.17","123.48","124.79","124.63","124.53","124.24","163.45","109.90","11,66,925","14,49,82,809.36","16,312"
"01-Aug-2024","EQ","127.00","127.10","124.42","126.44","124.67","124.79","125.57","163.45","109.90","17,18,192","21,57,45,616.16","14,303"
"31-Jul-2024","EQ","127.50","127.90","126.11","126.92","126.36","126.44","126.51","163.45","109.90","13,57,507","17,17,39,369.27","11,210"
"30-Jul-2024","EQ","125.90","127.49","125.51","125.24","127.00","126.92","126.75","163.45","109.90","17,75,489","22,50,46,002.66","12,097"
"29-Jul-2024","EQ","126.98","128.40","124.90","125.29","125.40","125.24","126.44","163.45","109.90","44,67,336","56,48,35,079.86","28,375"
