"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,185.00","1,185.00","1,140.65","1,177.00","1,147.95","1,144.15","1,161.54","1,198.70","832.40","48,160","5,59,39,694.60","5,380"
"23-Aug-2024","EQ","1,163.00","1,180.60","1,145.15","1,162.70","1,165.00","1,177.00","1,164.01","1,198.70","832.40","91,565","10,65,82,718.35","11,231"
"22-Aug-2024","EQ","1,149.00","1,188.00","1,147.60","1,149.80","1,159.00","1,162.70","1,167.19","1,198.70","832.40","1,06,022","12,37,48,288.95","11,950"
"21-Aug-2024","EQ","1,155.40","1,198.70","1,133.00","1,155.40","1,140.20","1,149.80","1,167.25","1,198.70","832.40","1,83,207","21,38,48,645.90","16,638"
"20-Aug-2024","EQ","1,154.85","1,184.00","1,132.35","1,142.45","1,151.00","1,155.40","1,161.81","1,188.00","832.40","2,04,722","23,78,47,184.15","19,704"
"19-Aug-2024","EQ","1,085.30","1,156.00","1,085.30","1,085.30","1,150.95","1,142.45","1,128.87","1,188.00","832.40","1,17,808","13,29,90,083.40","11,986"
"16-Aug-2024","EQ","1,093.95","1,101.95","1,073.75","1,086.10","1,084.00","1,085.30","1,084.66","1,188.00","832.40","97,251","10,54,84,717.05","7,572"
"14-Aug-2024","EQ","1,120.00","1,120.00","1,080.00","1,115.40","1,085.60","1,086.10","1,095.60","1,188.00","832.40","1,49,670","16,39,79,083.15","8,834"
"13-Aug-2024","EQ","1,134.00","1,138.25","1,104.20","1,135.05","1,120.00","1,115.40","1,116.19","1,188.00","832.40","52,520","5,86,22,556.95","8,085"
"12-Aug-2024","EQ","1,135.65","1,178.95","1,127.40","1,135.65","1,133.00","1,135.05","1,150.25","1,188.00","832.40","1,18,611","13,64,32,005.75","13,157"
"09-Aug-2024","EQ","1,153.95","1,174.40","1,129.00","1,150.85","1,149.95","1,135.65","1,152.09","1,188.00","832.40","1,71,469","19,75,48,032.30","17,880"
"08-Aug-2024","EQ","1,100.50","1,188.00","1,093.20","1,091.25","1,152.40","1,150.85","1,158.14","1,188.00","832.40","9,68,417","1,12,15,63,098.45","64,514"
"07-Aug-2024","EQ","1,070.35","1,120.20","1,060.00","1,065.30","1,100.50","1,091.25","1,095.06","1,175.00","832.40","3,65,180","39,98,92,754.85","22,708"
"06-Aug-2024","EQ","1,055.80","1,142.65","1,052.00","1,048.15","1,069.40","1,065.30","1,101.62","1,175.00","832.40","3,69,743","40,73,16,107.25","36,816"
"05-Aug-2024","EQ","1,050.00","1,050.00","1,006.15","1,058.85","1,048.45","1,048.15","1,041.81","1,175.00","832.40","1,25,473","13,07,18,411.90","6,869"
"02-Aug-2024","EQ","1,055.10","1,074.95","1,030.55","1,062.05","1,064.00","1,058.85","1,058.46","1,175.00","826.30","1,35,342","14,32,54,152.80","13,092"
"01-Aug-2024","EQ","1,063.00","1,072.40","1,051.90","1,059.60","1,057.80","1,062.05","1,060.69","1,175.00","826.30","42,121","4,46,77,371.60","7,411"
"31-Jul-2024","EQ","1,065.00","1,078.00","1,052.35","1,062.10","1,055.55","1,059.60","1,065.84","1,175.00","826.30","44,061","4,69,61,782.20","7,962"
"30-Jul-2024","EQ","1,052.05","1,093.00","1,035.05","1,052.10","1,058.50","1,062.10","1,069.96","1,175.00","826.30","1,07,879","11,54,26,523.55","9,785"
"29-Jul-2024","EQ","1,037.00","1,063.00","1,032.95","1,032.75","1,050.00","1,052.10","1,052.65","1,175.00","826.30","93,834","9,87,74,282.10","9,765"
