"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","99.25","102.90","96.60","100.85","101.34","102.21","101.39","113.80","66.70","37,903","38,42,925.97","233"
"23-Aug-2024","BE","103.50","104.00","100.50","103.21","101.00","100.85","101.96","113.80","66.70","30,669","31,26,895.92","198"
"22-Aug-2024","BE","102.50","104.00","99.10","99.60","102.00","103.21","102.06","113.80","66.70","48,087","49,07,894.52","240"
"21-Aug-2024","BE","102.80","103.80","98.78","102.80","100.00","99.60","100.28","113.80","66.70","50,438","50,57,886.81","398"
"20-Aug-2024","BE","105.60","105.60","101.00","104.60","103.00","102.80","102.70","113.80","66.70","30,051","30,86,202.80","191"
"19-Aug-2024","BE","102.10","110.00","102.10","106.25","106.50","104.60","105.18","113.80","66.70","21,256","22,35,679.81","259"
"16-Aug-2024","BE","110.20","110.20","104.50","109.23","105.36","106.25","106.46","113.80","66.70","30,496","32,46,650.00","306"
"14-Aug-2024","BE","102.03","110.00","99.71","104.96","110.00","109.23","101.38","113.80","66.70","1,67,993","1,70,31,928.40","636"
"13-Aug-2024","EQ","113.80","113.80","103.20","112.15","103.69","104.96","108.78","113.80","66.70","1,94,179","2,11,22,645.84","2,305"
"12-Aug-2024","EQ","111.00","112.78","108.83","110.99","111.80","112.15","111.00","112.99","66.70","1,35,854","1,50,79,276.38","2,564"
"09-Aug-2024","EQ","108.70","112.99","108.06","107.66","110.71","110.99","110.65","112.99","66.70","2,11,090","2,33,56,550.79","3,797"
"08-Aug-2024","EQ","110.30","111.06","107.02","109.03","108.80","107.66","108.90","112.80","66.70","1,36,281","1,48,41,448.02","2,062"
"07-Aug-2024","EQ","106.00","111.54","105.81","104.41","109.11","109.03","108.94","112.80","66.70","1,65,185","1,79,95,675.53","3,464"
"06-Aug-2024","EQ","104.00","109.40","104.00","104.21","104.30","104.41","106.83","112.80","66.70","1,26,814","1,35,47,875.70","2,730"
"05-Aug-2024","EQ","104.99","106.29","101.40","106.87","104.50","104.21","103.95","112.80","66.70","1,43,591","1,49,25,959.76","2,405"
"02-Aug-2024","EQ","106.80","109.50","105.41","107.76","106.65","106.87","107.30","112.80","66.70","1,01,370","1,08,76,825.88","1,684"
"01-Aug-2024","EQ","110.15","112.80","107.25","109.07","107.99","107.76","109.72","112.80","66.70","1,69,713","1,86,20,560.98","2,613"
"31-Jul-2024","EQ","108.50","111.00","106.00","107.64","109.00","109.07","108.26","111.76","66.70","2,27,675","2,46,48,707.85","3,233"
"30-Jul-2024","EQ","107.48","110.79","106.87","106.87","109.00","107.64","109.19","111.76","66.70","2,72,839","2,97,90,553.22","3,035"
"29-Jul-2024","EQ","109.00","111.76","104.20","103.92","107.00","106.87","107.88","111.76","66.70","3,84,962","4,15,28,704.93","6,036"
