"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","429.20","431.95","421.30","427.75","431.30","430.90","428.46","488.00","354.20","24,46,954","1,04,84,19,524.45","83,874"
"23-Aug-2024","EQ","422.95","430.45","418.40","421.20","429.15","427.75","426.74","488.00","354.20","19,68,698","84,01,12,889.35","38,787"
"22-Aug-2024","EQ","431.00","432.45","419.00","430.40","419.90","421.20","427.21","488.00","354.20","16,71,242","71,39,72,700.30","41,883"
"21-Aug-2024","EQ","438.45","440.00","423.55","438.20","429.70","430.40","437.41","488.00","354.20","1,33,06,842","5,82,04,92,390.70","74,988"
"20-Aug-2024","EQ","435.05","441.80","432.15","432.25","439.20","438.20","437.66","488.00","354.20","51,10,672","2,23,67,44,582.85","82,073"
"19-Aug-2024","EQ","419.50","433.80","417.60","416.55","432.95","432.25","428.00","488.00","354.20","64,20,594","2,74,80,28,988.75","96,957"
"16-Aug-2024","EQ","419.95","421.95","410.00","414.90","416.55","416.55","415.93","488.00","354.20","25,49,670","1,06,04,88,799.50","53,790"
"14-Aug-2024","EQ","408.50","422.00","400.00","408.10","415.55","414.90","413.77","488.00","354.20","36,96,755","1,52,96,09,690.00","75,900"
"13-Aug-2024","EQ","407.90","411.40","402.10","404.60","409.00","408.10","407.42","488.00","354.20","19,16,788","78,09,36,339.90","31,499"
"12-Aug-2024","EQ","399.10","412.00","399.10","398.70","404.00","404.60","406.77","488.00","354.20","27,15,447","1,10,45,68,638.65","47,723"
"09-Aug-2024","EQ","413.55","413.55","395.05","408.65","398.90","398.70","404.97","488.00","354.20","21,46,198","86,91,54,591.70","37,180"
"08-Aug-2024","EQ","409.00","414.75","407.30","409.90","409.90","408.65","410.85","488.00","354.20","44,45,881","1,82,66,11,268.70","41,398"
"07-Aug-2024","EQ","411.00","412.90","404.05","407.05","410.05","409.90","408.50","488.00","354.20","33,99,523","1,38,87,12,730.95","51,415"
"06-Aug-2024","EQ","415.00","418.00","403.00","406.10","406.00","407.05","412.38","488.00","354.20","70,82,445","2,92,06,65,078.25","1,09,288"
"05-Aug-2024","EQ","405.00","425.60","401.40","416.10","406.00","406.10","413.62","488.00","354.20","1,68,42,737","6,96,64,68,596.35","2,03,591"
"02-Aug-2024","EQ","406.05","420.70","397.40","407.05","414.40","416.10","412.49","488.00","354.20","1,44,04,010","5,94,15,80,924.20","1,71,705"
"01-Aug-2024","EQ","409.00","412.55","402.15","404.00","411.00","407.05","406.65","488.00","354.20","36,56,001","1,48,67,29,017.85","46,916"
"31-Jul-2024","EQ","406.50","407.10","398.30","406.15","404.80","404.00","404.29","488.00","354.20","20,74,169","83,85,60,698.00","58,816"
"30-Jul-2024","EQ","412.80","413.50","403.55","412.40","407.30","406.15","409.90","488.00","354.20","16,50,289","67,64,60,585.95","35,087"
"29-Jul-2024","EQ","401.00","415.90","400.00","397.00","411.55","412.40","410.82","488.00","354.20","56,57,360","2,32,41,69,417.55","69,552"
