"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","56.69","60.80","54.85","56.62","60.51","60.32","58.99","62.26","42.54","1,79,96,169","1,06,16,14,170.38","53,999"
"23-Aug-2024","EQ","57.05","58.07","56.01","56.84","56.43","56.62","57.15","62.26","41.75","36,50,380","20,86,26,488.42","15,227"
"22-Aug-2024","EQ","57.50","58.38","56.27","56.92","56.99","56.84","57.07","62.26","41.00","44,85,385","25,59,78,616.31","17,725"
"21-Aug-2024","EQ","55.15","57.50","54.77","55.21","57.05","56.92","56.52","62.26","39.25","51,88,679","29,32,67,344.78","23,977"
"20-Aug-2024","EQ","52.80","56.52","52.01","52.60","55.11","55.21","54.46","62.26","37.00","76,75,317","41,80,18,661.79","24,155"
"19-Aug-2024","EQ","50.90","52.99","50.70","50.40","52.56","52.60","52.13","62.26","37.00","29,84,435","15,55,71,097.65","14,110"
"16-Aug-2024","EQ","51.40","51.40","50.10","50.33","50.20","50.40","50.62","62.26","37.00","15,69,238","7,94,41,471.84","7,217"
"14-Aug-2024","EQ","51.00","51.14","49.64","51.29","50.38","50.33","50.31","62.26","37.00","17,53,799","8,82,28,717.71","9,906"
"13-Aug-2024","EQ","53.00","53.30","50.45","52.54","51.09","51.29","52.13","62.26","37.00","22,84,960","11,91,08,990.26","9,781"
"12-Aug-2024","EQ","52.21","53.19","51.15","52.30","52.41","52.54","52.42","62.26","37.00","23,72,600","12,43,81,969.93","12,953"
"09-Aug-2024","EQ","52.50","52.78","51.70","51.97","52.21","52.30","52.22","62.26","37.00","18,10,341","9,45,31,501.36","7,647"
"08-Aug-2024","EQ","53.55","53.55","51.63","53.02","51.93","51.97","52.61","62.26","37.00","23,20,904","12,21,11,723.16","11,951"
"07-Aug-2024","EQ","52.11","53.75","50.88","50.32","52.87","53.02","52.15","62.26","37.00","43,31,262","22,58,95,219.66","17,920"
"06-Aug-2024","EQ","50.50","53.63","50.10","49.56","50.45","50.32","52.10","62.26","37.00","75,44,665","39,30,91,588.62","28,382"
"05-Aug-2024","EQ","51.50","52.33","49.20","53.18","49.60","49.56","50.45","62.26","37.00","72,34,186","36,49,41,569.49","29,735"
"02-Aug-2024","EQ","54.51","55.65","52.65","55.05","53.06","53.18","54.17","62.26","37.00","40,06,218","21,70,26,982.68","16,382"
"01-Aug-2024","EQ","55.63","57.73","54.81","55.34","55.28","55.05","56.35","62.26","37.00","56,85,526","32,03,60,490.65","20,108"
"31-Jul-2024","EQ","56.50","57.62","55.00","56.16","55.05","55.34","56.23","62.26","37.00","34,20,369","19,23,17,469.49","14,418"
"30-Jul-2024","EQ","57.50","57.95","56.00","57.10","56.25","56.16","56.84","62.26","37.00","43,10,730","24,50,18,257.91","16,197"
"29-Jul-2024","EQ","58.50","59.90","56.31","57.96","57.06","57.10","58.55","62.26","37.00","68,11,543","39,87,98,626.56","25,113"
