"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,576.25","1,754.00","1,568.80","1,552.95","1,635.00","1,619.90","1,648.62","1,754.00","700.00","41,075","6,77,16,989.20","6,324"
"23-Aug-2024","EQ","1,538.95","1,619.00","1,538.05","1,518.90","1,553.00","1,552.95","1,581.47","1,631.00","690.00","11,564","1,82,88,061.70","2,541"
"22-Aug-2024","EQ","1,548.00","1,580.00","1,515.00","1,548.30","1,515.00","1,518.90","1,545.47","1,631.00","690.00","4,055","62,66,868.20","992"
"21-Aug-2024","EQ","1,575.00","1,588.90","1,531.25","1,558.15","1,531.25","1,548.30","1,558.82","1,631.00","690.00","5,500","85,73,517.80","1,067"
"20-Aug-2024","EQ","1,491.55","1,623.00","1,480.10","1,482.55","1,546.35","1,558.15","1,575.83","1,631.00","690.00","20,553","3,23,87,935.85","3,446"
"19-Aug-2024","EQ","1,495.00","1,513.95","1,474.15","1,500.15","1,475.00","1,482.55","1,489.66","1,631.00","690.00","2,663","39,66,975.85","561"
"16-Aug-2024","EQ","1,530.00","1,550.00","1,495.55","1,489.50","1,495.55","1,500.15","1,513.78","1,631.00","690.00","3,879","58,71,951.15","638"
"14-Aug-2024","EQ","1,511.90","1,554.50","1,460.90","1,487.80","1,529.00","1,489.50","1,496.69","1,631.00","690.00","6,628","99,20,037.50","1,000"
"13-Aug-2024","EQ","1,515.50","1,586.00","1,416.40","1,485.50","1,477.00","1,487.80","1,515.20","1,631.00","690.00","15,742","2,38,52,201.05","2,337"
"12-Aug-2024","EQ","1,495.00","1,517.00","1,480.00","1,495.05","1,480.30","1,485.50","1,498.72","1,631.00","690.00","3,283","49,20,313.70","679"
"09-Aug-2024","EQ","1,517.00","1,522.45","1,469.95","1,489.05","1,499.50","1,495.05","1,497.72","1,631.00","690.00","4,733","70,88,694.65","939"
"08-Aug-2024","EQ","1,473.70","1,517.00","1,451.55","1,496.15","1,491.35","1,489.05","1,483.56","1,631.00","690.00","2,946","43,70,556.50","554"
"07-Aug-2024","EQ","1,422.70","1,505.00","1,415.00","1,410.45","1,499.00","1,496.15","1,467.58","1,631.00","690.00","5,529","81,14,250.60","995"
"06-Aug-2024","EQ","1,380.00","1,471.30","1,380.00","1,408.00","1,410.00","1,410.45","1,423.34","1,631.00","690.00","3,226","45,91,690.75","606"
"05-Aug-2024","EQ","1,455.55","1,455.55","1,400.00","1,478.85","1,401.00","1,408.00","1,418.25","1,631.00","690.00","5,315","75,37,996.35","934"
"02-Aug-2024","EQ","1,497.90","1,497.90","1,461.15","1,500.95","1,470.60","1,478.85","1,480.60","1,631.00","679.00","3,792","56,14,440.40","784"
"01-Aug-2024","EQ","1,535.95","1,560.00","1,492.65","1,513.25","1,505.00","1,500.95","1,514.67","1,631.00","679.00","4,658","70,55,339.25","923"
"31-Jul-2024","EQ","1,460.75","1,540.00","1,460.75","1,451.80","1,514.40","1,513.25","1,507.68","1,631.00","679.00","10,785","1,62,60,345.05","1,752"
"30-Jul-2024","EQ","1,446.40","1,465.00","1,429.60","1,464.90","1,461.50","1,451.80","1,448.77","1,631.00","679.00","4,995","72,36,600.40","731"
"29-Jul-2024","EQ","1,500.00","1,501.05","1,451.95","1,437.00","1,471.25","1,464.90","1,479.68","1,631.00","679.00","17,293","2,55,88,145.20","1,929"
