"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","53.00","54.50","52.00","52.88","52.20","52.36","53.19","108.70","30.85","1,25,521","66,75,997.56","717"
"23-Aug-2024","BE","51.60","53.40","50.10","51.04","52.65","52.88","52.18","108.70","30.85","1,46,138","76,25,099.27","627"
"22-Aug-2024","BE","51.05","52.89","50.46","53.12","51.63","51.04","51.47","108.70","30.85","1,62,968","83,88,343.11","641"
"21-Aug-2024","EQ","48.60","53.95","48.60","48.56","53.07","53.12","52.36","108.70","30.85","9,20,464","4,81,92,260.25","3,822"
"20-Aug-2024","EQ","51.00","51.82","48.05","52.48","49.10","48.56","50.08","108.70","30.85","4,58,004","2,29,38,091.83","2,387"
"19-Aug-2024","EQ","45.95","54.50","45.91","45.52","52.50","52.48","52.33","108.70","30.85","9,77,199","5,11,38,171.83","5,587"
"16-Aug-2024","EQ","47.90","48.43","44.30","47.25","45.50","45.52","45.63","108.70","30.85","1,88,239","85,89,387.77","1,810"
"14-Aug-2024","EQ","50.00","50.70","46.31","50.00","47.40","47.25","48.32","108.70","30.85","2,48,919","1,20,26,929.21","2,963"
"13-Aug-2024","EQ","53.99","54.00","49.20","48.25","49.99","50.00","51.77","108.70","30.85","13,73,011","7,10,87,246.12","10,081"
"12-Aug-2024","EQ","46.40","48.25","45.05","40.21","48.25","48.25","47.86","108.70","30.85","1,83,429","87,78,104.15","361"
"09-Aug-2024","BE","39.90","40.90","38.06","39.00","40.90","40.21","39.38","108.70","30.85","1,20,196","47,33,557.80","408"
"08-Aug-2024","BE","39.90","40.00","38.62","39.42","39.17","39.00","39.31","108.70","30.85","32,708","12,85,738.50","226"
"07-Aug-2024","BE","35.91","39.60","35.91","37.80","39.50","39.42","37.99","108.70","30.85","1,12,879","42,88,121.85","375"
"06-Aug-2024","BE","35.12","37.88","35.12","36.08","37.88","37.80","37.40","108.70","30.85","66,581","24,90,024.77","339"
"05-Aug-2024","BE","34.85","37.28","33.82","35.60","36.14","36.08","34.85","108.70","30.85","50,615","17,63,858.99","288"
"02-Aug-2024","BE","36.00","36.00","34.80","36.54","35.62","35.60","35.52","108.70","30.85","46,585","16,54,919.54","232"
"01-Aug-2024","BE","35.70","37.80","35.70","36.97","36.55","36.54","37.15","108.70","30.85","27,904","10,36,511.80","218"
"31-Jul-2024","BE","37.50","38.39","36.03","37.42","37.00","36.97","37.13","108.70","30.85","48,737","18,09,639.02","384"
"30-Jul-2024","BE","37.42","37.42","36.01","35.64","37.42","37.42","37.37","108.70","30.85","78,757","29,42,957.68","336"
"29-Jul-2024","BE","35.64","35.64","35.48","33.95","35.64","35.64","35.64","108.70","30.85","57,979","20,66,269.70","239"
