"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","15.15","15.16","14.84","15.11","14.89","14.87","14.94","26.05","12.85","61,31,998","9,16,31,057.27","8,671"
"23-Aug-2024","EQ","15.40","15.40","15.07","15.40","15.10","15.11","15.17","26.05","12.85","73,86,103","11,20,57,501.32","8,910"
"22-Aug-2024","EQ","15.02","15.49","14.96","15.00","15.35","15.40","15.25","26.05","12.85","1,26,24,324","19,25,04,976.25","12,085"
"21-Aug-2024","EQ","14.59","15.13","14.58","14.58","15.00","15.00","14.94","26.05","12.85","1,55,20,735","23,18,80,105.14","15,315"
"20-Aug-2024","EQ","14.63","14.70","14.56","14.55","14.60","14.58","14.62","26.05","12.85","54,03,502","7,89,83,502.45","5,743"
"19-Aug-2024","EQ","14.52","14.72","14.50","14.51","14.57","14.55","14.61","26.05","12.85","62,91,228","9,18,93,802.71","7,921"
"16-Aug-2024","EQ","14.70","14.73","14.41","14.51","14.51","14.51","14.53","26.05","12.85","56,27,548","8,17,47,418.54","7,332"
"14-Aug-2024","EQ","14.56","14.76","14.37","14.58","14.47","14.51","14.48","26.05","12.85","86,59,131","12,54,24,920.99","9,862"
"13-Aug-2024","EQ","15.05","15.14","14.49","14.98","14.60","14.58","14.72","26.05","12.85","1,45,13,525","21,35,85,714.47","13,321"
"12-Aug-2024","EQ","15.00","15.05","14.71","15.01","14.99","14.98","14.89","26.05","12.85","88,88,666","13,23,32,944.87","9,891"
"09-Aug-2024","EQ","15.24","15.29","14.95","14.94","15.03","15.01","15.05","26.05","12.85","78,37,217","11,79,14,921.47","7,586"
"08-Aug-2024","EQ","15.03","15.34","14.90","15.03","14.98","14.94","15.15","26.05","12.85","1,15,50,598","17,49,53,329.97","11,433"
"07-Aug-2024","EQ","15.10","15.20","14.80","14.86","15.10","15.03","15.00","26.05","12.85","1,13,71,072","17,06,02,414.97","11,410"
"06-Aug-2024","EQ","15.21","15.47","14.75","14.90","14.80","14.86","15.05","26.05","12.85","1,33,72,227","20,12,84,989.61","11,242"
"05-Aug-2024","EQ","15.62","15.63","14.83","15.98","15.01","14.90","15.12","26.05","12.85","2,71,26,076","41,00,33,087.05","22,050"
"02-Aug-2024","EQ","16.00","16.24","15.78","16.13","15.98","15.98","16.00","26.05","12.85","1,40,87,038","22,53,24,254.70","12,375"
"01-Aug-2024","EQ","16.34","16.58","16.04","16.25","16.23","16.13","16.30","26.05","12.85","2,00,98,703","32,76,06,645.14","16,066"
"31-Jul-2024","EQ","16.28","16.59","16.11","16.20","16.22","16.25","16.37","26.05","12.85","2,58,17,844","42,26,32,951.89","20,411"
"30-Jul-2024","EQ","15.82","16.50","15.80","15.83","16.21","16.20","16.19","26.05","12.85","3,03,97,738","49,22,11,611.70","24,210"
"29-Jul-2024","EQ","15.94","16.15","15.74","15.81","15.89","15.83","15.88","26.05","12.85","1,08,58,238","17,24,00,388.74","11,929"
