"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,860.00","4,934.00","4,860.00","4,855.95","4,925.90","4,926.25","4,907.99","5,024.85","3,295.30","2,88,510","1,41,60,03,464.70","30,050"
"23-Aug-2024","EQ","4,927.00","4,950.00","4,828.95","4,911.45","4,868.20","4,855.95","4,872.21","5,024.85","3,295.30","4,20,463","2,04,85,83,370.20","33,487"
"22-Aug-2024","EQ","4,927.50","4,929.95","4,869.00","4,900.80","4,906.50","4,911.45","4,901.72","5,024.85","3,295.30","4,80,842","2,35,69,52,235.10","45,113"
"21-Aug-2024","EQ","4,736.00","4,963.35","4,734.95","4,723.15","4,898.00","4,900.80","4,888.38","5,024.85","3,295.30","13,71,112","6,70,25,13,180.50","1,06,302"
"20-Aug-2024","EQ","4,674.80","4,728.85","4,663.30","4,669.90","4,715.00","4,723.15","4,700.62","5,024.85","3,295.30","2,55,795","1,20,23,95,972.85","22,308"
"19-Aug-2024","EQ","4,665.00","4,689.95","4,615.55","4,633.90","4,672.30","4,669.90","4,644.75","5,024.85","3,295.30","2,32,374","1,07,93,19,236.20","26,446"
"16-Aug-2024","EQ","4,665.00","4,709.80","4,623.30","4,662.00","4,633.15","4,633.90","4,651.15","5,024.85","3,295.30","5,22,991","2,43,25,10,492.35","47,948"
"14-Aug-2024","EQ","4,848.00","4,848.00","4,642.05","4,861.80","4,666.00","4,662.00","4,686.93","5,024.85","3,295.30","7,29,449","3,41,88,77,615.15","81,693"
"13-Aug-2024","EQ","4,900.00","4,919.95","4,803.05","4,891.00","4,866.00","4,861.80","4,859.55","5,024.85","3,295.30","2,03,334","98,81,11,078.30","24,612"
"12-Aug-2024","EQ","4,828.95","4,905.00","4,777.55","4,829.95","4,900.40","4,891.00","4,858.73","5,024.85","3,295.30","4,31,270","2,09,54,22,764.40","44,088"
"09-Aug-2024","EQ","4,904.80","4,904.80","4,816.05","4,834.50","4,834.50","4,829.95","4,846.46","5,024.85","3,295.30","2,22,355","1,07,76,33,940.60","36,193"
"08-Aug-2024","EQ","4,920.10","5,024.85","4,823.00","4,946.50","4,833.40","4,834.50","4,925.10","5,024.85","3,295.30","7,22,958","3,56,06,40,917.10","69,613"
"07-Aug-2024","EQ","4,841.00","4,957.10","4,841.00","4,827.55","4,939.40","4,946.50","4,915.72","5,010.00","3,295.30","5,90,493","2,90,27,00,076.75","60,434"
"06-Aug-2024","EQ","4,830.00","4,959.00","4,815.05","4,826.95","4,830.00","4,827.55","4,891.28","5,010.00","3,295.30","4,03,211","1,97,22,18,697.00","49,201"
"05-Aug-2024","EQ","4,933.55","4,988.90","4,778.00","4,991.25","4,830.00","4,826.95","4,881.19","5,010.00","3,295.30","14,49,786","7,07,66,78,076.95","1,07,974"
"02-Aug-2024","EQ","4,861.70","5,010.00","4,839.10","4,917.90","4,973.05","4,991.25","4,954.59","5,010.00","3,295.30","9,60,970","4,76,12,12,243.30","70,439"
"01-Aug-2024","EQ","4,930.00","5,008.00","4,900.00","4,923.20","4,901.95","4,917.90","4,952.88","5,008.00","3,295.30","6,22,863","3,08,49,64,209.40","51,923"
"31-Jul-2024","EQ","4,904.35","4,943.75","4,800.20","4,912.35","4,934.95","4,923.20","4,888.78","4,951.00","3,295.30","11,67,323","5,70,67,87,010.25","71,229"
"30-Jul-2024","EQ","4,923.85","4,945.00","4,889.15","4,923.85","4,904.35","4,912.35","4,925.66","4,951.00","3,295.30","5,15,488","2,53,91,18,619.85","39,338"
"29-Jul-2024","EQ","4,804.00","4,951.00","4,771.70","4,790.60","4,931.00","4,923.85","4,892.65","4,951.00","3,295.30","8,86,247","4,33,60,92,509.70","77,495"
