"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","13,399.00","13,639.80","13,295.00","13,270.55","13,375.00","13,393.45","13,478.30","13,639.80","4,733.45","6,43,656","8,67,53,91,769.30","91,997"
"23-Aug-2024","EQ","12,880.00","13,394.90","12,800.00","12,859.75","13,280.00","13,270.55","13,191.35","13,394.90","4,730.10","8,81,956","11,63,41,91,041.20","99,966"
"22-Aug-2024","EQ","12,736.20","12,875.00","12,690.05","12,736.20","12,845.35","12,859.75","12,805.68","12,920.00","4,730.10","2,65,980","3,40,60,54,902.85","37,014"
"21-Aug-2024","EQ","12,710.00","12,787.95","12,526.10","12,675.70","12,727.25","12,736.20","12,696.72","12,920.00","4,730.10","3,64,749","4,63,11,14,437.05","46,167"
"20-Aug-2024","EQ","12,900.00","12,920.00","12,550.00","12,779.95","12,655.10","12,675.70","12,708.72","12,920.00","4,730.10","4,98,231","6,33,18,80,707.40","74,332"
"19-Aug-2024","EQ","12,550.00","12,835.00","12,419.80","12,374.90","12,784.00","12,779.95","12,670.79","12,879.00","4,730.10","7,10,397","9,00,12,92,719.70","89,429"
"16-Aug-2024","EQ","12,087.00","12,423.60","12,025.20","11,913.90","12,360.80","12,374.90","12,284.76","12,879.00","4,585.00","5,95,362","7,31,38,77,431.95","87,673"
"14-Aug-2024","EQ","12,079.85","12,149.00","11,840.00","11,986.15","11,889.00","11,913.90","11,968.01","12,879.00","4,585.00","4,72,500","5,65,48,83,666.35","58,779"
"13-Aug-2024","EQ","11,837.15","12,092.00","11,737.80","11,664.25","11,970.00","11,986.15","11,983.96","12,879.00","4,585.00","7,32,893","8,78,29,61,516.65","97,912"
"12-Aug-2024","EQ","11,739.65","11,900.00","11,559.90","11,740.45","11,750.00","11,664.25","11,699.53","12,879.00","4,585.00","4,89,671","5,72,89,20,311.55","49,928"
"09-Aug-2024","EQ","11,585.00","11,800.05","11,553.75","11,453.75","11,779.65","11,740.45","11,719.48","12,879.00","4,385.05","3,41,383","4,00,08,30,003.10","50,650"
"08-Aug-2024","EQ","11,640.00","11,744.00","11,411.10","11,606.90","11,440.00","11,453.75","11,593.01","12,879.00","4,385.05","2,87,000","3,32,71,92,569.85","53,956"
"07-Aug-2024","EQ","11,350.00","11,686.85","11,308.00","11,110.85","11,680.00","11,606.90","11,501.94","12,879.00","4,385.05","4,28,350","4,92,68,56,575.25","60,955"
"06-Aug-2024","EQ","11,400.00","11,569.95","11,066.75","11,141.60","11,126.45","11,110.85","11,333.20","12,879.00","4,385.05","4,88,736","5,53,89,40,489.60","79,111"
"05-Aug-2024","EQ","10,950.05","11,514.70","10,950.05","11,654.55","11,116.00","11,141.60","11,149.11","12,879.00","4,385.05","6,21,110","6,92,48,21,193.95","92,459"
"02-Aug-2024","EQ","11,550.00","11,818.95","11,414.60","11,670.55","11,649.80","11,654.55","11,679.14","12,879.00","4,020.00","4,86,190","5,67,82,79,080.95","81,326"
"01-Aug-2024","EQ","12,199.95","12,199.95","11,592.00","12,106.45","11,700.00","11,670.55","11,762.28","12,879.00","4,020.00","6,67,577","7,85,22,30,060.00","1,08,947"
"31-Jul-2024","EQ","12,601.10","12,690.00","12,060.10","11,977.35","12,100.00","12,106.45","12,287.10","12,879.00","4,020.00","18,05,812","22,18,82,01,118.55","1,76,208"
"30-Jul-2024","EQ","11,689.00","12,038.00","11,530.00","11,627.65","11,964.00","11,977.35","11,811.94","12,879.00","4,020.00","8,98,741","10,61,58,77,098.75","1,16,855"
"29-Jul-2024","EQ","11,349.95","11,675.95","11,225.00","11,272.60","11,656.00","11,627.65","11,538.25","12,879.00","4,020.00","4,59,091","5,29,71,05,103.60","76,223"
