"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","525.60","528.15","518.00","525.60","518.60","520.70","523.22","659.95","385.25","68,581","3,58,82,639.20","6,069"
"23-Aug-2024","EQ","515.00","542.00","511.40","513.45","526.50","525.60","530.26","659.95","385.25","2,72,664","14,45,83,931.00","11,477"
"22-Aug-2024","EQ","521.40","526.00","511.15","520.15","514.90","513.45","518.49","659.95","385.25","57,977","3,00,60,339.90","4,722"
"21-Aug-2024","EQ","518.90","526.95","512.05","517.10","519.00","520.15","520.57","659.95","385.25","1,62,517","8,46,01,670.60","9,609"
"20-Aug-2024","EQ","492.30","522.00","492.30","490.85","518.90","517.10","508.46","659.95","385.25","1,89,523","9,63,64,140.00","8,816"
"19-Aug-2024","EQ","483.90","496.00","481.00","481.75","490.15","490.85","491.18","659.95","385.25","69,204","3,39,91,860.50","4,029"
"16-Aug-2024","EQ","478.45","489.95","476.15","476.10","483.25","481.75","482.56","659.95","385.25","67,347","3,24,99,126.75","5,570"
"14-Aug-2024","EQ","476.25","480.35","467.15","479.40","474.00","476.10","472.38","659.95","385.25","1,25,261","5,91,70,763.20","7,316"
"13-Aug-2024","EQ","495.00","502.35","476.20","508.90","482.00","479.40","489.23","659.95","385.25","2,90,668","14,22,02,167.70","10,221"
"12-Aug-2024","EQ","515.75","517.85","507.65","515.75","509.00","508.90","510.35","659.95","385.25","70,716","3,60,89,772.25","3,534"
"09-Aug-2024","EQ","518.60","521.50","511.50","515.65","515.20","515.75","517.23","659.95","385.25","58,403","3,02,07,921.25","4,860"
"08-Aug-2024","EQ","522.50","523.30","513.10","517.15","514.80","515.65","517.25","659.95","385.25","47,882","2,47,67,082.70","3,905"
"07-Aug-2024","EQ","540.00","540.00","515.10","527.45","518.90","517.15","525.69","659.95","385.25","1,67,595","8,81,02,180.45","14,057"
"06-Aug-2024","EQ","495.00","539.00","494.00","492.40","529.50","527.45","528.15","659.95","385.25","4,96,061","26,19,95,471.65","26,909"
"05-Aug-2024","EQ","490.05","509.60","484.05","501.65","492.00","492.40","492.86","659.95","385.25","81,436","4,01,36,536.30","7,219"
"02-Aug-2024","EQ","504.00","511.90","500.00","507.95","502.30","501.65","504.87","659.95","385.25","81,345","4,10,68,849.40","5,423"
"01-Aug-2024","EQ","511.35","518.00","505.20","511.35","509.40","507.95","511.60","659.95","385.25","67,100","3,43,28,357.35","4,840"
"31-Jul-2024","EQ","515.00","517.85","509.55","510.70","511.55","511.35","512.90","659.95","385.25","74,073","3,79,91,685.10","6,674"
"30-Jul-2024","EQ","513.15","520.15","509.55","511.00","511.10","510.70","514.36","659.95","385.25","1,69,158","8,70,07,933.70","8,894"
"29-Jul-2024","EQ","510.00","527.95","508.20","507.75","510.30","511.00","518.05","659.95","385.25","6,71,921","34,80,88,080.35","21,353"
