"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","879.95","924.70","879.00","888.65","880.00","882.35","895.42","1,457.95","426.10","42,370","3,79,38,910.35","1,653"
"23-Aug-2024","BE","938.80","949.90","888.65","935.40","888.65","888.65","914.47","1,457.95","418.35","63,811","5,83,53,388.55","2,002"
"22-Aug-2024","BE","934.90","950.00","930.05","925.25","933.50","935.40","938.52","1,457.95","418.35","33,261","3,12,16,002.40","1,791"
"21-Aug-2024","BE","932.80","935.00","908.20","927.95","925.50","925.25","924.57","1,457.95","418.35","14,547","1,34,49,687.00","970"
"20-Aug-2024","BE","923.95","948.40","905.00","920.75","926.00","927.95","924.16","1,457.95","418.35","32,382","2,99,26,156.10","1,423"
"19-Aug-2024","BE","925.00","940.10","901.20","940.10","932.00","920.75","916.81","1,457.95","418.35","42,494","3,89,59,060.15","1,831"
"16-Aug-2024","BE","930.00","950.00","909.00","919.90","938.00","940.10","924.99","1,457.95","372.00","35,439","3,27,80,706.30","1,295"
"14-Aug-2024","BE","928.60","939.00","886.60","928.60","920.00","919.90","912.75","1,457.95","372.00","62,137","5,67,15,735.90","1,729"
"13-Aug-2024","BE","972.15","994.40","928.45","977.30","928.45","928.60","957.19","1,457.95","372.00","79,879","7,64,59,692.65","2,489"
"12-Aug-2024","BE","977.55","1,010.00","969.20","1,020.20","972.05","977.30","975.12","1,457.95","372.00","97,901","9,54,64,943.00","2,889"
"09-Aug-2024","BE","1,077.00","1,095.00","1,012.65","1,061.30","1,021.00","1,020.20","1,053.11","1,457.95","359.05","36,331","3,82,60,615.35","1,477"
"08-Aug-2024","BE","1,056.05","1,099.90","1,051.00","1,068.15","1,067.00","1,061.30","1,067.01","1,457.95","359.05","31,138","3,32,24,510.60","844"
"07-Aug-2024","BE","1,017.00","1,068.15","1,017.00","1,017.30","1,068.00","1,068.15","1,051.75","1,457.95","359.05","46,748","4,91,67,186.15","898"
"06-Aug-2024","BE","1,061.00","1,092.00","1,017.25","1,070.75","1,017.25","1,017.30","1,041.92","1,457.95","359.05","63,527","6,61,90,197.15","1,999"
"05-Aug-2024","BE","1,100.00","1,100.00","1,070.75","1,127.10","1,070.75","1,070.75","1,072.86","1,457.95","359.05","29,614","3,17,71,591.95","1,071"
"02-Aug-2024","BE","1,124.90","1,155.00","1,115.00","1,153.85","1,138.80","1,127.10","1,132.93","1,457.95","356.65","22,100","2,50,37,852.75","842"
"01-Aug-2024","BE","1,207.95","1,207.95","1,141.20","1,192.40","1,162.00","1,153.85","1,165.89","1,457.95","356.65","41,713","4,86,32,599.00","1,735"
"31-Jul-2024","BE","1,244.70","1,249.00","1,180.00","1,232.65","1,200.00","1,192.40","1,208.91","1,457.95","356.65","45,481","5,49,82,509.85","1,069"
"30-Jul-2024","BE","1,254.95","1,269.90","1,210.00","1,258.40","1,239.00","1,232.65","1,243.82","1,457.95","356.65","20,440","2,54,23,636.30","1,338"
"29-Jul-2024","BE","1,287.00","1,287.00","1,216.75","1,255.15","1,257.10","1,258.40","1,250.78","1,457.95","356.65","21,157","2,64,62,855.70","1,759"
