"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","11.14","11.14","11.14","10.61","11.14","11.14","11.14","12.75","5.60","8,76,530","97,64,544.20","936"
"23-Aug-2024","EQ","9.65","10.61","9.58","9.65","10.61","10.61","10.31","12.75","5.60","79,95,425","8,24,04,859.97","8,326"
"22-Aug-2024","EQ","9.88","9.98","9.35","9.72","9.63","9.65","9.65","12.75","5.60","39,75,502","3,83,65,593.21","5,143"
"21-Aug-2024","EQ","9.96","10.22","8.82","9.40","9.74","9.72","9.55","12.75","5.60","2,17,45,390","20,77,12,952.79","12,956"
"20-Aug-2024","EQ","9.19","9.64","8.51","8.77","9.64","9.40","9.14","12.75","5.60","1,26,16,516","11,53,47,255.94","9,137"
"19-Aug-2024","EQ","8.20","8.78","7.83","7.99","8.78","8.77","8.38","12.75","5.60","78,43,549","6,57,16,013.24","5,385"
"16-Aug-2024","EQ","7.97","8.38","7.70","7.67","8.20","7.99","8.06","12.75","5.60","31,21,635","2,51,59,946.93","3,638"
"14-Aug-2024","EQ","7.88","8.15","7.55","7.72","7.70","7.67","7.84","12.75","5.60","13,01,776","1,02,09,577.24","1,632"
"13-Aug-2024","EQ","8.32","8.90","7.61","8.27","7.70","7.72","8.14","12.75","5.60","32,63,355","2,65,68,057.31","2,878"
"12-Aug-2024","EQ","8.30","8.46","8.15","8.31","8.30","8.27","8.28","12.75","5.60","3,88,516","32,17,048.85","896"
"09-Aug-2024","EQ","8.45","8.75","8.10","8.32","8.30","8.31","8.34","12.75","5.60","8,21,599","68,54,514.31","1,356"
"08-Aug-2024","EQ","8.16","9.00","8.00","8.34","8.25","8.32","8.32","12.75","5.60","37,62,964","3,13,03,632.44","2,477"
"07-Aug-2024","EQ","7.75","8.34","7.68","7.59","8.34","8.34","8.20","12.75","5.60","29,91,872","2,45,22,425.71","1,437"
"06-Aug-2024","EQ","7.78","8.00","7.55","7.78","7.55","7.59","7.77","12.75","5.60","1,90,391","14,80,261.58","650"
"05-Aug-2024","EQ","7.76","8.03","7.68","8.05","7.72","7.78","7.80","12.75","5.60","3,47,996","27,12,962.86","3,328"
"02-Aug-2024","EQ","8.05","8.34","7.97","8.28","7.98","8.05","8.13","12.75","5.60","3,68,984","29,99,932.93","1,129"
"01-Aug-2024","EQ","8.45","8.48","7.96","8.25","8.25","8.28","8.29","12.75","5.60","4,14,690","34,38,853.76","937"
"31-Jul-2024","EQ","8.35","8.59","8.05","8.19","8.16","8.25","8.20","12.75","5.60","4,19,729","34,41,479.18","1,661"
"30-Jul-2024","EQ","8.21","8.48","8.15","8.25","8.17","8.19","8.25","12.75","5.60","4,96,657","40,99,053.39","868"
"29-Jul-2024","EQ","9.12","9.12","8.25","8.69","8.25","8.25","8.77","12.75","5.60","13,85,842","1,21,50,491.55","2,302"
