"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","41.18","41.27","40.41","40.87","40.51","40.50","40.76","54.00","37.00","76,77,380","31,29,00,270.98","26,515"
"23-Aug-2024","EQ","39.94","41.29","39.65","39.70","40.77","40.87","40.62","54.00","37.00","3,06,78,060","1,24,62,23,751.79","51,041"
"22-Aug-2024","EQ","39.72","39.94","39.60","39.48","39.70","39.70","39.75","54.00","37.00","49,16,680","19,54,36,008.03","19,021"
"21-Aug-2024","EQ","39.25","39.68","39.19","39.14","39.49","39.48","39.44","54.00","37.00","51,83,785","20,44,53,251.92","21,805"
"20-Aug-2024","EQ","39.03","39.38","38.90","38.88","39.20","39.14","39.10","54.00","37.00","49,74,013","19,44,87,864.30","22,111"
"19-Aug-2024","EQ","39.81","39.81","38.80","39.16","39.03","38.88","39.26","54.00","37.00","1,28,90,277","50,60,40,597.84","27,720"
"16-Aug-2024","EQ","39.47","39.55","38.90","39.07","39.23","39.16","39.18","54.00","37.00","44,24,932","17,33,83,211.35","23,146"
"14-Aug-2024","EQ","40.11","40.49","38.87","39.67","39.12","39.07","39.37","54.00","37.00","90,23,549","35,52,36,580.46","35,562"
"13-Aug-2024","EQ","39.46","40.56","39.39","39.12","39.69","39.67","39.95","54.00","37.00","5,03,68,154","2,01,19,69,702.47","84,587"
"12-Aug-2024","EQ","39.45","39.75","38.93","39.50","39.12","39.12","39.28","54.00","37.00","66,21,868","26,01,14,180.09","32,138"
"09-Aug-2024","EQ","39.80","39.90","39.40","39.34","39.50","39.50","39.57","54.00","37.00","85,21,479","33,72,05,188.04","27,207"
"08-Aug-2024","EQ","39.39","39.53","39.10","38.90","39.39","39.34","39.30","54.00","37.00","53,70,780","21,10,79,901.74","24,705"
"07-Aug-2024","EQ","39.59","40.52","38.81","38.96","39.14","38.90","39.56","54.00","37.00","2,67,08,716","1,05,65,92,958.81","83,230"
"06-Aug-2024","EQ","40.28","40.56","38.82","39.66","38.90","38.96","39.59","54.00","37.00","2,19,88,518","87,04,66,884.34","70,193"
"05-Aug-2024","EQ","40.05","40.41","39.50","40.89","39.99","39.66","39.88","54.00","37.00","1,10,45,538","44,05,48,590.01","60,525"
"02-Aug-2024","EQ","40.95","41.20","40.84","41.18","40.97","40.89","41.01","54.00","37.00","2,16,26,612","88,69,80,712.08","57,928"
"01-Aug-2024","EQ","41.30","42.75","41.05","41.34","41.32","41.18","41.33","54.00","37.00","1,39,32,873","57,59,09,021.14","30,549"
"31-Jul-2024","EQ","41.80","42.24","41.22","41.57","41.25","41.34","41.80","54.00","37.00","2,12,26,352","88,72,58,608.52","30,882"
"30-Jul-2024","EQ","41.98","42.14","41.52","41.94","41.67","41.57","41.85","54.00","37.00","1,89,31,419","79,22,12,549.33","36,025"
"29-Jul-2024","EQ","42.95","43.45","41.71","42.63","41.83","41.94","42.60","54.00","37.00","3,59,40,172","1,53,09,26,828.37","43,379"
