"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","217.00","217.70","213.20","216.75","215.35","214.75","215.57","358.80","141.35","35,938","77,47,007.05","2,657"
"23-Aug-2024","EQ","214.20","218.00","213.50","213.05","216.50","216.75","216.54","358.80","141.35","51,947","1,12,48,810.70","3,876"
"22-Aug-2024","EQ","216.60","219.95","210.80","215.45","213.00","213.05","215.00","358.80","141.35","64,158","1,37,93,968.10","4,353"
"21-Aug-2024","EQ","216.00","218.00","213.00","214.05","215.60","215.45","215.68","358.80","141.35","53,855","1,16,15,400.25","4,151"
"20-Aug-2024","EQ","214.95","215.75","210.00","214.70","214.00","214.05","213.57","358.80","141.35","52,063","1,11,19,026.50","3,579"
"19-Aug-2024","EQ","209.20","215.95","209.20","208.30","214.35","214.70","213.02","358.80","141.35","58,885","1,25,43,553.35","3,668"
"16-Aug-2024","EQ","205.15","232.50","205.15","202.50","209.10","208.30","210.92","358.80","141.35","1,00,308","2,11,56,675.75","6,227"
"14-Aug-2024","EQ","206.45","209.25","201.45","206.45","203.95","202.50","204.63","358.80","141.35","55,992","1,14,57,413.75","5,040"
"13-Aug-2024","EQ","217.90","218.00","205.00","217.20","207.25","206.45","210.11","358.80","141.35","64,959","1,36,48,369.90","4,253"
"12-Aug-2024","EQ","216.00","220.25","213.45","219.50","217.40","217.20","216.88","358.80","141.35","60,373","1,30,93,398.25","5,181"
"09-Aug-2024","EQ","218.85","223.70","218.00","216.45","219.60","219.50","221.12","358.80","141.35","69,791","1,54,32,410.25","5,145"
"08-Aug-2024","EQ","215.05","226.85","214.80","216.85","216.85","216.45","219.19","358.80","141.35","56,853","1,24,61,364.55","4,182"
"07-Aug-2024","EQ","213.00","219.15","212.80","210.35","219.00","216.85","215.54","358.80","141.35","40,641","87,59,641.35","3,672"
"06-Aug-2024","EQ","217.10","223.75","210.00","217.10","210.00","210.35","217.56","358.80","141.35","85,485","1,85,97,891.10","5,659"
"05-Aug-2024","EQ","225.00","229.85","214.80","234.05","217.00","217.10","220.19","358.80","141.35","1,41,562","3,11,70,151.50","9,291"
"02-Aug-2024","EQ","226.00","239.10","226.00","232.50","233.95","234.05","235.00","358.80","140.25","1,81,172","4,25,75,239.95","16,137"
"01-Aug-2024","EQ","246.90","247.45","231.25","252.54","233.00","232.50","236.41","358.80","140.25","3,23,771","7,65,43,525.75","19,014"
"31-Jul-2024","EQ","251.49","262.00","250.61","249.66","252.25","252.54","256.70","358.80","140.25","1,21,186","3,11,08,389.70","7,767"
"30-Jul-2024","EQ","252.00","257.78","248.15","252.41","248.20","249.66","253.25","358.80","140.25","52,319","1,32,49,596.16","4,377"
"29-Jul-2024","EQ","247.42","254.94","246.99","244.52","252.49","252.41","251.73","358.80","140.25","67,125","1,68,97,085.27","4,616"
