"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","156.75","159.00","153.00","155.63","154.30","154.88","155.24","164.90","81.90","4,13,732","6,42,25,890.60","11,982"
"23-Aug-2024","EQ","152.99","161.15","152.99","152.99","156.05","155.63","157.27","164.90","81.90","8,42,964","13,25,68,993.76","21,082"
"22-Aug-2024","EQ","155.15","164.90","151.20","152.79","152.70","152.99","158.67","164.90","81.90","26,30,552","41,73,84,493.02","44,562"
"21-Aug-2024","EQ","143.35","155.00","142.55","142.45","154.00","152.79","150.58","161.10","81.90","17,12,906","25,79,23,944.44","24,201"
"20-Aug-2024","EQ","143.00","147.50","141.46","141.52","142.10","142.45","144.30","161.10","81.90","5,97,562","8,62,31,019.53","11,276"
"19-Aug-2024","EQ","148.00","150.75","140.55","148.87","142.39","141.52","145.63","161.10","81.90","6,32,531","9,21,16,340.41","11,148"
"16-Aug-2024","EQ","136.94","151.00","134.51","133.49","148.00","148.87","146.37","161.10","81.90","16,65,107","24,37,16,603.11","28,917"
"14-Aug-2024","EQ","133.90","141.65","131.92","131.42","133.40","133.49","136.56","161.10","81.90","5,10,313","6,96,86,936.34","12,060"
"13-Aug-2024","EQ","150.00","150.00","130.30","147.79","131.99","131.42","136.28","161.10","81.90","8,58,478","11,69,96,007.93","15,228"
"12-Aug-2024","EQ","148.35","154.40","145.66","146.63","148.40","147.79","148.95","161.10","81.90","3,72,029","5,54,13,368.05","7,721"
"09-Aug-2024","EQ","150.00","151.34","146.00","146.30","146.25","146.63","148.30","161.10","81.90","3,22,107","4,77,69,848.66","6,009"
"08-Aug-2024","EQ","141.60","150.00","141.10","141.67","145.25","146.30","146.51","161.10","81.90","3,22,942","4,73,13,502.66","3,281"
"07-Aug-2024","EQ","145.90","149.00","140.07","143.73","142.20","141.67","143.89","161.10","81.90","2,06,589","2,97,25,909.81","2,469"
"06-Aug-2024","EQ","139.20","151.60","139.20","139.11","143.49","143.73","146.28","161.10","81.90","6,02,870","8,81,85,270.40","5,459"
"05-Aug-2024","EQ","137.98","141.80","133.25","143.95","138.45","139.11","138.64","161.10","81.90","4,36,837","6,05,65,172.84","4,849"
"02-Aug-2024","EQ","149.00","149.00","142.00","150.62","144.00","143.95","145.47","161.10","81.90","3,65,199","5,31,26,846.30","4,346"
"01-Aug-2024","EQ","141.35","161.10","141.35","143.69","151.50","150.62","152.59","161.10","81.90","24,07,010","36,72,80,401.94","22,658"
"31-Jul-2024","EQ","141.74","148.00","138.10","143.48","146.00","143.69","143.11","153.30","81.90","10,23,867","14,65,30,263.25","15,562"
"30-Jul-2024","EQ","145.00","153.30","139.55","138.93","143.00","143.48","145.45","153.30","81.90","46,40,962","67,50,15,077.98","41,642"
"29-Jul-2024","EQ","114.29","138.93","113.95","115.78","138.93","138.93","130.97","138.93","81.90","56,77,312","74,35,80,068.02","53,551"
