"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,505.00","1,550.00","1,468.50","1,505.55","1,494.30","1,495.85","1,523.04","1,599.00","699.80","39,219","5,97,32,296.30","6,363"
"23-Aug-2024","EQ","1,508.80","1,525.00","1,492.05","1,498.45","1,505.90","1,505.55","1,508.77","1,599.00","699.80","30,896","4,66,15,013.80","4,497"
"22-Aug-2024","EQ","1,510.00","1,540.00","1,482.05","1,501.65","1,500.00","1,498.45","1,512.35","1,599.00","699.80","46,352","7,01,00,411.25","5,928"
"21-Aug-2024","EQ","1,463.80","1,518.95","1,463.80","1,456.50","1,501.30","1,501.65","1,493.70","1,599.00","699.80","62,420","9,32,36,891.15","8,064"
"20-Aug-2024","EQ","1,463.70","1,490.50","1,442.05","1,463.10","1,461.00","1,456.50","1,464.98","1,599.00","699.80","30,173","4,42,02,702.65","3,960"
"19-Aug-2024","EQ","1,494.90","1,510.00","1,456.05","1,487.15","1,463.70","1,463.10","1,485.96","1,599.00","699.80","33,173","4,92,93,784.25","4,829"
"16-Aug-2024","EQ","1,480.00","1,509.00","1,470.00","1,457.15","1,486.50","1,487.15","1,487.77","1,599.00","699.80","57,892","8,61,29,926.55","6,015"
"14-Aug-2024","EQ","1,507.00","1,532.95","1,442.70","1,484.70","1,457.85","1,457.15","1,493.08","1,599.00","699.80","78,365","11,70,05,130.80","11,296"
"13-Aug-2024","EQ","1,470.00","1,557.00","1,440.70","1,473.15","1,481.00","1,484.70","1,512.82","1,599.00","699.80","2,13,159","32,24,72,207.30","24,280"
"12-Aug-2024","EQ","1,555.00","1,599.00","1,457.00","1,459.35","1,465.00","1,473.15","1,534.32","1,599.00","699.80","5,66,603","86,93,48,447.75","41,245"
"09-Aug-2024","EQ","1,435.00","1,469.00","1,416.00","1,411.50","1,453.00","1,459.35","1,446.37","1,469.00","699.80","1,87,007","27,04,81,914.65","12,735"
"08-Aug-2024","EQ","1,400.00","1,432.95","1,390.05","1,391.95","1,408.00","1,411.50","1,410.02","1,432.95","699.80","1,05,074","14,81,55,975.10","9,168"
"07-Aug-2024","EQ","1,395.00","1,430.00","1,376.50","1,371.15","1,399.00","1,391.95","1,403.95","1,430.00","699.80","1,02,898","14,44,63,967.45","10,233"
"06-Aug-2024","EQ","1,261.25","1,380.00","1,261.25","1,262.40","1,372.00","1,371.15","1,334.66","1,394.00","699.80","1,27,224","16,98,00,530.80","14,297"
"05-Aug-2024","EQ","1,311.10","1,336.50","1,245.25","1,352.90","1,258.40","1,262.40","1,287.79","1,394.00","699.80","57,858","7,45,08,951.35","8,945"
"02-Aug-2024","EQ","1,294.10","1,394.00","1,275.25","1,294.10","1,355.00","1,352.90","1,356.00","1,394.00","699.80","1,05,918","14,36,25,005.80","14,636"
"01-Aug-2024","EQ","1,300.00","1,335.00","1,278.05","1,275.50","1,299.85","1,294.10","1,300.63","1,335.00","699.80","46,538","6,05,28,601.25","4,967"
"31-Jul-2024","EQ","1,286.00","1,310.00","1,266.05","1,286.20","1,279.85","1,275.50","1,289.21","1,328.00","699.80","24,572","3,16,78,574.70","3,909"
"30-Jul-2024","EQ","1,270.00","1,313.00","1,259.05","1,270.40","1,281.10","1,286.20","1,285.22","1,328.00","699.80","27,047","3,47,61,431.00","4,839"
"29-Jul-2024","EQ","1,288.00","1,328.00","1,255.10","1,285.40","1,275.00","1,270.40","1,278.55","1,328.00","699.80","51,904","6,63,61,991.35","7,046"
