"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","514.40","517.60","505.00","512.90","514.00","507.85","510.78","584.40","344.50","78,678","4,01,87,137.25","7,717"
"23-Aug-2024","EQ","524.10","538.00","506.65","518.90","513.00","512.90","525.83","584.40","344.50","1,02,714","5,40,10,046.90","8,102"
"22-Aug-2024","EQ","486.40","529.00","486.40","483.95","517.30","518.90","515.82","584.40","344.50","1,79,954","9,28,23,859.80","15,057"
"21-Aug-2024","EQ","490.00","490.95","482.25","490.25","486.00","483.95","484.97","584.40","344.50","30,205","1,46,48,382.15","2,351"
"20-Aug-2024","EQ","490.90","495.95","486.35","488.35","490.05","490.25","490.97","584.40","344.50","19,498","95,72,861.05","2,658"
"19-Aug-2024","EQ","497.00","504.70","483.55","496.95","491.45","488.35","490.35","584.40","344.50","39,105","1,91,75,252.75","4,635"
"16-Aug-2024","EQ","500.10","509.45","484.35","503.30","494.75","496.95","494.07","584.40","341.05","48,950","2,41,84,802.50","7,182"
"14-Aug-2024","EQ","520.00","530.00","489.05","547.75","497.00","503.30","505.06","584.40","341.05","1,67,888","8,47,94,083.50","12,603"
"13-Aug-2024","EQ","560.00","584.40","543.05","562.50","559.00","547.75","563.39","584.40","341.05","55,990","3,15,44,477.60","7,532"
"12-Aug-2024","EQ","532.25","575.00","520.00","535.10","559.00","562.50","553.55","575.00","341.05","98,218","5,43,68,793.55","10,436"
"09-Aug-2024","EQ","551.00","560.20","531.25","549.00","537.40","535.10","541.67","574.00","341.05","24,296","1,31,60,451.40","3,695"
"08-Aug-2024","EQ","562.90","574.00","544.00","551.85","545.35","549.00","559.58","574.00","341.05","64,133","3,58,87,849.45","5,900"
"07-Aug-2024","EQ","532.80","558.00","511.05","525.00","548.00","551.85","541.40","573.05","341.05","1,24,774","6,75,52,688.35","11,662"
"06-Aug-2024","EQ","523.55","561.25","521.00","518.85","522.60","525.00","543.45","573.05","341.05","2,11,096","11,47,20,224.70","17,498"
"05-Aug-2024","EQ","530.15","569.95","513.35","546.45","517.00","518.85","535.30","573.05","341.05","1,49,540","8,00,48,690.30","12,806"
"02-Aug-2024","EQ","507.90","550.00","500.95","504.80","547.50","546.45","529.47","573.05","341.05","1,51,795","8,03,70,225.50","12,623"
"01-Aug-2024","EQ","517.10","519.80","501.00","516.20","514.95","504.80","507.44","573.05","341.05","33,389","1,69,42,868.80","3,702"
"31-Jul-2024","EQ","529.00","529.00","514.65","523.95","519.50","516.20","520.33","573.05","341.05","26,802","1,39,45,917.80","3,131"
"30-Jul-2024","EQ","519.80","534.95","512.80","516.60","522.00","523.95","525.21","573.05","341.05","1,01,687","5,34,07,305.25","8,711"
"29-Jul-2024","EQ","537.50","556.00","513.50","537.50","519.85","516.60","538.69","573.05","341.05","1,73,938","9,36,98,972.40","14,657"
