"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","3.75","3.77","3.66","3.74","3.70","3.68","3.70","6.65","2.30","62,07,429","2,29,51,758.35","8,911"
"23-Aug-2024","EQ","3.88","3.88","3.72","3.81","3.75","3.74","3.77","6.65","2.20","64,97,043","2,44,66,939.77","7,892"
"22-Aug-2024","EQ","3.79","3.87","3.77","3.75","3.82","3.81","3.82","6.65","2.20","64,99,511","2,48,04,841.84","7,936"
"21-Aug-2024","EQ","3.69","3.79","3.67","3.67","3.75","3.75","3.73","6.65","2.20","62,38,648","2,32,87,028.69","6,820"
"20-Aug-2024","EQ","3.67","3.70","3.65","3.66","3.68","3.67","3.67","6.65","2.20","31,91,511","1,17,16,958.10","6,195"
"19-Aug-2024","EQ","3.67","3.72","3.65","3.65","3.66","3.66","3.67","6.65","2.20","49,24,431","1,80,95,362.46","7,516"
"16-Aug-2024","EQ","3.74","3.75","3.65","3.67","3.65","3.65","3.68","6.65","2.20","34,42,947","1,26,80,984.89","7,365"
"14-Aug-2024","EQ","3.75","3.76","3.65","3.66","3.69","3.67","3.68","6.65","2.20","53,53,846","1,97,27,433.13","6,387"
"13-Aug-2024","EQ","3.71","3.74","3.66","3.68","3.68","3.66","3.68","6.65","2.20","39,90,997","1,46,93,349.50","7,647"
"12-Aug-2024","EQ","3.65","3.85","3.61","3.66","3.71","3.68","3.71","6.65","2.20","83,81,569","3,10,81,557.80","10,744"
"09-Aug-2024","EQ","3.76","3.77","3.63","3.70","3.67","3.66","3.71","6.65","2.20","47,08,550","1,74,75,817.99","7,421"
"08-Aug-2024","EQ","3.75","3.84","3.70","3.72","3.71","3.70","3.76","6.65","2.20","55,95,713","2,10,56,525.07","6,180"
"07-Aug-2024","EQ","3.67","3.74","3.64","3.61","3.74","3.72","3.69","6.65","2.20","42,96,811","1,58,62,048.04","5,817"
"06-Aug-2024","EQ","3.64","3.81","3.59","3.61","3.61","3.61","3.69","6.65","2.20","72,08,250","2,65,85,276.54","10,082"
"05-Aug-2024","EQ","3.71","3.76","3.59","3.77","3.64","3.61","3.65","6.65","2.20","1,00,15,641","3,65,96,830.87","14,416"
"02-Aug-2024","EQ","3.66","3.86","3.66","3.81","3.75","3.77","3.79","6.65","2.20","60,10,104","2,27,79,703.68","8,855"
"01-Aug-2024","EQ","3.89","3.90","3.79","3.86","3.82","3.81","3.84","6.65","2.20","57,66,676","2,21,36,479.43","7,910"
"31-Jul-2024","EQ","3.92","3.92","3.85","3.88","3.87","3.86","3.87","6.65","2.20","38,83,974","1,50,23,059.21","7,701"
"30-Jul-2024","EQ","3.88","3.93","3.88","3.88","3.89","3.88","3.89","6.65","2.20","35,05,140","1,36,42,525.82","7,333"
"29-Jul-2024","EQ","3.93","3.94","3.86","3.88","3.89","3.88","3.89","6.65","2.20","49,26,659","1,91,76,251.48","13,109"
