"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","51.06","51.48","48.50","51.06","49.15","49.30","49.71","66.60","29.00","90,010","44,74,709.62","526"
"23-Aug-2024","BE","51.55","52.00","49.80","51.53","50.98","51.06","51.09","66.60","29.00","46,684","23,84,966.29","310"
"22-Aug-2024","BE","51.99","52.50","50.65","51.63","51.75","51.53","51.69","66.60","29.00","66,908","34,58,326.07","409"
"21-Aug-2024","BE","50.11","52.00","49.11","51.31","51.80","51.63","50.67","66.60","29.00","50,663","25,67,222.88","447"
"20-Aug-2024","BE","51.00","52.00","50.60","50.73","51.10","51.31","51.35","66.60","29.00","51,029","26,20,580.22","280"
"19-Aug-2024","BE","49.25","51.00","49.00","49.26","50.60","50.73","50.06","66.60","29.00","75,494","37,79,418.60","392"
"16-Aug-2024","BE","50.99","51.18","48.04","50.57","48.90","49.26","48.96","66.60","29.00","1,14,897","56,25,194.87","665"
"14-Aug-2024","BE","53.49","54.00","50.20","52.82","50.51","50.57","51.30","66.60","29.00","41,863","21,47,589.11","373"
"13-Aug-2024","BE","56.78","56.78","51.77","54.50","53.28","52.82","53.28","66.60","29.00","1,50,306","80,07,842.19","859"
"12-Aug-2024","BE","53.00","54.50","52.25","51.91","54.50","54.50","53.99","66.60","29.00","1,96,880","1,06,29,051.32","834"
"09-Aug-2024","BE","51.91","53.49","50.00","51.91","52.00","51.91","51.78","66.60","29.00","74,853","38,76,171.72","575"
"08-Aug-2024","BE","54.99","54.99","51.46","54.17","51.79","51.91","52.09","66.60","29.00","1,33,544","69,56,096.37","704"
"07-Aug-2024","BE","53.65","55.75","50.95","53.64","54.50","54.17","51.99","66.60","29.00","2,36,767","1,23,09,164.78","988"
"06-Aug-2024","BE","54.02","56.65","53.64","56.47","53.64","53.64","54.27","66.60","29.00","1,62,568","88,23,001.92","1,032"
"05-Aug-2024","BE","56.47","56.47","56.47","59.45","56.47","56.47","56.47","66.60","29.00","66,275","37,42,549.25","627"
"02-Aug-2024","EQ","56.76","62.51","56.54","59.81","59.00","59.45","59.77","66.60","29.00","7,47,166","4,46,55,846.87","6,701"
"01-Aug-2024","EQ","65.79","66.60","58.25","64.26","59.83","59.81","61.29","66.60","29.00","35,68,797","21,87,28,656.16","16,631"
"31-Jul-2024","EQ","58.00","64.26","55.35","53.55","64.26","64.26","61.38","64.26","29.00","94,08,942","57,75,63,472.45","46,708"
"30-Jul-2024","EQ","44.95","53.55","44.51","44.63","53.55","53.55","51.29","53.55","29.00","44,60,886","22,88,03,250.06","13,008"
"29-Jul-2024","EQ","44.50","45.95","44.00","43.86","45.00","44.63","44.91","48.88","29.00","2,36,875","1,06,37,055.89","3,897"
