"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,482.00","1,516.30","1,452.35","1,477.45","1,490.00","1,486.90","1,474.60","1,700.00","831.25","1,74,698","25,76,09,137.20","10,639"
"23-Aug-2024","EQ","1,465.70","1,538.00","1,454.85","1,454.95","1,479.00","1,477.45","1,504.69","1,700.00","831.25","9,02,419","1,35,78,60,097.25","54,541"
"22-Aug-2024","EQ","1,450.00","1,477.40","1,442.95","1,439.95","1,453.50","1,454.95","1,458.85","1,700.00","831.25","1,25,448","18,30,09,846.40","14,882"
"21-Aug-2024","EQ","1,456.60","1,487.75","1,438.50","1,462.10","1,440.00","1,439.95","1,456.09","1,700.00","831.25","1,40,553","20,46,57,642.00","16,757"
"20-Aug-2024","EQ","1,473.00","1,490.00","1,456.00","1,447.85","1,464.00","1,462.10","1,471.03","1,700.00","831.25","2,19,060","32,22,43,735.55","17,244"
"19-Aug-2024","EQ","1,456.00","1,464.80","1,425.00","1,465.25","1,449.00","1,447.85","1,439.36","1,700.00","831.25","1,60,994","23,17,28,651.45","15,368"
"16-Aug-2024","EQ","1,480.00","1,508.80","1,452.60","1,477.85","1,465.05","1,465.25","1,468.57","1,700.00","831.25","1,73,702","25,50,94,057.60","15,903"
"14-Aug-2024","EQ","1,447.95","1,490.00","1,420.25","1,437.90","1,478.00","1,477.85","1,460.84","1,700.00","831.25","1,69,236","24,72,26,011.75","17,596"
"13-Aug-2024","EQ","1,457.60","1,467.00","1,428.15","1,457.60","1,438.00","1,437.90","1,444.83","1,700.00","831.25","84,040","12,14,23,868.45","10,734"
"12-Aug-2024","EQ","1,490.00","1,492.00","1,450.05","1,490.60","1,460.90","1,457.60","1,468.54","1,700.00","831.25","97,668","14,34,29,349.40","12,346"
"09-Aug-2024","EQ","1,520.00","1,520.00","1,486.05","1,497.30","1,492.00","1,490.60","1,495.86","1,700.00","831.25","77,981","11,66,48,399.35","13,377"
"08-Aug-2024","EQ","1,493.50","1,510.80","1,485.50","1,493.50","1,498.00","1,497.30","1,499.32","1,700.00","831.25","1,07,762","16,15,69,339.70","19,218"
"07-Aug-2024","EQ","1,488.55","1,505.00","1,454.50","1,479.95","1,487.90","1,493.50","1,476.31","1,700.00","831.25","1,77,772","26,24,46,921.40","23,934"
"06-Aug-2024","EQ","1,459.00","1,520.00","1,458.00","1,455.90","1,475.00","1,479.95","1,492.56","1,700.00","831.25","1,31,553","19,63,51,043.85","22,612"
"05-Aug-2024","EQ","1,522.00","1,522.00","1,444.20","1,533.40","1,455.00","1,455.90","1,471.25","1,700.00","831.25","1,99,674","29,37,70,103.90","31,174"
"02-Aug-2024","EQ","1,512.00","1,540.00","1,498.90","1,524.15","1,522.75","1,533.40","1,525.20","1,700.00","831.25","1,05,085","16,02,75,666.40","15,022"
"01-Aug-2024","EQ","1,540.00","1,548.85","1,516.00","1,533.15","1,520.00","1,524.15","1,525.96","1,700.00","831.25","1,58,329","24,16,03,611.05","18,381"
"31-Jul-2024","EQ","1,599.90","1,605.00","1,525.00","1,578.40","1,532.00","1,533.15","1,540.52","1,700.00","831.25","3,47,126","53,47,54,404.75","40,401"
"30-Jul-2024","EQ","1,591.95","1,609.45","1,569.15","1,580.75","1,580.00","1,578.40","1,588.37","1,700.00","831.25","86,276","13,70,38,256.50","11,143"
"29-Jul-2024","EQ","1,570.95","1,611.00","1,569.00","1,561.00","1,588.00","1,580.75","1,592.03","1,700.00","831.25","1,34,393","21,39,57,697.00","17,492"
