"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","9.17","9.17","9.15","8.74","9.17","9.17","9.17","9.17","5.89","1,71,271","15,70,472.85","196"
"23-Aug-2024","EQ","8.62","8.74","8.52","8.33","8.74","8.74","8.68","8.74","5.89","2,90,106","25,18,399.11","439"
"22-Aug-2024","EQ","8.20","8.33","7.94","7.94","8.33","8.33","8.23","8.33","5.89","5,60,211","46,12,335.60","664"
"21-Aug-2024","EQ","7.94","7.94","7.94","7.57","7.94","7.94","7.94","7.94","5.89","23,783","1,88,837.02","57"
"20-Aug-2024","EQ","7.57","7.57","7.57","7.21","7.57","7.57","7.57","8.20","5.89","96,283","7,28,862.31","83"
"19-Aug-2024","EQ","7.21","7.21","7.21","6.87","7.21","7.21","7.21","8.20","5.89","48,971","3,53,080.91","94"
"16-Aug-2024","EQ","6.87","6.87","6.87","6.55","6.87","6.87","6.87","8.20","5.89","99,258","6,81,902.46","181"
"14-Aug-2024","EQ","6.55","6.55","5.92","6.24","6.55","6.55","6.32","8.20","5.89","3,40,499","21,53,504.90","695"
"13-Aug-2024","EQ","6.20","6.51","5.89","6.20","6.40","6.24","6.22","8.20","5.89","3,22,453","20,05,680.01","547"
"12-Aug-2024","EQ","5.92","6.24","5.92","6.09","6.24","6.20","6.08","8.20","5.92","55,759","3,39,037.34","373"
"09-Aug-2024","EQ","6.47","6.47","6.01","6.20","6.25","6.09","6.16","8.20","6.00","50,944","3,13,698.98","306"
"08-Aug-2024","EQ","6.52","6.52","6.10","6.22","6.22","6.20","6.21","8.20","6.00","42,544","2,64,167.43","247"
"07-Aug-2024","EQ","6.20","6.30","6.00","6.05","6.30","6.22","6.16","8.20","6.00","1,06,264","6,54,182.98","225"
"06-Aug-2024","EQ","6.30","6.48","6.02","6.32","6.05","6.05","6.18","8.20","6.02","95,314","5,89,387.91","352"
"05-Aug-2024","EQ","6.54","6.59","6.30","6.51","6.30","6.32","6.34","8.20","6.21","93,979","5,95,492.87","346"
"02-Aug-2024","EQ","6.43","6.56","6.21","6.43","6.54","6.51","6.45","8.20","5.95","69,389","4,47,254.03","311"
"01-Aug-2024","EQ","6.64","6.64","6.40","6.52","6.59","6.43","6.47","8.20","5.95","1,06,511","6,89,133.57","358"
"31-Jul-2024","EQ","6.55","6.66","6.41","6.55","6.46","6.52","6.54","8.20","5.90","46,224","3,02,412.67","417"
"30-Jul-2024","EQ","6.69","6.69","6.48","6.59","6.51","6.55","6.54","8.20","5.90","71,280","4,66,364.96","374"
"29-Jul-2024","EQ","6.69","6.69","6.46","6.46","6.62","6.59","6.57","8.20","5.70","75,809","4,97,829.29","389"
