"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","294.50","314.80","286.00","287.85","311.75","311.60","301.67","674.85","281.20","14,76,333","44,53,67,266.00","22,602"
"23-Aug-2024","EQ","287.40","297.55","284.90","284.90","288.00","287.85","290.71","674.85","281.20","6,68,401","19,43,08,900.45","11,334"
"22-Aug-2024","EQ","289.95","290.00","284.50","285.00","285.00","284.90","285.91","674.85","281.20","7,64,600","21,86,08,389.80","10,288"
"21-Aug-2024","EQ","292.95","295.40","284.55","290.00","285.00","285.00","286.38","674.85","281.20","6,82,526","19,54,64,429.10","18,651"
"20-Aug-2024","EQ","289.00","301.00","288.00","284.55","289.95","290.00","293.01","674.85","281.20","6,48,325","18,99,68,656.40","16,406"
"19-Aug-2024","EQ","285.00","289.95","282.10","284.85","284.95","284.55","285.56","674.85","281.20","4,80,170","13,71,17,144.35","8,446"
"16-Aug-2024","EQ","294.80","295.00","281.20","288.90","285.00","284.85","285.92","674.85","281.20","3,32,851","9,51,68,875.75","10,281"
"14-Aug-2024","EQ","305.00","308.40","288.00","303.45","289.00","288.90","292.85","674.85","288.00","4,08,616","11,96,64,798.90","10,777"
"13-Aug-2024","EQ","306.45","311.90","302.00","306.10","302.95","303.45","306.84","674.85","300.10","2,94,656","9,04,12,833.25","7,064"
"12-Aug-2024","EQ","304.00","312.70","301.80","305.50","306.00","306.10","308.11","674.85","300.10","4,15,852","12,81,26,287.80","8,286"
"09-Aug-2024","EQ","320.00","328.55","300.10","313.05","305.00","305.50","316.52","674.85","300.10","22,46,626","71,11,00,562.30","57,121"
"08-Aug-2024","EQ","337.00","340.00","304.00","346.40","314.25","313.05","318.13","674.85","304.00","52,94,642","1,68,43,96,161.50","1,02,340"
"07-Aug-2024","EQ","346.40","346.40","346.40","433.00","346.40","346.40","346.40","674.85","346.40","6,83,643","23,68,13,935.20","7,838"
"06-Aug-2024","EQ","441.65","441.65","429.05","434.15","432.70","433.00","435.60","674.85","416.20","1,68,566","7,34,27,930.15","12,692"
"05-Aug-2024","EQ","430.10","450.50","421.05","435.85","440.00","434.15","432.81","674.85","416.20","4,09,779","17,73,55,419.75","23,230"
"02-Aug-2024","EQ","431.65","442.00","431.65","438.20","436.50","435.85","436.86","691.00","416.20","2,23,120","9,74,71,970.80","12,480"
"01-Aug-2024","EQ","433.00","439.75","431.00","432.05","438.85","438.20","435.51","691.00","416.20","2,88,077","12,54,59,717.75","10,485"
"31-Jul-2024","EQ","434.75","435.25","431.00","431.55","433.50","432.05","433.20","691.00","416.20","1,08,645","4,70,65,066.10","5,180"
"30-Jul-2024","EQ","439.50","439.50","430.05","435.10","432.10","431.55","432.62","691.00","416.20","1,90,110","8,22,45,616.70","9,072"
"29-Jul-2024","EQ","438.05","440.85","434.05","438.05","436.50","435.10","437.06","691.00","416.20","1,05,134","4,59,50,322.55","6,465"
