"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","137.30","137.93","134.86","136.69","135.38","135.18","135.52","421.20","125.00","3,87,472","5,25,08,993.14","7,210"
"23-Aug-2024","EQ","137.80","137.80","136.02","138.22","136.05","136.69","136.64","421.20","125.00","4,23,177","5,78,22,126.18","7,490"
"22-Aug-2024","EQ","139.50","140.25","137.05","138.74","138.00","138.22","138.38","421.20","125.00","7,22,823","10,00,24,319.47","11,779"
"21-Aug-2024","EQ","136.00","141.96","136.00","135.29","138.45","138.74","139.42","421.20","125.00","27,84,248","38,81,85,628.40","36,379"
"20-Aug-2024","EQ","131.40","138.76","131.29","131.24","136.00","135.29","135.65","421.20","125.00","19,57,262","26,54,99,469.72","22,570"
"19-Aug-2024","EQ","130.05","132.60","130.00","129.36","131.61","131.24","131.48","421.20","125.00","4,58,695","6,03,11,511.37","7,453"
"16-Aug-2024","EQ","128.35","129.74","127.44","127.61","129.60","129.36","128.64","421.20","125.00","3,14,595","4,04,68,589.04","5,830"
"14-Aug-2024","EQ","129.80","129.85","126.32","129.10","128.10","127.61","127.57","421.20","125.00","5,38,601","6,87,11,966.75","7,618"
"13-Aug-2024","EQ","130.00","133.10","128.30","129.42","128.90","129.10","130.49","421.20","125.00","7,69,248","10,03,77,596.95","10,105"
"12-Aug-2024","EQ","129.99","130.34","128.06","129.47","129.65","129.42","129.42","421.20","125.00","4,22,750","5,47,13,655.89","7,501"
"09-Aug-2024","EQ","131.10","131.45","128.99","129.14","129.15","129.47","129.99","421.20","125.00","4,15,985","5,40,74,850.75","7,183"
"08-Aug-2024","EQ","130.14","131.10","128.95","130.14","129.65","129.14","130.14","421.20","125.00","5,11,362","6,65,50,845.34","8,296"
"07-Aug-2024","EQ","129.50","131.25","128.40","128.18","130.74","130.14","129.63","421.20","125.00","7,68,209","9,95,84,777.18","11,131"
"06-Aug-2024","EQ","133.28","134.00","127.83","130.49","128.40","128.18","130.39","421.20","125.00","8,95,621","11,67,78,710.49","13,436"
"05-Aug-2024","EQ","135.00","135.00","129.82","137.60","130.50","130.49","132.25","421.20","125.00","11,13,479","14,72,62,277.52","15,913"
"02-Aug-2024","EQ","136.00","138.00","134.54","137.33","137.90","137.60","136.92","421.20","125.00","4,56,793","6,25,41,989.46","7,199"
"01-Aug-2024","EQ","140.60","140.70","136.31","139.70","137.99","137.33","138.59","421.20","125.00","6,30,565","8,73,92,883.50","9,691"
"31-Jul-2024","EQ","141.00","141.70","139.30","140.42","139.70","139.70","140.47","421.20","125.00","5,46,540","7,67,72,615.38","8,026"
"30-Jul-2024","EQ","140.70","141.20","139.55","139.76","140.50","140.42","140.34","421.20","125.00","5,53,849","7,77,27,510.72","10,543"
"29-Jul-2024","EQ","142.99","142.99","138.84","141.77","139.65","139.76","140.84","421.20","125.00","10,33,228","14,55,22,540.44","12,901"
