"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","217.70","217.90","213.05","215.92","213.05","213.44","214.93","344.05","182.45","3,40,821","7,32,52,103.49","8,504"
"23-Aug-2024","EQ","219.01","219.01","215.00","219.51","215.75","215.92","216.60","344.05","182.45","3,56,608","7,72,41,357.81","8,298"
"22-Aug-2024","EQ","221.00","225.00","218.36","219.36","219.00","219.51","221.21","344.05","182.45","7,19,241","15,91,00,782.48","13,336"
"21-Aug-2024","EQ","208.00","222.50","207.75","207.59","220.00","219.36","219.35","344.05","182.45","22,08,432","48,44,09,740.02","38,680"
"20-Aug-2024","EQ","210.70","211.00","207.00","208.30","207.70","207.59","208.74","344.05","182.45","1,97,296","4,11,83,906.40","5,034"
"19-Aug-2024","EQ","207.60","209.79","207.14","207.48","208.99","208.30","208.09","344.05","182.45","1,98,757","4,13,60,083.21","4,287"
"16-Aug-2024","EQ","209.95","209.95","206.30","207.65","207.90","207.48","207.56","344.05","182.45","1,66,775","3,46,15,837.87","5,290"
"14-Aug-2024","EQ","209.56","211.60","206.00","209.56","208.89","207.65","207.99","344.05","182.45","2,53,491","5,27,23,197.20","9,446"
"13-Aug-2024","EQ","206.68","215.34","206.68","206.66","209.65","209.56","212.34","344.05","182.45","5,65,694","12,01,19,198.47","11,927"
"12-Aug-2024","EQ","208.00","208.69","205.60","208.70","207.10","206.66","206.88","344.05","182.45","1,68,728","3,49,06,307.72","5,869"
"09-Aug-2024","EQ","212.00","213.41","208.20","209.67","208.89","208.70","210.17","344.05","182.45","2,74,749","5,77,44,541.05","10,156"
"08-Aug-2024","EQ","215.08","215.70","208.60","216.10","210.19","209.67","212.58","344.05","182.45","3,83,315","8,14,85,252.60","11,053"
"07-Aug-2024","EQ","204.10","225.00","201.10","203.67","216.50","216.10","217.99","344.05","182.45","34,75,258","75,75,74,496.29","68,272"
"06-Aug-2024","EQ","204.23","206.28","201.79","202.23","204.74","203.67","203.93","344.05","182.45","1,64,258","3,34,97,233.10","7,776"
"05-Aug-2024","EQ","203.00","206.80","201.10","210.67","202.70","202.23","203.37","344.05","182.45","3,59,238","7,30,59,892.65","15,644"
"02-Aug-2024","EQ","205.15","212.99","205.15","209.70","211.10","210.67","210.59","344.05","182.45","2,29,818","4,83,97,210.41","8,846"
"01-Aug-2024","EQ","213.45","213.95","209.20","213.45","209.60","209.70","211.39","344.05","182.45","1,92,381","4,06,66,649.14","7,125"
"31-Jul-2024","EQ","213.00","214.64","212.70","213.35","213.00","213.45","213.37","344.05","182.45","1,56,428","3,33,77,598.43","4,376"
"30-Jul-2024","EQ","210.33","214.48","210.33","210.33","213.23","213.35","213.19","344.05","182.45","2,75,830","5,88,03,785.83","7,104"
"29-Jul-2024","EQ","215.50","215.50","209.52","212.54","210.46","210.33","211.76","344.05","182.45","2,48,700","5,26,64,687.95","6,406"
