"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","796.00","796.00","777.55","786.15","784.95","785.25","785.58","935.00","658.40","2,686","21,10,056.70","333"
"23-Aug-2024","EQ","804.70","804.70","781.35","797.00","781.35","786.15","790.24","935.00","652.00","3,479","27,49,256.50","324"
"22-Aug-2024","EQ","792.05","806.95","785.00","789.35","797.50","797.00","795.27","935.00","652.00","6,419","51,04,860.45","476"
"21-Aug-2024","EQ","778.05","793.00","778.00","777.50","792.90","789.35","787.22","935.00","652.00","2,809","22,11,310.00","270"
"20-Aug-2024","EQ","788.80","792.90","775.00","784.70","777.00","777.50","781.04","935.00","652.00","6,108","47,70,601.70","417"
"19-Aug-2024","EQ","785.90","789.85","770.00","781.75","785.00","784.70","780.93","935.00","652.00","4,988","38,95,269.50","463"
"16-Aug-2024","EQ","794.20","794.20","778.15","790.00","781.50","781.75","784.15","935.00","642.00","3,521","27,61,002.75","401"
"14-Aug-2024","EQ","777.30","799.00","777.30","784.45","794.00","790.00","791.96","935.00","642.00","12,325","97,60,935.15","797"
"13-Aug-2024","EQ","772.15","796.00","772.15","795.00","781.45","784.45","786.30","935.00","642.00","3,703","29,11,651.15","404"
"12-Aug-2024","EQ","804.35","806.05","770.00","804.55","799.00","795.00","797.46","935.00","642.00","3,328","26,53,952.20","336"
"09-Aug-2024","EQ","799.90","815.50","789.95","796.25","808.00","804.55","805.46","935.00","612.00","10,146","81,72,246.95","507"
"08-Aug-2024","EQ","808.25","812.00","791.00","808.75","792.00","796.25","800.57","935.00","612.00","3,312","26,51,476.20","400"
"07-Aug-2024","EQ","814.10","815.90","803.00","811.65","812.75","808.75","810.64","935.00","612.00","2,250","18,23,937.20","321"
"06-Aug-2024","EQ","802.40","819.30","802.40","802.40","815.00","811.65","813.21","935.00","612.00","3,030","24,64,039.80","434"
"05-Aug-2024","EQ","835.25","835.25","790.35","854.75","800.00","802.40","811.00","935.00","612.00","13,106","1,06,28,932.10","1,112"
"02-Aug-2024","EQ","827.55","865.90","808.80","827.55","857.80","854.75","846.03","935.00","605.00","20,375","1,72,37,911.15","1,155"
"01-Aug-2024","EQ","838.80","845.00","821.05","834.70","839.00","827.55","835.86","935.00","605.00","13,555","1,13,30,125.70","1,302"
"31-Jul-2024","EQ","841.55","842.70","824.95","832.85","842.00","834.70","834.30","935.00","605.00","4,980","41,54,816.55","1,119"
"30-Jul-2024","EQ","823.80","844.50","817.95","819.45","842.00","832.85","835.13","935.00","605.00","15,295","1,27,73,276.05","1,737"
"29-Jul-2024","EQ","820.50","826.40","815.20","816.25","824.00","819.45","821.15","935.00","605.00","7,237","59,42,627.55","988"
