"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","165.26","170.00","160.72","163.86","162.20","162.26","162.76","217.05","126.95","2,35,592","3,83,43,868.94","6,430"
"23-Aug-2024","EQ","167.70","169.66","163.01","167.05","164.45","163.86","165.50","217.05","126.95","1,04,738","1,73,33,817.66","4,413"
"22-Aug-2024","EQ","168.65","169.94","165.60","167.01","168.00","167.05","167.57","217.05","126.95","1,35,221","2,26,59,658.21","4,948"
"21-Aug-2024","EQ","162.50","168.45","161.48","162.26","167.30","167.01","166.19","217.05","126.95","1,97,927","3,28,94,168.55","5,878"
"20-Aug-2024","EQ","159.99","164.40","159.99","159.68","163.40","162.26","162.27","217.05","126.95","1,21,396","1,96,99,231.09","3,872"
"19-Aug-2024","EQ","157.55","161.10","156.87","156.71","159.99","159.68","159.48","217.05","126.95","1,10,352","1,75,98,948.31","3,123"
"16-Aug-2024","EQ","158.65","158.65","156.00","156.71","157.00","156.71","157.29","217.05","126.95","1,13,477","1,78,48,579.30","4,224"
"14-Aug-2024","EQ","163.00","163.00","156.01","162.93","157.25","156.71","158.10","217.05","126.95","2,33,968","3,69,90,816.63","7,313"
"13-Aug-2024","EQ","166.80","169.90","160.60","169.33","161.80","162.93","164.22","217.05","126.95","2,67,675","4,39,56,658.60","8,995"
"12-Aug-2024","EQ","168.00","173.94","167.94","170.69","168.75","169.33","171.52","217.05","126.95","2,70,480","4,63,92,166.00","7,948"
"09-Aug-2024","EQ","163.38","172.90","161.72","161.05","172.90","170.69","169.31","217.05","126.95","4,82,361","8,16,66,169.28","15,626"
"08-Aug-2024","EQ","164.00","167.00","160.00","164.83","161.95","161.05","163.45","217.05","126.95","1,55,824","2,54,69,227.86","6,291"
"07-Aug-2024","EQ","158.35","168.00","157.41","156.30","164.20","164.83","161.53","217.05","126.95","1,97,513","3,19,03,929.14","6,391"
"06-Aug-2024","EQ","162.15","168.00","155.52","160.86","156.85","156.30","160.52","217.05","126.95","4,45,489","7,15,09,945.63","10,502"
"05-Aug-2024","EQ","168.60","168.60","160.00","172.29","160.50","160.86","163.50","217.05","126.95","4,59,652","7,51,51,782.29","13,054"
"02-Aug-2024","EQ","168.10","175.67","168.10","172.79","172.50","172.29","172.99","217.05","126.95","3,32,774","5,75,67,425.66","9,821"
"01-Aug-2024","EQ","169.65","179.00","167.52","167.97","174.50","172.79","174.72","217.05","126.95","11,23,248","19,62,58,177.70","28,947"
"31-Jul-2024","EQ","172.00","174.49","167.00","171.59","168.40","167.97","170.67","217.05","126.95","2,67,406","4,56,37,261.94","7,138"
"30-Jul-2024","EQ","172.48","174.24","167.98","171.18","170.51","171.59","171.34","217.05","126.95","3,86,029","6,61,40,679.90","9,479"
"29-Jul-2024","EQ","171.67","177.00","170.10","171.67","170.30","171.18","173.94","217.05","126.95","3,68,643","6,41,22,397.31","9,504"
