"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","52.98","52.98","50.17","51.51","51.00","50.90","51.47","70.97","34.55","1,04,833","53,96,042.71","178"
"23-Aug-2024","BE","53.35","53.35","50.50","52.44","51.97","51.51","51.46","70.97","34.55","44,217","22,75,476.43","262"
"22-Aug-2024","BE","50.95","52.89","50.35","50.46","52.45","52.44","51.74","70.97","34.55","72,299","37,41,106.34","262"
"21-Aug-2024","BE","50.79","51.30","49.00","49.97","50.20","50.46","50.40","70.97","34.55","87,031","43,86,262.17","522"
"20-Aug-2024","BE","50.65","50.89","49.05","49.13","49.99","49.97","49.96","70.97","34.55","43,115","21,53,961.09","183"
"19-Aug-2024","BE","50.50","51.99","48.75","50.80","50.18","49.13","49.92","70.97","34.55","84,264","42,06,813.95","233"
"16-Aug-2024","BE","50.00","52.78","50.00","50.34","50.98","50.80","50.39","70.97","34.55","52,296","26,35,411.04","146"
"14-Aug-2024","BE","49.10","52.90","49.10","50.59","51.45","50.34","50.78","70.97","34.55","68,559","34,81,741.98","171"
"13-Aug-2024","BE","50.22","52.10","49.50","49.62","50.85","50.59","51.04","70.97","34.55","1,43,729","73,35,312.69","254"
"12-Aug-2024","BE","49.15","50.92","49.15","50.98","50.50","49.62","49.98","70.97","34.55","41,441","20,71,108.28","212"
"09-Aug-2024","BE","52.20","52.25","49.80","51.15","50.99","50.98","51.11","70.97","34.55","86,056","43,98,018.42","226"
"08-Aug-2024","BE","53.70","53.70","50.25","52.01","51.12","51.15","51.59","70.97","34.55","43,106","22,23,834.73","158"
"07-Aug-2024","BE","51.00","52.35","49.37","49.99","52.26","52.01","51.07","70.97","34.55","43,401","22,16,315.42","194"
"06-Aug-2024","BE","51.87","52.50","49.26","50.71","51.50","49.99","51.23","70.97","34.55","1,37,220","70,29,691.06","333"
"05-Aug-2024","BE","51.60","52.98","50.69","53.36","50.99","50.71","51.44","70.97","34.55","1,18,711","61,06,500.76","370"
"02-Aug-2024","BE","53.95","54.00","52.00","54.04","53.01","53.36","53.10","70.97","34.55","54,319","28,84,250.67","262"
"01-Aug-2024","BE","55.85","57.40","53.25","55.85","54.00","54.04","54.73","70.97","34.55","41,840","22,90,008.65","200"
"31-Jul-2024","BE","55.00","56.44","54.10","55.35","55.85","55.85","55.20","70.97","34.55","40,819","22,53,201.33","196"
"30-Jul-2024","BE","55.50","56.99","54.00","56.19","54.40","55.35","54.88","70.97","34.55","82,996","45,54,509.86","351"
"29-Jul-2024","BE","58.90","58.90","54.00","56.72","56.30","56.19","57.28","70.97","34.55","1,33,272","76,33,394.15","414"
