"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","719.75","740.00","704.30","718.45","721.00","725.30","719.60","777.00","298.55","2,98,596","21,48,70,907.20","15,296"
"23-Aug-2024","EQ","741.65","747.00","710.85","743.60","714.90","718.45","727.79","777.00","283.25","3,46,768","25,23,72,713.05","15,255"
"22-Aug-2024","EQ","760.00","777.00","731.15","743.40","740.05","743.60","750.16","777.00","283.25","7,51,858","56,40,12,988.20","24,368"
"21-Aug-2024","EQ","739.80","753.30","728.10","733.35","742.00","743.40","741.30","768.70","283.25","3,32,156","24,62,27,661.95","18,191"
"20-Aug-2024","EQ","710.60","757.00","696.55","700.25","734.00","733.35","728.19","768.70","283.25","14,96,081","1,08,94,37,194.90","63,741"
"19-Aug-2024","EQ","711.75","714.95","695.50","711.75","703.00","700.25","703.05","768.70","283.25","2,54,295","17,87,81,959.85","15,854"
"16-Aug-2024","EQ","670.00","720.95","654.05","664.05","708.90","711.75","683.80","768.70","266.00","7,21,174","49,31,40,948.00","37,087"
"14-Aug-2024","EQ","679.00","685.25","657.20","681.60","664.00","664.05","670.95","768.70","266.00","1,11,623","7,48,93,793.25","8,394"
"13-Aug-2024","EQ","700.25","703.00","677.60","700.70","684.00","681.60","690.99","768.70","266.00","1,55,750","10,76,22,462.70","8,862"
"12-Aug-2024","EQ","676.20","708.00","669.00","683.85","697.45","700.70","692.79","768.70","266.00","2,41,897","16,75,82,986.60","19,503"
"09-Aug-2024","EQ","640.50","697.45","640.50","640.25","684.50","683.85","679.51","768.70","266.00","3,58,112","24,33,41,632.05","21,675"
"08-Aug-2024","EQ","646.00","656.00","637.10","650.15","638.05","640.25","645.45","768.70","266.00","1,49,391","9,64,25,166.05","9,787"
"07-Aug-2024","EQ","662.20","664.00","647.25","652.45","650.00","650.15","652.57","768.70","266.00","1,71,024","11,16,05,695.85","10,121"
"06-Aug-2024","EQ","668.00","691.65","648.20","663.65","653.10","652.45","665.47","768.70","266.00","2,37,125","15,77,98,504.00","14,324"
"05-Aug-2024","EQ","694.00","704.90","661.00","721.20","669.70","663.65","678.76","768.70","266.00","3,35,951","22,80,30,174.80","23,161"
"02-Aug-2024","EQ","692.10","725.00","685.00","699.20","719.80","721.20","710.17","768.70","266.00","1,99,380","14,15,93,209.35","12,279"
"01-Aug-2024","EQ","715.00","728.80","696.00","714.85","699.00","699.20","707.92","768.70","266.00","2,16,041","15,29,39,071.00","13,045"
"31-Jul-2024","EQ","729.00","744.70","709.00","727.50","720.00","714.85","724.96","768.70","266.00","3,43,388","24,89,43,791.65","17,825"
"30-Jul-2024","EQ","700.05","731.50","694.70","700.05","724.90","727.50","715.50","768.70","266.00","3,18,927","22,81,91,291.75","21,064"
"29-Jul-2024","EQ","733.00","733.00","695.00","731.05","699.95","700.05","706.56","768.70","266.00","2,51,432","17,76,51,252.05","13,859"
