"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","938.00","939.85","920.10","927.50","923.00","924.25","927.45","2,527.05","708.90","1,63,720","15,18,42,640.20","7,231"
"23-Aug-2024","EQ","937.80","944.00","926.00","936.20","930.00","927.50","932.80","2,527.05","708.90","1,12,045","10,45,15,605.10","5,819"
"22-Aug-2024","EQ","951.00","960.55","934.50","944.50","937.00","936.20","941.87","2,527.05","708.90","1,41,566","13,33,36,467.50","6,072"
"21-Aug-2024","EQ","961.00","962.30","940.55","959.50","945.30","944.50","945.27","2,527.05","708.90","1,13,762","10,75,35,566.75","5,728"
"20-Aug-2024","EQ","928.00","988.95","917.10","924.20","964.00","959.50","957.37","2,527.05","708.90","4,16,851","39,90,79,659.50","19,981"
"19-Aug-2024","EQ","955.75","960.00","915.60","949.70","926.20","924.20","928.91","2,527.05","708.90","3,09,519","28,75,14,017.75","15,195"
"16-Aug-2024","EQ","973.00","973.00","945.95","950.10","949.00","949.70","953.03","2,527.05","708.90","1,03,583","9,87,17,397.05","5,067"
"14-Aug-2024","EQ","965.00","1,000.95","940.00","957.10","950.90","950.10","958.01","2,527.05","708.90","4,07,370","39,02,65,636.15","15,586"
"13-Aug-2024","EQ","1,026.00","1,027.00","940.00","1,025.60","956.90","957.10","972.03","2,527.05","708.90","5,17,138","50,26,71,498.20","26,678"
"12-Aug-2024","EQ","1,038.00","1,050.35","1,011.25","1,023.85","1,026.00","1,025.60","1,027.76","2,527.05","708.90","3,45,342","35,49,28,621.40","13,727"
"09-Aug-2024","EQ","968.00","1,033.45","946.25","940.30","1,022.00","1,023.85","996.86","2,527.05","708.90","6,26,056","62,40,88,843.95","17,942"
"08-Aug-2024","EQ","936.20","954.65","934.95","937.80","939.00","940.30","943.46","2,527.05","708.90","84,123","7,93,66,852.95","5,174"
"07-Aug-2024","EQ","955.00","959.95","929.00","925.25","930.00","937.80","939.35","2,527.05","708.90","2,30,801","21,68,01,871.95","6,806"
"06-Aug-2024","EQ","962.80","973.00","915.00","952.75","924.00","925.25","946.43","2,527.05","708.90","3,03,426","28,71,72,699.35","13,462"
"05-Aug-2024","EQ","962.90","973.65","952.75","1,002.90","952.75","952.75","955.53","2,527.05","708.90","2,32,734","22,23,85,029.90","7,539"
"02-Aug-2024","EQ","990.00","1,009.85","980.75","1,002.60","1,006.45","1,002.90","994.34","2,527.05","708.90","2,96,768","29,50,87,481.75","8,813"
"01-Aug-2024","EQ","1,018.95","1,025.45","991.50","1,009.35","994.00","1,002.60","1,010.99","2,527.05","708.90","2,74,968","27,79,89,113.85","7,214"
"31-Jul-2024","EQ","1,023.00","1,029.00","999.75","1,022.50","1,012.20","1,009.35","1,008.12","2,527.05","708.90","1,65,846","16,71,93,134.65","7,237"
"30-Jul-2024","EQ","990.00","1,030.00","987.15","994.85","1,025.10","1,022.50","1,012.45","2,527.05","708.90","3,04,694","30,84,87,494.20","14,425"
"29-Jul-2024","EQ","1,005.00","1,014.90","965.00","966.60","980.00","994.85","996.86","2,527.05","708.90","10,41,019","1,03,77,46,485.05","20,182"
