"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","412.00","413.00","406.45","407.65","407.00","407.50","408.51","467.80","202.50","6,34,294","25,91,18,368.05","17,481"
"23-Aug-2024","EQ","408.15","416.60","405.20","407.00","406.45","407.65","410.94","467.80","202.50","8,16,789","33,56,50,091.10","20,921"
"22-Aug-2024","EQ","413.00","415.70","405.50","412.05","408.15","407.00","410.73","467.80","202.50","8,50,911","34,94,97,877.90","20,774"
"21-Aug-2024","EQ","407.90","425.20","405.90","406.95","411.75","412.05","416.44","467.80","202.50","34,20,577","1,42,44,55,232.80","54,450"
"20-Aug-2024","EQ","400.00","411.40","398.30","399.60","408.30","406.95","406.02","467.80","202.50","14,27,269","57,94,98,678.20","33,397"
"19-Aug-2024","EQ","385.25","402.75","385.25","384.30","400.50","399.60","397.48","467.80","202.50","13,93,872","55,40,35,798.70","35,102"
"16-Aug-2024","EQ","384.90","387.00","381.40","379.30","385.95","384.30","383.69","467.80","194.50","6,91,786","26,54,31,785.10","21,771"
"14-Aug-2024","EQ","392.80","393.70","376.30","388.35","381.00","379.30","383.22","467.80","194.50","11,98,441","45,92,60,764.80","31,046"
"13-Aug-2024","EQ","397.55","402.50","385.65","397.55","388.60","388.35","393.15","467.80","194.50","8,29,943","32,62,89,010.45","21,647"
"12-Aug-2024","EQ","395.65","407.00","388.10","389.50","397.50","397.55","398.21","467.80","194.50","18,39,171","73,23,79,186.85","44,942"
"09-Aug-2024","EQ","398.10","399.75","386.45","391.05","388.45","389.50","393.61","467.80","194.50","11,65,288","45,86,67,681.75","26,723"
"08-Aug-2024","EQ","389.85","407.00","385.40","389.90","391.40","391.05","396.79","467.80","194.50","26,94,746","1,06,92,46,944.55","61,402"
"07-Aug-2024","EQ","385.00","391.55","379.05","376.15","390.00","389.90","385.75","467.80","194.50","13,79,332","53,20,75,954.75","33,750"
"06-Aug-2024","EQ","392.95","399.45","374.00","385.90","377.35","376.15","388.70","467.80","194.50","17,71,582","68,86,06,755.75","45,111"
"05-Aug-2024","EQ","400.00","400.00","382.00","409.85","385.70","385.90","389.86","467.80","194.50","21,52,573","83,91,99,717.70","51,201"
"02-Aug-2024","EQ","401.00","417.70","401.00","411.95","410.80","409.85","410.42","467.80","194.50","24,93,549","1,02,34,09,188.40","47,583"
"01-Aug-2024","EQ","434.20","442.50","409.65","429.95","412.90","411.95","427.35","467.80","194.50","55,85,395","2,38,69,04,668.25","90,732"
"31-Jul-2024","EQ","416.50","440.00","409.65","413.60","429.50","429.95","428.22","467.80","194.50","91,91,676","3,93,60,95,072.00","1,32,524"
"30-Jul-2024","EQ","404.90","430.60","400.90","403.50","413.00","413.60","419.10","467.80","194.50","72,07,516","3,02,06,40,951.15","1,15,696"
"29-Jul-2024","EQ","412.90","418.80","401.90","410.50","403.30","403.50","409.78","467.80","194.50","33,35,028","1,36,66,31,156.30","53,158"
