"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","86.90","91.84","86.90","87.85","90.12","90.28","89.52","112.00","70.00","13,823","12,37,451.76","506"
"23-Aug-2024","EQ","87.00","89.00","84.91","86.37","88.30","87.85","87.19","112.00","70.00","18,666","16,27,564.77","857"
"22-Aug-2024","EQ","87.96","88.00","85.75","86.60","85.75","86.37","86.79","112.00","70.00","6,106","5,29,933.62","196"
"21-Aug-2024","EQ","87.98","87.98","85.29","85.80","87.50","86.60","86.28","112.00","70.00","6,241","5,38,497.44","188"
"20-Aug-2024","EQ","86.99","87.00","84.32","85.17","86.19","85.80","85.60","112.00","70.00","2,731","2,33,771.45","122"
"19-Aug-2024","EQ","86.49","86.49","84.05","83.11","85.64","85.17","85.42","112.00","70.00","3,406","2,90,927.29","135"
"16-Aug-2024","EQ","87.86","87.86","82.05","86.04","82.75","83.11","83.51","112.00","70.00","37,106","30,98,625.09","276"
"14-Aug-2024","EQ","87.51","87.99","85.01","87.51","87.99","86.04","85.96","112.00","70.00","1,424","1,22,404.65","63"
"13-Aug-2024","EQ","91.25","91.25","87.00","88.80","87.00","87.51","88.04","112.00","70.00","3,615","3,18,265.79","81"
"12-Aug-2024","EQ","91.00","92.75","88.80","89.39","88.80","88.80","89.68","112.00","70.00","6,789","6,08,845.99","185"
"09-Aug-2024","EQ","85.96","89.59","85.96","85.33","89.59","89.39","89.11","112.00","70.00","10,335","9,21,000.92","169"
"08-Aug-2024","EQ","85.66","85.99","83.70","84.98","85.50","85.33","85.22","112.00","70.00","3,841","3,27,322.40","103"
"07-Aug-2024","EQ","83.90","85.41","82.45","84.00","85.00","84.98","83.95","112.00","70.00","5,689","4,77,586.53","246"
"06-Aug-2024","EQ","83.98","85.94","82.54","83.17","84.00","84.00","84.23","112.00","70.00","10,000","8,42,304.75","404"
"05-Aug-2024","EQ","85.00","87.23","83.10","87.48","83.10","83.17","83.80","112.00","70.00","14,870","12,46,049.24","432"
"02-Aug-2024","EQ","87.03","90.47","86.00","87.09","86.74","87.48","87.83","112.00","70.00","21,497","18,88,110.71","901"
"01-Aug-2024","EQ","90.32","90.33","86.82","89.28","87.00","87.09","88.28","112.00","70.00","11,459","10,11,605.86","329"
"31-Jul-2024","EQ","91.04","91.19","89.00","89.82","89.26","89.28","89.85","112.00","70.00","27,218","24,45,636.31","348"
"30-Jul-2024","EQ","88.95","92.03","88.95","91.97","89.71","89.82","90.44","112.00","70.00","8,053","7,28,335.21","195"
"29-Jul-2024","EQ","92.28","94.89","90.68","92.15","92.12","91.97","91.99","112.00","70.00","10,055","9,24,937.39","268"
