"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,879.00","1,888.95","1,851.00","1,868.70","1,853.25","1,854.25","1,863.08","2,220.95","1,475.05","2,92,605","54,51,47,299.00","25,462"
"23-Aug-2024","EQ","1,904.95","1,919.70","1,865.65","1,900.25","1,869.25","1,868.70","1,883.17","2,220.95","1,475.05","2,21,673","41,74,48,059.40","22,433"
"22-Aug-2024","EQ","1,958.70","1,959.00","1,885.05","1,929.75","1,893.00","1,900.25","1,903.09","2,220.95","1,475.05","6,34,906","1,20,82,82,187.35","57,566"
"21-Aug-2024","EQ","1,958.00","1,977.50","1,921.00","1,929.90","1,930.00","1,929.75","1,939.95","2,220.95","1,475.05","3,34,459","64,88,33,639.25","28,831"
"20-Aug-2024","EQ","1,984.15","1,999.95","1,922.25","1,961.00","1,929.00","1,929.90","1,947.34","2,220.95","1,475.05","1,10,989","21,61,33,136.85","18,576"
"19-Aug-2024","EQ","1,957.70","1,995.00","1,951.00","1,945.05","1,962.00","1,961.00","1,972.90","2,220.95","1,475.05","1,36,153","26,86,16,742.80","19,349"
"16-Aug-2024","EQ","1,942.80","1,973.75","1,909.45","1,958.25","1,937.10","1,945.05","1,933.63","2,220.95","1,475.05","3,48,490","67,38,51,027.65","39,304"
"14-Aug-2024","EQ","1,970.00","2,009.00","1,952.25","1,969.40","1,965.00","1,958.25","1,976.72","2,220.95","1,475.05","1,22,703","24,25,49,884.20","21,248"
"13-Aug-2024","EQ","2,070.00","2,070.00","1,962.50","2,037.95","1,971.00","1,969.40","1,994.78","2,220.95","1,475.05","1,95,503","38,99,85,593.15","23,722"
"12-Aug-2024","EQ","2,031.00","2,085.00","2,021.00","2,026.45","2,040.00","2,037.95","2,052.81","2,220.95","1,475.05","1,30,923","26,87,59,820.85","16,619"
"09-Aug-2024","EQ","2,027.55","2,099.55","2,019.05","2,027.55","2,049.90","2,026.45","2,062.45","2,220.95","1,301.05","3,02,843","62,45,99,063.80","31,557"
"08-Aug-2024","EQ","2,048.10","2,049.90","1,977.00","2,027.90","2,027.55","2,027.55","2,020.49","2,220.95","1,301.05","3,84,599","77,70,77,130.25","38,525"
"07-Aug-2024","EQ","2,010.05","2,079.95","1,911.05","2,106.95","2,027.75","2,027.90","2,002.25","2,220.95","1,301.05","18,53,375","3,71,09,12,106.55","1,13,568"
"06-Aug-2024","EQ","2,120.00","2,220.95","2,075.55","2,115.40","2,119.80","2,106.95","2,180.81","2,220.95","1,301.05","5,81,155","1,26,73,85,958.75","52,556"
"05-Aug-2024","EQ","2,031.00","2,150.00","2,020.00","2,126.65","2,117.50","2,115.40","2,107.28","2,194.00","1,301.05","3,41,936","72,05,53,479.40","34,295"
"02-Aug-2024","EQ","2,088.00","2,147.00","2,073.50","2,123.65","2,123.00","2,126.65","2,131.94","2,194.00","1,265.65","1,91,983","40,92,95,925.10","17,264"
"01-Aug-2024","EQ","2,150.00","2,159.95","2,103.00","2,141.60","2,121.00","2,123.65","2,126.52","2,194.00","1,265.65","1,94,441","41,34,81,861.10","16,533"
"31-Jul-2024","EQ","2,080.00","2,183.85","2,066.00","2,058.65","2,120.00","2,141.60","2,138.23","2,194.00","1,265.65","8,83,554","1,88,92,39,192.00","68,907"
"30-Jul-2024","EQ","2,043.95","2,065.00","2,002.65","2,029.65","2,065.00","2,058.65","2,042.72","2,194.00","1,265.65","6,07,507","1,24,09,67,830.95","27,365"
"29-Jul-2024","EQ","2,040.95","2,057.00","2,016.60","2,016.60","2,027.00","2,029.65","2,037.86","2,194.00","1,265.65","3,19,137","65,03,55,135.45","16,521"
