"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,386.20","1,386.20","1,355.70","1,371.85","1,376.00","1,374.00","1,370.36","1,897.95","1,143.10","70,215","9,62,19,729.75","10,148"
"23-Aug-2024","EQ","1,370.00","1,378.00","1,353.40","1,376.55","1,375.00","1,371.85","1,367.68","1,897.95","1,143.10","85,417","11,68,22,889.00","10,434"
"22-Aug-2024","EQ","1,328.00","1,399.00","1,328.00","1,326.25","1,380.00","1,376.55","1,373.58","1,897.95","1,143.10","2,79,734","38,42,36,864.15","25,937"
"21-Aug-2024","EQ","1,316.05","1,333.00","1,311.60","1,313.10","1,328.65","1,326.25","1,319.45","1,897.95","1,143.10","64,684","8,53,47,275.20","5,741"
"20-Aug-2024","EQ","1,310.40","1,323.00","1,294.80","1,300.30","1,313.50","1,313.10","1,304.14","1,897.95","1,143.10","2,03,481","26,53,67,985.15","10,247"
"19-Aug-2024","EQ","1,275.50","1,325.00","1,275.05","1,286.00","1,307.00","1,300.30","1,284.56","1,897.95","1,143.10","4,13,889","53,16,63,536.00","13,824"
"16-Aug-2024","EQ","1,298.80","1,298.80","1,265.55","1,271.75","1,285.00","1,286.00","1,278.23","1,897.95","1,143.10","62,150","7,94,41,824.35","8,903"
"14-Aug-2024","EQ","1,288.00","1,299.00","1,269.00","1,294.00","1,280.00","1,271.75","1,283.62","1,897.95","1,143.10","70,071","8,99,44,204.25","7,340"
"13-Aug-2024","EQ","1,329.00","1,329.00","1,287.10","1,326.20","1,299.50","1,294.00","1,302.46","1,897.95","1,143.10","1,08,375","14,11,54,432.05","10,073"
"12-Aug-2024","EQ","1,364.00","1,364.00","1,323.00","1,340.60","1,326.75","1,326.20","1,332.33","1,897.95","1,143.10","97,300","12,96,35,876.85","8,448"
"09-Aug-2024","EQ","1,357.00","1,366.80","1,332.45","1,353.85","1,340.00","1,340.60","1,343.69","1,897.95","1,143.10","1,58,191","21,25,59,190.90","13,462"
"08-Aug-2024","EQ","1,360.00","1,384.00","1,330.00","1,402.00","1,357.00","1,353.85","1,351.02","1,897.95","1,143.10","3,30,987","44,71,70,922.10","33,190"
"07-Aug-2024","EQ","1,419.95","1,425.00","1,387.35","1,400.75","1,405.70","1,402.00","1,403.04","1,897.95","1,143.10","62,837","8,81,62,696.85","8,002"
"06-Aug-2024","EQ","1,380.00","1,412.80","1,379.95","1,380.00","1,401.00","1,400.75","1,398.74","1,897.95","1,143.10","1,31,760","18,42,98,416.65","14,980"
"05-Aug-2024","EQ","1,400.00","1,426.70","1,374.20","1,451.10","1,388.00","1,380.00","1,401.10","1,897.95","1,143.10","1,43,817","20,15,01,531.20","22,332"
"02-Aug-2024","EQ","1,440.00","1,459.35","1,430.00","1,452.05","1,444.85","1,451.10","1,449.62","1,897.95","1,143.10","44,702","6,48,00,889.80","7,436"
"01-Aug-2024","EQ","1,441.00","1,466.95","1,438.05","1,444.85","1,457.00","1,452.05","1,454.96","1,897.95","1,143.10","80,757","11,74,98,205.30","11,223"
"31-Jul-2024","EQ","1,461.85","1,472.40","1,441.00","1,460.15","1,445.00","1,444.85","1,448.85","1,897.95","1,143.10","71,681","10,38,54,948.50","9,335"
"30-Jul-2024","EQ","1,465.15","1,469.50","1,446.05","1,465.15","1,461.00","1,460.15","1,458.31","1,897.95","1,143.10","64,536","9,41,13,444.35","8,488"
"29-Jul-2024","EQ","1,458.00","1,483.30","1,450.15","1,458.00","1,467.00","1,465.15","1,466.01","1,897.95","1,143.10","1,75,278","25,69,59,755.80","27,622"
