"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","128.16","128.16","120.41","122.06","125.24","126.18","126.34","128.16","24.35","1,31,19,500","1,65,74,69,870.78","32,358"
"23-Aug-2024","EQ","117.00","122.06","115.20","116.25","122.06","122.06","120.40","122.40","22.90","37,59,797","45,26,75,050.65","9,235"
"22-Aug-2024","EQ","121.00","122.40","114.56","120.59","116.05","116.25","116.12","122.40","22.90","70,09,518","81,39,42,511.51","27,047"
"21-Aug-2024","EQ","117.51","120.90","111.31","115.15","120.85","120.59","119.49","120.90","22.90","1,91,71,136","2,29,08,26,051.72","37,421"
"20-Aug-2024","EQ","115.15","115.15","115.15","109.67","115.15","115.15","115.15","115.15","22.90","5,26,141","6,05,85,136.15","1,148"
"19-Aug-2024","EQ","107.00","109.67","106.10","104.45","109.67","109.67","108.52","109.67","22.90","19,58,055","21,24,81,445.78","1,779"
"16-Aug-2024","EQ","103.00","104.45","100.00","99.48","104.45","104.45","103.26","109.50","19.55","19,70,648","20,34,82,776.69","3,765"
"14-Aug-2024","EQ","104.00","104.24","99.00","103.20","100.00","99.48","101.06","109.50","19.55","67,35,920","68,07,58,279.07","17,050"
"13-Aug-2024","EQ","107.50","109.50","101.50","105.32","103.25","103.20","105.12","109.50","19.55","1,02,90,886","1,08,17,49,349.89","28,099"
"12-Aug-2024","EQ","99.55","105.32","98.68","100.31","105.32","105.32","103.30","107.50","19.55","62,67,433","64,74,56,585.56","14,168"
"09-Aug-2024","EQ","100.20","101.10","98.00","98.73","100.05","100.31","99.80","107.50","19.50","72,45,072","72,30,72,457.05","15,707"
"08-Aug-2024","EQ","101.80","102.40","97.50","99.03","98.55","98.73","99.40","107.50","19.50","54,24,879","53,92,46,500.46","11,042"
"07-Aug-2024","EQ","96.80","99.03","96.80","94.32","99.03","99.03","98.83","107.50","19.50","29,39,591","29,05,10,793.64","2,815"
"06-Aug-2024","EQ","91.99","95.17","91.05","90.64","95.00","94.32","93.94","107.50","19.50","40,16,298","37,72,80,230.32","12,261"
"05-Aug-2024","EQ","89.33","92.54","89.29","93.99","90.70","90.64","90.40","107.50","19.50","48,31,684","43,67,65,168.82","13,726"
"02-Aug-2024","EQ","94.00","97.25","92.93","95.93","94.00","93.99","95.28","107.50","18.80","22,44,408","21,38,37,855.85","10,071"
"01-Aug-2024","EQ","98.40","99.36","94.00","97.94","96.65","95.93","95.36","107.50","18.80","45,46,206","43,35,47,060.95","9,449"
"31-Jul-2024","EQ","97.32","101.00","97.31","96.82","98.00","97.94","99.01","107.50","18.80","28,34,446","28,06,41,181.95","11,155"
"30-Jul-2024","EQ","96.70","98.74","96.60","96.63","96.99","96.82","97.35","107.50","18.80","15,04,506","14,64,67,366.57","6,396"
"29-Jul-2024","EQ","98.19","99.40","96.35","97.46","96.85","96.63","97.84","107.50","18.80","25,96,783","25,40,58,433.93","9,789"
