"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","11.33","11.58","11.10","11.42","11.50","11.51","11.46","12.78","10.00","3,62,316","41,52,724.99","1,260"
"23-Aug-2024","EQ","11.48","11.63","11.39","11.46","11.43","11.42","11.41","12.78","10.00","2,59,229","29,57,635.76","794"
"22-Aug-2024","EQ","11.39","11.54","11.39","11.46","11.48","11.46","11.46","12.78","10.00","2,33,713","26,77,776.21","772"
"21-Aug-2024","EQ","11.58","11.59","11.40","11.46","11.47","11.46","11.49","12.78","10.00","4,33,048","49,76,213.40","937"
"20-Aug-2024","EQ","11.53","11.53","10.75","11.43","11.50","11.46","11.37","12.78","10.00","2,97,759","33,86,775.46","823"
"19-Aug-2024","EQ","11.53","11.53","11.29","11.29","11.43","11.43","11.41","12.78","10.00","2,12,578","24,26,482.21","1,042"
"16-Aug-2024","EQ","11.42","11.42","11.08","11.35","11.30","11.29","11.26","12.78","10.00","3,09,287","34,81,312.17","1,189"
"14-Aug-2024","EQ","11.33","11.56","11.14","11.24","11.35","11.35","11.29","12.78","10.00","3,31,881","37,46,118.36","703"
"13-Aug-2024","EQ","11.28","11.29","11.19","11.19","11.26","11.24","11.24","12.78","10.00","2,33,852","26,29,175.72","755"
"12-Aug-2024","EQ","11.33","11.33","11.06","11.14","11.20","11.19","11.16","12.78","10.00","4,41,968","49,31,031.60","1,409"
"09-Aug-2024","EQ","11.37","11.37","11.07","11.05","11.15","11.14","11.12","12.78","10.00","1,10,093","12,24,423.60","738"
"08-Aug-2024","EQ","11.20","11.20","11.00","11.06","11.07","11.05","11.05","12.78","10.00","4,59,191","50,74,890.81","1,283"
"07-Aug-2024","EQ","11.38","11.38","11.03","11.17","11.05","11.06","11.09","12.78","10.00","5,13,067","56,90,104.38","1,843"
"06-Aug-2024","EQ","11.34","11.34","11.08","11.16","11.25","11.17","11.15","12.78","10.00","7,25,912","80,91,898.45","1,468"
"05-Aug-2024","EQ","11.34","11.34","11.07","11.27","11.20","11.16","11.22","12.78","10.00","7,78,253","87,30,497.91","1,722"
"02-Aug-2024","EQ","11.32","11.33","11.21","11.18","11.27","11.27","11.27","12.78","10.00","3,89,060","43,83,007.54","847"
"01-Aug-2024","EQ","11.16","11.33","11.16","11.13","11.20","11.18","11.22","12.78","10.00","8,16,080","91,57,101.10","1,213"
"31-Jul-2024","EQ","11.10","11.35","11.02","11.06","11.13","11.13","11.15","12.78","10.00","7,85,047","87,55,397.26","1,259"
"30-Jul-2024","EQ","11.60","11.60","11.03","11.24","11.04","11.06","11.13","12.78","10.00","12,05,566","1,34,21,291.26","2,804"
"29-Jul-2024","EQ","11.68","11.70","11.19","11.44","11.25","11.24","11.40","12.78","10.00","14,30,817","1,63,18,099.76","1,919"
