"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","71.14","71.19","70.55","70.55","71.19","71.07","70.89","82.00","56.10","1,85,502","1,31,49,347.53","1,219"
"23-Aug-2024","EQ","70.79","70.79","70.18","70.82","70.70","70.55","70.53","82.00","56.10","1,43,053","1,00,89,214.68","1,296"
"22-Aug-2024","EQ","70.86","71.32","70.16","70.86","70.84","70.82","70.84","82.00","56.10","2,81,114","1,99,13,094.70","1,071"
"21-Aug-2024","EQ","71.10","71.18","70.70","71.10","70.86","70.86","70.98","82.00","56.10","1,74,813","1,24,08,583.92","1,391"
"20-Aug-2024","EQ","70.81","71.17","70.11","70.64","71.11","71.10","70.97","82.00","56.10","5,86,784","4,16,45,085.51","1,191"
"19-Aug-2024","EQ","70.70","70.79","70.11","69.68","70.69","70.64","70.55","82.00","56.10","2,13,985","1,50,97,402.26","1,300"
"16-Aug-2024","EQ","69.81","69.82","68.40","69.81","69.75","69.68","69.60","82.00","56.10","1,53,490","1,06,83,363.64","1,710"
"14-Aug-2024","EQ","69.50","69.95","69.02","69.52","69.85","69.81","69.61","82.00","56.10","84,791","59,02,604.17","1,661"
"13-Aug-2024","EQ","69.26","69.94","69.25","69.40","69.60","69.52","69.53","82.00","56.10","67,100","46,65,454.33","1,060"
"12-Aug-2024","EQ","69.19","69.72","68.40","68.81","69.45","69.40","69.15","82.00","56.10","2,47,645","1,71,24,621.93","1,401"
"09-Aug-2024","EQ","69.39","69.39","68.27","68.19","68.62","68.81","68.71","82.00","56.10","1,12,309","77,17,271.62","1,057"
"08-Aug-2024","EQ","68.68","68.68","67.80","68.27","68.22","68.19","68.18","82.00","56.10","3,13,860","2,13,98,812.30","1,840"
"07-Aug-2024","EQ","68.97","68.97","68.20","68.84","68.21","68.27","68.42","82.00","56.10","3,30,093","2,25,85,471.54","1,990"
"06-Aug-2024","EQ","69.06","69.69","68.50","69.01","69.50","68.84","68.77","82.00","56.10","2,67,614","1,84,04,126.81","1,955"
"05-Aug-2024","EQ","67.60","70.30","67.60","69.69","69.05","69.01","69.38","82.00","56.10","6,55,532","4,54,80,373.11","2,809"
"02-Aug-2024","EQ","70.87","70.87","68.77","69.07","69.85","69.69","69.64","82.00","56.10","3,49,507","2,43,41,275.67","2,294"
"01-Aug-2024","EQ","69.59","69.67","67.97","68.81","69.38","69.07","69.13","82.00","56.10","46,63,068","32,23,63,734.84","1,841"
"31-Jul-2024","EQ","69.07","69.47","68.55","68.73","68.95","68.81","68.74","82.00","56.10","3,07,369","2,11,29,565.92","1,592"
"30-Jul-2024","EQ","68.76","69.80","68.04","68.91","69.06","68.73","68.23","82.00","56.10","27,01,061","18,42,96,941.49","2,524"
"29-Jul-2024","EQ","69.89","70.00","68.51","68.20","69.59","68.91","69.28","82.00","56.10","4,55,504","3,15,59,169.25","2,296"
