"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","128.00","129.46","122.00","126.45","123.60","123.37","123.82","173.70","86.30","90,043","1,11,49,384.66","2,574"
"23-Aug-2024","EQ","130.54","132.29","125.12","130.54","127.40","126.45","128.10","173.70","86.30","44,383","56,85,647.29","1,614"
"22-Aug-2024","EQ","132.80","132.90","125.64","128.64","130.15","130.54","128.58","173.70","86.30","69,894","89,87,098.57","1,997"
"21-Aug-2024","EQ","125.20","134.99","125.20","126.99","129.50","128.64","131.15","173.70","86.30","1,31,894","1,72,98,293.73","2,971"
"20-Aug-2024","EQ","121.90","129.10","119.70","119.41","127.00","126.99","124.84","173.70","86.30","97,764","1,22,04,616.54","1,987"
"19-Aug-2024","EQ","119.50","122.00","119.00","120.21","119.69","119.41","119.76","173.70","86.30","89,119","1,06,72,586.90","1,402"
"16-Aug-2024","EQ","120.95","123.38","119.21","119.18","119.50","120.21","120.76","173.70","86.30","51,948","62,73,391.95","1,509"
"14-Aug-2024","EQ","125.95","125.95","117.11","123.68","119.95","119.18","120.86","173.70","86.30","47,105","56,93,064.75","1,188"
"13-Aug-2024","EQ","125.55","130.08","122.66","123.68","124.00","123.68","126.22","173.70","86.30","60,959","76,94,242.84","1,687"
"12-Aug-2024","EQ","126.70","127.58","122.66","125.70","123.02","123.68","124.36","173.70","86.30","73,002","90,78,243.26","1,764"
"09-Aug-2024","EQ","127.00","128.98","124.00","127.15","125.20","125.70","126.75","173.70","85.50","1,01,688","1,28,88,781.96","2,015"
"08-Aug-2024","EQ","124.00","147.00","123.60","122.60","125.99","127.15","135.32","173.70","85.50","5,94,898","8,04,99,592.17","6,717"
"07-Aug-2024","EQ","119.00","125.00","118.70","119.45","123.99","122.60","120.85","173.70","85.50","1,10,147","1,33,11,429.18","2,679"
"06-Aug-2024","EQ","124.30","129.19","116.41","125.29","119.00","119.45","122.99","173.70","85.50","91,134","1,12,08,983.20","1,796"
"05-Aug-2024","EQ","129.00","130.20","122.05","133.73","126.45","125.29","125.79","173.70","85.50","93,112","1,17,12,810.35","2,939"
"02-Aug-2024","EQ","133.85","136.00","131.89","133.85","133.97","133.73","133.85","173.70","85.50","66,467","88,96,556.77","1,452"
"01-Aug-2024","EQ","140.95","141.56","132.00","138.20","134.00","133.85","135.84","173.70","85.50","71,931","97,71,192.97","1,696"
"31-Jul-2024","EQ","142.90","142.90","137.55","140.41","138.10","138.20","139.76","173.70","85.50","61,960","86,59,532.70","1,669"
"30-Jul-2024","EQ","139.90","144.39","137.49","138.22","141.50","140.41","140.50","173.70","85.50","1,01,567","1,42,69,958.18","2,764"
"29-Jul-2024","EQ","155.99","158.80","136.72","149.43","138.90","138.22","146.90","173.70","85.50","7,40,889","10,88,37,550.05","11,941"
