"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","904.75","925.00","895.00","891.40","912.00","920.05","915.15","1,168.75","554.70","1,49,972","13,72,46,419.75","6,276"
"23-Aug-2024","EQ","894.00","909.90","886.00","898.55","890.30","891.40","893.97","1,168.75","554.70","63,733","5,69,75,136.55","4,941"
"22-Aug-2024","EQ","905.25","912.00","895.90","896.30","899.00","898.55","901.22","1,168.75","554.70","49,159","4,43,03,127.65","4,181"
"21-Aug-2024","EQ","896.00","903.70","885.05","895.20","895.90","896.30","894.17","1,168.75","554.70","69,154","6,18,35,739.00","5,208"
"20-Aug-2024","EQ","900.00","912.20","886.85","904.45","891.50","895.20","894.31","1,168.75","554.70","1,10,073","9,84,38,876.80","7,113"
"19-Aug-2024","EQ","905.40","928.35","898.15","900.70","904.45","904.45","911.09","1,168.75","554.70","54,681","4,98,19,465.20","4,150"
"16-Aug-2024","EQ","905.60","924.75","897.00","895.90","904.15","900.70","904.62","1,168.75","503.20","43,965","3,97,71,717.55","3,738"
"14-Aug-2024","EQ","911.00","911.00","883.05","900.35","898.50","895.90","894.66","1,168.75","503.20","30,710","2,74,74,947.80","4,089"
"13-Aug-2024","EQ","939.90","940.00","897.00","926.00","903.00","900.35","910.80","1,168.75","503.20","86,762","7,90,22,775.70","6,404"
"12-Aug-2024","EQ","927.40","934.50","913.50","927.40","927.70","926.00","923.04","1,168.75","503.20","88,935","8,20,90,977.35","5,080"
"09-Aug-2024","EQ","907.90","941.00","905.00","903.15","923.00","927.40","925.54","1,168.75","475.00","1,41,173","13,06,60,787.70","10,293"
"08-Aug-2024","EQ","899.95","927.90","891.90","899.05","905.00","903.15","903.19","1,168.75","475.00","51,800","4,67,85,100.95","5,777"
"07-Aug-2024","EQ","881.20","904.50","881.20","873.05","898.00","899.05","894.30","1,168.75","475.00","33,016","2,95,26,244.90","3,341"
"06-Aug-2024","EQ","902.00","908.10","870.00","886.45","877.00","873.05","894.91","1,168.75","475.00","70,810","6,33,68,246.00","5,514"
"05-Aug-2024","EQ","885.00","926.75","880.00","902.60","905.00","886.45","896.34","1,168.75","475.00","1,25,647","11,26,22,931.85","13,605"
"02-Aug-2024","EQ","903.00","909.40","888.55","908.25","904.00","902.60","903.72","1,168.75","475.00","61,623","5,56,90,093.85","4,804"
"01-Aug-2024","EQ","930.00","933.85","902.55","924.50","905.00","908.25","915.29","1,168.75","475.00","84,182","7,70,50,969.65","6,213"
"31-Jul-2024","EQ","936.60","937.75","920.15","931.30","924.30","924.50","928.58","1,168.75","475.00","66,515","6,17,64,682.85","5,537"
"30-Jul-2024","EQ","945.00","950.90","892.20","945.95","936.00","931.30","918.87","1,168.75","475.00","2,70,095","24,81,82,998.80","19,436"
"29-Jul-2024","EQ","947.50","962.00","940.00","938.45","945.00","945.95","948.97","1,168.75","475.00","2,02,830","19,24,79,345.75","9,601"
