"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","2,752.00","2,763.20","2,712.80","2,748.55","2,731.05","2,736.60","2,737.12","2,877.75","1,768.30","5,97,542","1,63,55,42,421.10","38,644"
"23-Aug-2024","EQ","2,771.40","2,780.90","2,706.95","2,755.15","2,742.00","2,748.55","2,741.27","2,877.75","1,758.05","11,01,735","3,02,01,56,533.15","44,513"
"22-Aug-2024","EQ","2,694.45","2,772.95","2,691.05","2,684.85","2,756.00","2,755.15","2,748.55","2,877.75","1,758.05","20,65,301","5,67,65,82,077.50","1,18,494"
"21-Aug-2024","EQ","2,640.05","2,692.05","2,625.15","2,636.70","2,689.90","2,684.85","2,662.23","2,877.75","1,758.05","8,57,604","2,28,31,36,364.05","39,396"
"20-Aug-2024","EQ","2,608.00","2,648.90","2,589.05","2,598.40","2,638.50","2,636.70","2,628.45","2,877.75","1,758.05","6,85,479","1,80,17,45,976.00","37,010"
"19-Aug-2024","EQ","2,619.80","2,635.15","2,557.05","2,600.35","2,590.00","2,598.40","2,585.42","2,877.75","1,758.05","6,82,028","1,76,33,31,119.70","36,336"
"16-Aug-2024","EQ","2,512.40","2,608.00","2,512.40","2,512.40","2,604.00","2,600.35","2,560.58","2,877.75","1,758.05","7,25,887","1,85,86,94,516.40","50,748"
"14-Aug-2024","EQ","2,524.00","2,534.50","2,505.05","2,519.25","2,511.65","2,512.40","2,515.34","2,877.75","1,758.05","2,86,936","72,17,41,549.90","27,745"
"13-Aug-2024","EQ","2,572.00","2,579.40","2,512.15","2,571.10","2,518.00","2,519.25","2,531.98","2,877.75","1,758.05","7,84,848","1,98,72,16,898.95","44,708"
"12-Aug-2024","EQ","2,570.00","2,621.00","2,555.05","2,572.75","2,570.00","2,571.10","2,593.09","2,877.75","1,758.05","18,27,230","4,73,81,65,481.05","70,001"
"09-Aug-2024","EQ","2,556.10","2,638.95","2,540.05","2,544.65","2,575.00","2,572.75","2,591.66","2,877.75","1,758.05","26,77,777","6,93,98,81,066.65","1,15,185"
"08-Aug-2024","EQ","2,623.25","2,633.80","2,531.10","2,637.05","2,542.00","2,544.65","2,574.12","2,877.75","1,758.05","11,99,236","3,08,69,79,129.35","90,876"
"07-Aug-2024","EQ","2,650.00","2,659.40","2,632.25","2,620.50","2,644.90","2,637.05","2,643.65","2,877.75","1,758.05","5,51,368","1,45,76,21,606.10","40,056"
"06-Aug-2024","EQ","2,627.00","2,679.40","2,610.00","2,612.25","2,632.00","2,620.50","2,645.13","2,877.75","1,758.05","8,13,893","2,15,28,53,790.75","60,142"
"05-Aug-2024","EQ","2,655.15","2,678.95","2,587.75","2,706.80","2,615.00","2,612.25","2,619.47","2,877.75","1,758.05","10,49,292","2,74,85,85,114.35","81,767"
"02-Aug-2024","EQ","2,749.50","2,757.10","2,701.00","2,767.00","2,703.40","2,706.80","2,727.48","2,877.75","1,758.05","4,01,105","1,09,40,07,371.10","47,034"
"01-Aug-2024","EQ","2,781.95","2,788.65","2,753.60","2,776.75","2,760.00","2,767.00","2,768.72","2,877.75","1,758.05","3,83,675","1,06,22,87,186.35","38,177"
"31-Jul-2024","EQ","2,790.90","2,798.75","2,761.55","2,790.90","2,777.00","2,776.75","2,779.39","2,877.75","1,758.05","6,62,086","1,84,01,95,907.40","42,578"
"30-Jul-2024","EQ","2,828.20","2,830.00","2,782.85","2,828.20","2,783.75","2,790.90","2,804.01","2,877.75","1,758.05","7,21,728","2,02,37,32,201.00","44,983"
"29-Jul-2024","EQ","2,859.90","2,865.00","2,820.00","2,843.30","2,838.00","2,828.20","2,832.49","2,877.75","1,758.05","5,01,949","1,42,17,64,233.50","40,444"
