"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","265.00","278.94","261.88","262.95","271.85","273.10","270.86","286.00","113.00","7,66,028","20,74,83,977.18","10,345"
"23-Aug-2024","EQ","263.00","269.00","260.31","264.15","263.49","262.95","264.11","286.00","113.00","2,70,547","7,14,54,156.67","4,230"
"22-Aug-2024","EQ","265.95","270.00","260.00","262.71","263.00","264.15","265.92","286.00","113.00","3,95,597","10,51,97,470.00","5,573"
"21-Aug-2024","EQ","257.00","275.00","255.74","257.24","263.80","262.71","266.75","286.00","113.00","8,28,814","22,10,83,333.80","10,098"
"20-Aug-2024","EQ","274.22","277.69","254.30","274.27","257.00","257.24","262.02","286.00","113.00","12,01,595","31,48,46,586.78","30,418"
"19-Aug-2024","EQ","250.00","286.00","250.00","246.22","274.00","274.27","273.99","286.00","113.00","34,46,162","94,42,08,763.77","76,496"
"16-Aug-2024","EQ","234.34","255.00","230.05","230.50","246.91","246.22","244.53","255.00","113.00","15,98,405","39,08,59,275.26","42,272"
"14-Aug-2024","EQ","238.00","244.70","224.50","236.73","230.71","230.50","232.86","246.00","113.00","4,89,409","11,39,63,101.21","18,903"
"13-Aug-2024","EQ","236.39","245.75","233.21","233.38","237.00","236.73","239.16","246.00","113.00","11,37,592","27,20,66,016.88","25,331"
"12-Aug-2024","EQ","217.95","246.00","214.78","216.92","234.00","233.38","235.60","246.00","113.00","21,59,669","50,88,25,863.96","50,469"
"09-Aug-2024","EQ","213.85","225.00","208.56","203.47","219.00","216.92","219.39","230.40","113.00","13,13,997","28,82,72,787.54","39,199"
"08-Aug-2024","EQ","204.00","205.92","200.00","202.06","202.00","203.47","202.80","230.40","113.00","1,44,744","2,93,53,592.07","6,600"
"07-Aug-2024","EQ","199.00","203.00","195.50","193.86","203.00","202.06","199.35","230.40","113.00","1,01,625","2,02,59,163.64","6,152"
"06-Aug-2024","EQ","203.00","206.54","189.21","200.49","196.89","193.86","199.14","230.40","113.00","2,72,857","5,43,37,329.24","11,264"
"05-Aug-2024","EQ","211.48","213.00","198.00","218.63","199.19","200.49","203.86","230.40","113.00","5,91,241","12,05,31,110.49","21,787"
"02-Aug-2024","EQ","201.81","224.40","197.67","204.88","218.10","218.63","216.67","230.40","113.00","9,66,424","20,93,91,851.25","31,627"
"01-Aug-2024","EQ","208.90","212.50","202.99","208.48","205.80","204.88","207.53","230.40","113.00","1,66,329","3,45,18,783.89","5,796"
"31-Jul-2024","EQ","207.81","217.00","205.99","206.87","209.03","208.48","212.20","230.40","113.00","2,99,303","6,35,12,220.83","9,368"
"30-Jul-2024","EQ","202.50","209.95","202.50","202.79","206.00","206.87","206.97","230.40","113.00","2,19,491","4,54,28,477.63","7,278"
"29-Jul-2024","EQ","206.98","209.75","200.61","204.07","202.50","202.79","204.04","230.40","113.00","1,45,722","2,97,32,490.93","6,303"
