"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","72.00","72.00","70.10","71.05","70.50","70.73","71.00","90.20","42.45","1,10,249","78,27,937.59","2,234"
"23-Aug-2024","EQ","72.60","72.60","70.58","71.52","70.90","71.05","71.59","90.20","42.25","1,28,747","92,16,356.64","2,882"
"22-Aug-2024","EQ","71.20","72.86","71.11","71.10","71.50","71.52","71.91","90.20","42.25","2,22,793","1,60,20,158.38","4,408"
"21-Aug-2024","EQ","68.50","72.43","68.50","68.32","71.69","71.10","70.77","90.20","42.25","3,61,632","2,55,94,051.10","6,299"
"20-Aug-2024","EQ","69.15","69.75","67.20","68.86","68.78","68.32","68.69","90.20","42.25","1,19,967","82,41,013.03","2,903"
"19-Aug-2024","EQ","66.62","69.72","66.62","66.61","69.05","68.86","68.81","90.20","42.25","2,43,608","1,67,61,815.43","4,781"
"16-Aug-2024","EQ","68.38","68.38","66.10","66.56","67.45","66.61","67.15","90.20","40.30","2,59,368","1,74,17,053.50","3,975"
"14-Aug-2024","EQ","68.15","70.50","65.99","67.98","67.00","66.56","67.50","90.20","40.30","3,16,421","2,13,57,242.54","6,268"
"13-Aug-2024","EQ","72.17","73.00","66.60","71.94","67.99","67.98","70.17","90.20","40.30","3,70,986","2,60,30,595.33","6,205"
"12-Aug-2024","EQ","71.10","72.48","70.17","71.61","72.00","71.94","71.53","90.20","40.30","1,75,095","1,25,23,825.64","4,019"
"09-Aug-2024","EQ","72.40","72.55","71.09","71.10","71.10","71.61","71.69","90.20","40.30","1,82,908","1,31,13,053.92","3,403"
"08-Aug-2024","EQ","73.42","73.64","70.10","72.63","71.25","71.10","72.29","90.20","40.30","1,70,958","1,23,58,394.00","3,891"
"07-Aug-2024","EQ","69.97","72.97","69.81","68.11","72.50","72.63","71.78","90.20","40.30","2,56,433","1,84,06,028.07","5,006"
"06-Aug-2024","EQ","71.70","79.00","61.55","70.18","69.68","68.11","72.28","90.20","40.30","6,09,378","4,40,45,310.08","8,067"
"05-Aug-2024","EQ","72.00","73.29","69.20","75.23","70.40","70.18","71.27","90.20","40.30","4,25,023","3,02,91,594.41","6,582"
"02-Aug-2024","EQ","74.87","76.81","74.05","74.88","75.00","75.23","75.64","90.20","40.15","2,96,665","2,24,40,859.90","5,115"
"01-Aug-2024","EQ","78.38","78.85","74.20","77.88","75.45","74.88","76.11","90.20","40.15","5,06,820","3,85,73,140.89","7,518"
"31-Jul-2024","EQ","76.74","80.99","76.08","76.24","77.92","77.88","78.84","90.20","40.15","7,48,065","5,89,74,029.05","7,428"
"30-Jul-2024","EQ","78.70","78.70","76.00","77.99","76.06","76.24","77.07","90.20","40.15","3,45,982","2,66,64,370.76","4,148"
"29-Jul-2024","EQ","81.00","81.50","77.50","80.48","77.51","77.99","78.85","90.20","40.15","5,49,127","4,32,96,005.06","7,059"
