"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","5.27","5.27","5.27","5.17","5.27","5.27","5.27","11.88","4.52","20,45,537","1,07,79,979.99","834"
"23-Aug-2024","BE","5.17","5.17","5.17","5.07","5.17","5.17","5.17","11.88","4.52","3,45,124","17,84,291.08","582"
"22-Aug-2024","BE","5.07","5.07","5.07","4.98","5.07","5.07","5.07","11.88","4.52","9,17,611","46,52,287.77","599"
"21-Aug-2024","BE","4.98","4.98","4.98","4.89","4.98","4.98","4.98","11.88","4.52","15,74,315","78,40,088.70","1,180"
"20-Aug-2024","BE","4.89","4.89","4.88","4.80","4.89","4.89","4.89","11.88","4.52","65,94,797","3,22,48,234.04","2,443"
"19-Aug-2024","BE","4.80","4.80","4.80","4.71","4.80","4.80","4.80","11.88","4.52","22,40,148","1,07,52,710.40","1,608"
"16-Aug-2024","BE","4.52","4.71","4.52","4.62","4.71","4.71","4.55","11.88","4.52","1,74,80,684","7,95,81,756.52","7,886"
"14-Aug-2024","BE","4.62","4.62","4.62","4.72","4.62","4.62","4.62","11.88","4.62","11,01,662","50,89,678.44","2,064"
"13-Aug-2024","BE","4.72","4.72","4.72","4.82","4.72","4.72","4.72","11.88","4.72","39,64,345","1,87,11,708.40","2,985"
"12-Aug-2024","BE","4.82","4.82","4.82","4.92","4.82","4.82","4.82","11.88","4.82","12,46,260","60,06,973.20","2,814"
"09-Aug-2024","BE","4.92","4.92","4.92","5.03","4.92","4.92","4.92","11.88","4.92","11,88,105","58,45,476.60","2,748"
"08-Aug-2024","BE","5.03","5.03","5.03","5.14","5.03","5.03","5.03","11.88","5.03","21,55,970","1,08,44,529.10","2,516"
"07-Aug-2024","BE","5.14","5.25","5.14","5.25","5.14","5.14","5.14","11.88","5.14","1,48,03,948","7,61,63,617.27","6,377"
"06-Aug-2024","BE","5.25","5.25","5.25","5.36","5.25","5.25","5.25","11.88","5.25","12,04,041","63,21,215.25","2,769"
"05-Aug-2024","BE","5.36","5.36","5.36","5.47","5.36","5.36","5.36","11.88","5.36","16,27,814","87,25,083.04","3,209"
"02-Aug-2024","BE","5.47","5.47","5.47","5.59","5.47","5.47","5.47","11.88","5.47","19,90,501","1,08,88,040.47","3,335"
"01-Aug-2024","BE","5.59","5.59","5.59","5.71","5.59","5.59","5.59","11.88","5.59","37,04,316","2,07,07,126.44","3,879"
"31-Jul-2024","BE","5.71","5.71","5.71","6.02","5.71","5.71","5.71","11.88","5.71","27,04,527","1,54,42,849.17","4,359"
"30-Jul-2024","BE","6.02","6.02","6.02","6.34","6.02","6.02","6.02","11.88","6.02","31,47,308","1,89,46,794.16","4,266"
"29-Jul-2024","BE","6.34","6.34","6.34","6.68","6.34","6.34","6.34","11.88","6.34","30,91,227","1,95,98,379.18","4,700"
