"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,850.00","4,850.00","4,770.00","4,822.75","4,794.00","4,802.00","4,798.81","5,674.75","1,767.80","13,90,960","6,67,49,51,462.40","81,162"
"23-Aug-2024","EQ","4,807.00","4,864.00","4,777.60","4,768.10","4,825.00","4,822.75","4,827.30","5,674.75","1,767.80","18,57,673","8,96,75,49,301.55","1,16,867"
"22-Aug-2024","EQ","4,740.00","4,814.00","4,722.00","4,731.15","4,768.00","4,768.10","4,767.29","5,674.75","1,767.80","12,18,312","5,80,80,45,975.00","96,866"
"21-Aug-2024","EQ","4,710.00","4,772.60","4,702.30","4,736.05","4,740.00","4,731.15","4,734.79","5,674.75","1,767.80","9,49,203","4,49,42,80,018.10","64,656"
"20-Aug-2024","EQ","4,797.00","4,809.95","4,683.60","4,792.25","4,738.00","4,736.05","4,735.31","5,674.75","1,767.80","14,72,860","6,97,44,55,564.80","1,20,960"
"19-Aug-2024","EQ","4,810.00","4,858.00","4,774.45","4,769.80","4,799.00","4,792.25","4,811.76","5,674.75","1,767.80","23,62,884","11,36,96,32,152.20","1,42,719"
"16-Aug-2024","EQ","4,769.50","4,794.60","4,660.00","4,661.70","4,758.00","4,769.80","4,727.80","5,674.75","1,767.80","28,78,549","13,60,92,06,245.45","1,82,053"
"14-Aug-2024","EQ","4,704.80","4,811.50","4,593.75","4,701.35","4,658.90","4,661.70","4,681.23","5,674.75","1,767.80","39,28,422","18,38,98,30,119.00","2,59,604"
"13-Aug-2024","EQ","4,748.00","4,774.10","4,685.00","4,726.55","4,694.00","4,701.35","4,727.64","5,674.75","1,767.80","14,65,327","6,92,75,43,070.65","89,748"
"12-Aug-2024","EQ","4,690.00","4,759.70","4,682.10","4,723.90","4,724.00","4,726.55","4,727.69","5,674.75","1,767.80","10,30,708","4,87,28,69,561.20","96,866"
"09-Aug-2024","EQ","4,746.70","4,773.50","4,702.55","4,667.85","4,725.00","4,723.90","4,730.46","5,674.75","1,767.80","10,39,025","4,91,50,63,890.40","90,497"
"08-Aug-2024","EQ","4,742.00","4,759.95","4,660.00","4,740.45","4,671.00","4,667.85","4,711.66","5,674.75","1,767.80","13,01,394","6,13,17,25,661.25","96,246"
"07-Aug-2024","EQ","4,600.95","4,749.00","4,570.00","4,514.30","4,741.00","4,740.45","4,664.89","5,674.75","1,767.80","20,00,224","9,33,08,33,505.75","1,42,266"
"06-Aug-2024","EQ","4,601.00","4,737.10","4,500.00","4,591.10","4,521.80","4,514.30","4,614.43","5,674.75","1,767.80","21,17,464","9,77,08,94,770.65","1,76,782"
"05-Aug-2024","EQ","4,501.05","4,663.80","4,480.10","4,695.75","4,590.00","4,591.10","4,566.12","5,674.75","1,767.80","36,22,642","16,54,14,35,567.10","3,13,423"
"02-Aug-2024","EQ","4,740.00","4,768.00","4,631.35","4,813.30","4,694.00","4,695.75","4,707.36","5,674.75","1,767.80","32,05,399","15,08,89,74,923.80","2,27,454"
"01-Aug-2024","EQ","4,922.00","4,946.90","4,797.60","4,922.85","4,815.00","4,813.30","4,844.83","5,674.75","1,767.80","23,47,381","11,37,26,62,138.85","1,84,382"
"31-Jul-2024","EQ","4,953.65","4,987.90","4,912.00","4,953.65","4,920.00","4,922.85","4,950.75","5,674.75","1,767.80","12,98,852","6,43,02,97,056.65","90,904"
"30-Jul-2024","EQ","5,049.95","5,082.00","4,945.10","5,030.00","4,950.00","4,953.65","5,004.22","5,674.75","1,767.80","24,99,857","12,50,98,24,627.95","1,73,813"
"29-Jul-2024","EQ","4,946.80","5,042.00","4,911.00","4,905.40","5,040.00","5,030.00","4,989.10","5,674.75","1,767.80","24,48,415","12,21,53,95,411.65","1,50,997"
