"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,671.00","1,734.00","1,667.10","1,661.45","1,731.95","1,719.45","1,704.59","1,734.00","1,139.30","26,72,708","4,55,58,72,150.30","1,14,075"
"23-Aug-2024","EQ","1,676.05","1,685.95","1,657.15","1,676.15","1,662.90","1,661.45","1,667.32","1,697.35","1,139.30","21,58,185","3,59,83,84,728.90","1,22,406"
"22-Aug-2024","EQ","1,687.00","1,687.00","1,673.00","1,677.25","1,675.00","1,676.15","1,678.52","1,697.35","1,139.30","17,49,127","2,93,59,42,084.10","1,08,937"
"21-Aug-2024","EQ","1,686.00","1,688.85","1,673.75","1,686.75","1,679.00","1,677.25","1,678.49","1,697.35","1,139.30","14,10,370","2,36,72,89,464.25","72,539"
"20-Aug-2024","EQ","1,680.00","1,695.05","1,669.20","1,678.50","1,688.65","1,686.75","1,681.80","1,697.35","1,139.30","27,86,109","4,68,56,88,913.85","87,014"
"19-Aug-2024","EQ","1,665.00","1,685.00","1,659.05","1,668.25","1,677.20","1,678.50","1,674.01","1,697.35","1,139.30","16,31,947","2,73,19,00,621.10","68,733"
"16-Aug-2024","EQ","1,635.00","1,674.00","1,632.70","1,626.15","1,668.70","1,668.25","1,657.02","1,697.35","1,139.30","31,01,056","5,13,84,98,722.60","1,55,943"
"14-Aug-2024","EQ","1,600.10","1,629.75","1,598.25","1,592.65","1,623.90","1,626.15","1,614.49","1,697.35","1,139.30","39,32,148","6,34,84,29,631.10","1,19,652"
"13-Aug-2024","EQ","1,578.00","1,608.40","1,577.65","1,585.25","1,594.00","1,592.65","1,594.35","1,697.35","1,139.30","19,73,825","3,14,69,66,163.85","1,20,834"
"12-Aug-2024","EQ","1,590.00","1,600.50","1,573.85","1,589.95","1,583.25","1,585.25","1,590.02","1,697.35","1,139.30","12,73,739","2,02,52,64,965.70","96,709"
"09-Aug-2024","EQ","1,584.90","1,602.00","1,575.85","1,557.85","1,589.05","1,589.95","1,593.85","1,697.35","1,125.00","20,21,762","3,22,23,80,643.20","1,36,303"
"08-Aug-2024","EQ","1,597.00","1,602.00","1,554.55","1,594.60","1,558.00","1,557.85","1,574.02","1,697.35","1,125.00","23,73,805","3,73,64,27,385.65","1,10,668"
"07-Aug-2024","EQ","1,605.00","1,615.00","1,590.00","1,582.75","1,598.00","1,594.60","1,599.27","1,697.35","1,125.00","18,97,787","3,03,50,73,860.95","78,453"
"06-Aug-2024","EQ","1,563.00","1,605.00","1,563.00","1,562.40","1,583.00","1,582.75","1,591.48","1,697.35","1,125.00","21,38,704","3,40,37,07,528.90","1,33,680"
"05-Aug-2024","EQ","1,575.00","1,595.70","1,537.00","1,609.30","1,557.95","1,562.40","1,560.90","1,697.35","1,125.00","32,79,717","5,11,93,23,144.55","1,53,044"
"02-Aug-2024","EQ","1,620.05","1,639.00","1,601.15","1,640.55","1,605.00","1,609.30","1,615.64","1,697.35","1,096.00","16,92,851","2,73,50,42,921.10","95,389"
"01-Aug-2024","EQ","1,640.05","1,655.50","1,636.10","1,642.60","1,639.50","1,640.55","1,643.63","1,697.35","1,096.00","17,85,188","2,93,41,90,917.80","1,05,718"
"31-Jul-2024","EQ","1,621.00","1,645.00","1,619.20","1,630.25","1,640.85","1,642.60","1,637.39","1,697.35","1,096.00","19,84,986","3,25,01,90,509.60","1,30,193"
"30-Jul-2024","EQ","1,629.00","1,633.00","1,618.00","1,632.35","1,630.15","1,630.25","1,625.65","1,697.35","1,096.00","17,83,877","2,89,99,66,633.60","1,12,185"
"29-Jul-2024","EQ","1,640.20","1,645.00","1,620.00","1,635.35","1,628.05","1,632.35","1,629.09","1,697.35","1,096.00","16,39,491","2,67,08,77,664.75","87,552"
