"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","26.10","26.10","25.82","25.80","25.97","25.94","25.93","278.00","22.59","1,21,326","31,46,545.03","443"
"23-Aug-2024","EQ","26.08","26.08","25.80","25.81","25.80","25.80","25.94","278.00","22.59","5,35,746","1,38,97,484.92","478"
"22-Aug-2024","EQ","25.60","25.94","25.29","25.65","25.80","25.81","25.82","278.00","22.59","96,905","25,01,891.31","361"
"21-Aug-2024","EQ","25.95","25.95","25.28","25.72","25.75","25.65","25.58","278.00","22.59","2,38,246","60,94,641.41","2,906"
"20-Aug-2024","EQ","25.58","25.76","25.51","25.52","25.74","25.72","25.69","278.00","22.59","1,48,794","38,22,463.84","291"
"19-Aug-2024","EQ","25.56","26.05","25.40","25.56","25.60","25.52","25.55","278.00","22.59","1,11,691","28,53,972.86","408"
"16-Aug-2024","EQ","25.19","25.70","25.19","25.18","25.55","25.56","25.44","278.00","22.59","71,947","18,30,155.26","312"
"14-Aug-2024","EQ","25.50","25.50","25.10","25.31","25.20","25.18","25.18","278.00","22.59","2,07,800","52,32,254.49","1,499"
"13-Aug-2024","EQ","26.21","26.70","25.20","25.59","25.34","25.31","25.48","278.00","22.59","1,34,877","34,36,507.99","702"
"12-Aug-2024","EQ","25.42","25.68","25.32","25.42","25.60","25.59","25.55","278.00","22.59","48,148","12,30,116.19","375"
"09-Aug-2024","EQ","25.30","25.78","25.30","25.24","25.36","25.42","25.47","278.00","22.59","78,442","19,97,701.94","341"
"08-Aug-2024","EQ","25.56","25.56","25.15","25.33","25.33","25.24","25.29","278.00","22.59","1,72,413","43,60,356.27","717"
"07-Aug-2024","EQ","25.40","25.67","25.14","25.18","25.50","25.33","25.24","278.00","22.59","1,78,976","45,18,244.37","461"
"06-Aug-2024","EQ","25.89","25.98","25.10","25.37","25.75","25.18","25.34","278.00","22.59","3,19,144","80,86,375.35","2,608"
"05-Aug-2024","EQ","25.84","25.84","25.15","25.92","25.42","25.37","25.43","278.00","22.59","4,97,644","1,26,56,895.00","1,864"
"02-Aug-2024","EQ","25.90","27.22","25.68","25.98","26.24","25.92","25.95","278.00","22.59","1,46,787","38,09,557.56","826"
"01-Aug-2024","EQ","25.99","26.19","25.95","25.98","26.04","25.98","26.02","278.00","22.59","1,58,441","41,23,183.29","485"
"31-Jul-2024","EQ","26.35","26.35","25.75","25.99","26.00","25.98","25.96","278.00","22.59","4,37,781","1,13,64,289.36","1,282"
"30-Jul-2024","EQ","26.17","26.17","25.88","25.86","26.16","25.99","26.02","278.00","22.59","6,63,085","1,72,54,795.20","821"
"29-Jul-2024","EQ","26.20","26.65","25.75","25.71","26.00","25.86","26.08","278.00","22.59","19,74,570","5,14,88,999.51","2,237"
