"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","141.38","142.32","141.17","141.52","142.26","141.22","141.24","142.32","114.90","37,179","52,51,149.22","49"
"23-Aug-2024","EQ","141.80","142.06","140.96","141.65","141.74","141.52","141.20","142.17","114.90","3,849","5,43,483.12","34"
"22-Aug-2024","EQ","141.36","142.17","141.23","141.73","142.00","141.65","141.45","142.17","114.90","357","50,499.09","14"
"21-Aug-2024","EQ","141.20","141.99","140.87","140.33","141.65","141.73","141.36","141.99","114.90","933","1,31,885.81","20"
"20-Aug-2024","EQ","140.33","141.08","139.93","140.24","140.99","140.33","140.15","141.20","114.90","1,831","2,56,617.24","18"
"19-Aug-2024","EQ","139.35","141.20","139.05","139.68","141.20","140.24","140.04","141.20","114.90","732","1,02,506.46","29"
"16-Aug-2024","EQ","138.55","139.68","138.55","138.50","139.68","139.68","138.73","140.41","114.90","42","5,826.63","4"
"14-Aug-2024","EQ","139.45","139.77","138.14","139.28","138.50","138.50","138.77","140.41","114.90","148","20,537.69","9"
"13-Aug-2024","EQ","139.05","140.05","138.99","139.05","139.70","139.28","139.56","140.41","114.90","988","1,37,885.23","17"
"12-Aug-2024","EQ","139.59","140.10","139.01","139.59","139.05","139.05","139.47","140.41","114.90","1,015","1,41,564.10","21"
"09-Aug-2024","EQ","139.81","139.94","138.31","139.81","139.00","139.59","138.94","140.41","114.90","48,529","67,42,765.46","65"
"08-Aug-2024","EQ","139.59","140.41","139.40","139.39","139.95","139.81","139.71","140.41","114.90","1,159","1,61,927.33","17"
"07-Aug-2024","EQ","137.99","139.40","137.99","136.54","139.40","139.39","138.56","140.00","114.90","145","20,091.71","10"
"06-Aug-2024","EQ","136.45","136.80","136.45","136.19","136.80","136.54","136.55","140.00","114.90","256","34,956.30","6"
"05-Aug-2024","EQ","137.76","138.89","136.04","139.09","136.04","136.19","137.75","140.00","114.90","2,468","3,39,959.01","75"
"02-Aug-2024","EQ","137.42","139.18","137.42","138.25","138.76","139.09","138.55","140.00","114.90","2,564","3,55,232.03","23"
"01-Aug-2024","EQ","137.75","138.72","137.69","137.59","138.25","138.25","138.29","140.00","114.90","536","74,122.06","14"
"31-Jul-2024","EQ","136.73","138.01","136.73","136.77","138.00","137.59","137.55","140.00","114.90","143","19,669.44","23"
"30-Jul-2024","EQ","136.65","137.48","136.53","137.29","136.53","136.77","137.10","140.00","114.90","786","1,07,760.89","28"
"29-Jul-2024","EQ","139.67","139.67","136.30","137.21","137.12","137.29","137.31","140.00","114.90","4,215","5,78,775.71","53"
