"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","87.76","92.35","86.31","87.60","89.55","89.64","90.59","165.00","77.91","7,61,048","6,89,43,850.88","5,614"
"23-Aug-2024","EQ","83.99","89.74","83.50","83.45","87.80","87.60","87.62","167.00","77.91","4,05,735","3,55,51,348.95","3,807"
"22-Aug-2024","EQ","83.00","84.89","82.95","82.76","83.98","83.45","83.62","167.00","77.91","78,852","65,93,537.15","1,792"
"21-Aug-2024","EQ","82.40","83.47","81.79","81.92","83.00","82.76","82.50","167.00","77.91","81,010","66,83,635.43","1,212"
"20-Aug-2024","EQ","82.50","82.99","81.51","82.29","81.85","81.92","82.12","167.00","77.91","1,06,603","87,54,468.29","1,320"
"19-Aug-2024","EQ","81.51","83.35","81.46","81.46","82.24","82.29","82.66","167.00","77.91","75,539","62,43,784.53","1,106"
"16-Aug-2024","EQ","81.61","83.16","81.11","82.30","81.32","81.46","81.61","167.00","77.91","76,475","62,41,441.40","1,054"
"14-Aug-2024","EQ","84.90","84.90","80.10","83.32","82.50","82.30","81.49","167.00","77.91","1,66,017","1,35,28,497.01","1,825"
"13-Aug-2024","EQ","84.56","87.30","83.00","84.77","83.49","83.32","84.47","167.00","77.91","1,13,112","95,54,692.63","1,256"
"12-Aug-2024","EQ","85.00","85.94","84.15","85.64","85.30","84.77","84.89","167.00","77.91","57,159","48,52,271.27","767"
"09-Aug-2024","EQ","86.10","86.95","85.20","85.67","86.00","85.64","86.02","169.25","77.91","74,426","64,02,044.34","1,096"
"08-Aug-2024","EQ","86.80","87.29","85.10","85.09","85.58","85.67","86.35","169.25","77.91","84,033","72,56,064.64","1,227"
"07-Aug-2024","EQ","86.16","87.65","84.68","84.66","85.32","85.09","85.60","169.25","77.91","62,180","53,22,806.18","1,475"
"06-Aug-2024","EQ","83.99","87.65","81.50","83.71","86.50","84.66","85.88","169.25","77.91","3,14,786","2,70,34,472.14","2,943"
"05-Aug-2024","EQ","84.40","85.90","83.10","86.56","83.35","83.71","83.92","169.25","77.91","1,90,363","1,59,74,781.47","1,817"
"02-Aug-2024","EQ","86.00","87.58","84.83","86.91","86.74","86.56","86.51","169.25","77.91","96,516","83,49,599.17","1,632"
"01-Aug-2024","EQ","91.99","92.00","86.40","90.73","87.15","86.91","88.73","169.25","77.91","1,50,097","1,33,18,324.03","2,229"
"31-Jul-2024","EQ","92.80","93.35","90.52","91.34","90.91","90.73","91.97","169.25","77.91","4,58,137","4,21,36,369.81","2,808"
"30-Jul-2024","EQ","87.90","91.75","87.65","87.39","91.59","91.34","90.85","169.25","77.91","5,17,446","4,70,08,956.20","3,808"
"29-Jul-2024","EQ","84.79","88.78","84.79","84.57","88.24","87.39","86.90","169.25","77.91","3,10,927","2,70,20,340.18","2,968"
