"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","269.50","274.00","265.90","269.70","266.10","266.65","270.49","293.55","154.70","22,40,458","60,60,29,189.75","32,294"
"23-Aug-2024","EQ","266.15","271.70","265.70","265.40","270.10","269.70","268.88","293.55","154.70","16,45,742","44,25,10,083.90","26,012"
"22-Aug-2024","EQ","268.00","270.80","262.60","266.55","266.00","265.40","266.73","293.55","154.70","15,23,901","40,64,76,673.20","20,126"
"21-Aug-2024","EQ","255.00","272.30","248.40","253.20","266.80","266.55","262.50","293.55","154.70","38,16,254","1,00,17,73,077.70","46,843"
"20-Aug-2024","EQ","253.50","258.35","252.05","253.25","253.60","253.20","254.81","293.55","154.70","11,03,435","28,11,70,862.40","17,728"
"19-Aug-2024","EQ","250.95","257.80","249.00","251.40","253.75","253.25","253.52","293.55","154.70","15,16,767","38,45,27,189.95","23,736"
"16-Aug-2024","EQ","254.20","254.80","247.95","251.75","250.90","251.40","251.03","293.55","154.70","15,69,506","39,39,96,843.75","23,386"
"14-Aug-2024","EQ","245.10","253.65","241.30","243.20","251.60","251.75","248.83","293.55","154.70","36,95,322","91,95,21,830.65","40,181"
"13-Aug-2024","EQ","260.00","269.50","240.55","281.30","243.25","243.20","256.25","293.55","154.70","86,33,551","2,21,23,87,333.40","82,810"
"12-Aug-2024","EQ","281.00","289.50","276.05","279.55","284.00","281.30","282.96","293.55","154.70","32,78,372","92,76,58,098.25","45,297"
"09-Aug-2024","EQ","270.00","285.30","268.00","266.95","279.50","279.55","278.96","293.55","154.70","48,19,615","1,34,45,01,804.55","55,144"
"08-Aug-2024","EQ","262.70","273.30","258.70","263.00","268.30","266.95","267.48","293.55","154.70","28,21,843","75,47,94,415.55","39,634"
"07-Aug-2024","EQ","260.50","267.70","252.60","257.50","263.95","263.00","259.41","293.55","154.70","46,65,655","1,21,03,16,325.20","56,117"
"06-Aug-2024","EQ","273.40","274.30","255.85","265.60","258.00","257.50","267.29","293.55","154.70","29,99,979","80,18,49,603.65","41,300"
"05-Aug-2024","EQ","277.50","278.80","260.00","285.80","265.80","265.60","267.83","293.55","154.70","62,95,744","1,68,61,78,767.95","82,266"
"02-Aug-2024","EQ","281.00","293.55","278.30","284.70","287.15","285.80","287.46","293.55","154.70","51,90,490","1,49,20,59,848.95","60,245"
"01-Aug-2024","EQ","274.00","286.70","272.80","271.56","286.50","284.70","280.24","286.70","154.70","63,05,373","1,76,70,27,490.05","78,944"
"31-Jul-2024","EQ","268.30","274.50","263.20","266.99","271.26","271.56","270.32","276.40","154.70","34,02,961","91,99,03,960.26","37,615"
"30-Jul-2024","EQ","267.21","272.00","265.50","266.78","267.20","266.99","268.46","276.40","154.70","20,99,786","56,37,16,205.80","23,926"
"29-Jul-2024","EQ","270.00","276.40","262.85","267.45","266.50","266.78","268.88","276.40","154.70","50,19,488","1,34,96,43,687.83","52,623"
