"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","22.35","22.55","21.70","22.24","21.89","21.93","22.09","42.00","13.45","7,76,573","1,71,50,728.73","2,818"
"23-Aug-2024","EQ","22.17","22.54","21.71","22.08","22.23","22.24","22.24","42.00","13.30","12,83,761","2,85,57,168.83","3,877"
"22-Aug-2024","EQ","21.43","22.38","21.28","21.17","22.09","22.08","21.96","42.00","13.30","16,90,524","3,71,26,110.26","4,413"
"21-Aug-2024","EQ","21.61","21.61","20.95","21.32","21.34","21.17","21.12","42.00","13.30","10,39,716","2,19,61,553.53","3,485"
"20-Aug-2024","EQ","21.87","21.87","20.77","21.16","21.35","21.32","21.28","42.00","13.30","12,35,162","2,62,83,048.63","3,779"
"19-Aug-2024","EQ","19.49","21.20","19.33","19.28","21.20","21.16","20.69","42.00","13.30","22,88,269","4,73,54,555.45","5,844"
"16-Aug-2024","EQ","19.60","19.60","19.11","19.02","19.24","19.28","19.28","42.00","13.30","5,05,927","97,53,943.59","2,396"
"14-Aug-2024","EQ","19.45","19.58","18.98","19.45","19.20","19.02","19.15","42.00","13.30","8,72,184","1,67,02,104.75","3,639"
"13-Aug-2024","EQ","20.30","20.30","19.26","19.98","19.55","19.45","19.77","42.00","13.30","10,90,333","2,15,58,671.88","4,230"
"12-Aug-2024","EQ","20.55","20.70","19.84","21.13","20.00","19.98","20.07","42.00","13.30","19,00,984","3,81,54,484.70","6,529"
"09-Aug-2024","EQ","21.48","21.70","21.00","21.29","21.19","21.13","21.25","42.00","13.30","6,95,278","1,47,73,558.27","2,829"
"08-Aug-2024","EQ","21.58","22.01","21.15","21.41","21.34","21.29","21.53","42.00","13.30","8,92,071","1,92,05,478.84","4,001"
"07-Aug-2024","EQ","21.30","21.81","20.77","20.64","21.46","21.41","21.40","42.00","13.30","11,52,409","2,46,59,099.74","3,316"
"06-Aug-2024","EQ","21.39","21.55","20.56","20.93","20.65","20.64","21.02","42.00","13.30","5,69,330","1,19,69,993.85","2,455"
"05-Aug-2024","EQ","21.49","21.49","20.55","21.58","20.99","20.93","20.88","42.00","13.30","9,35,786","1,95,42,768.10","3,987"
"02-Aug-2024","EQ","21.86","22.00","21.05","21.75","21.77","21.58","21.70","42.00","13.30","5,49,339","1,19,21,198.38","2,198"
"01-Aug-2024","EQ","22.09","22.45","21.60","21.98","21.80","21.75","21.95","42.00","13.30","10,33,796","2,26,96,158.38","3,197"
"31-Jul-2024","EQ","22.00","22.45","21.90","21.98","22.10","21.98","22.05","42.00","13.30","8,23,074","1,81,45,279.56","2,503"
"30-Jul-2024","EQ","21.30","22.16","21.30","21.70","22.00","21.98","21.90","42.00","13.30","9,43,349","2,06,62,256.06","2,859"
"29-Jul-2024","EQ","22.26","23.05","21.59","21.97","21.82","21.70","22.16","42.00","13.30","23,55,303","5,22,04,351.23","4,941"
