"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","51.70","51.79","50.81","50.96","51.48","51.19","51.17","839.90","48.00","1,84,640","94,47,387.57","1,891"
"23-Aug-2024","EQ","51.75","51.80","50.81","51.25","50.95","50.96","51.13","839.90","48.00","1,38,174","70,64,928.67","1,809"
"22-Aug-2024","EQ","51.50","51.97","51.05","50.96","51.40","51.25","51.40","839.90","48.00","1,81,607","93,33,783.23","2,345"
"21-Aug-2024","EQ","51.40","51.90","50.60","51.13","51.25","50.96","51.38","839.90","48.00","2,16,021","1,10,99,280.87","2,210"
"20-Aug-2024","EQ","50.31","52.52","50.31","50.76","51.45","51.13","51.54","839.90","48.00","4,30,595","2,21,91,219.43","3,331"
"19-Aug-2024","EQ","50.20","50.99","49.56","49.49","50.70","50.76","50.32","839.90","48.00","1,92,413","96,81,273.37","2,247"
"16-Aug-2024","EQ","48.20","50.00","48.00","50.62","49.95","49.49","49.08","839.90","48.00","4,92,205","2,41,59,203.06","5,044"
"14-Aug-2024","EQ","51.85","51.89","50.25","51.86","50.73","50.62","50.74","839.90","48.10","2,36,778","1,20,15,247.86","2,632"
"13-Aug-2024","EQ","52.90","52.90","51.80","52.32","52.18","51.86","52.10","839.90","48.10","2,09,163","1,08,98,356.63","2,115"
"12-Aug-2024","EQ","51.65","53.01","50.42","51.65","52.30","52.32","51.89","839.90","48.10","2,86,259","1,48,53,859.38","3,091"
"09-Aug-2024","EQ","51.50","52.79","51.50","51.36","51.75","51.65","51.68","839.90","48.10","5,10,507","2,63,85,306.58","1,600"
"08-Aug-2024","EQ","51.94","52.00","51.25","51.28","51.38","51.36","51.48","839.90","48.10","15,32,407","7,88,85,172.74","1,776"
"07-Aug-2024","EQ","51.54","51.86","50.32","50.53","51.40","51.28","50.98","839.90","48.10","2,13,907","1,09,04,579.65","2,472"
"06-Aug-2024","EQ","50.87","52.50","50.33","50.09","50.59","50.53","50.96","839.90","48.10","3,07,056","1,56,48,869.91","2,779"
"05-Aug-2024","EQ","52.00","52.40","49.00","52.89","50.25","50.09","50.81","839.90","48.10","7,01,653","3,56,53,279.36","6,321"
"02-Aug-2024","EQ","52.80","53.20","52.60","53.22","52.96","52.89","52.94","839.90","48.10","1,89,098","1,00,11,106.53","1,993"
"01-Aug-2024","EQ","53.90","54.00","53.00","53.54","53.15","53.22","53.38","839.90","48.10","4,37,075","2,33,33,126.68","1,975"
"31-Jul-2024","EQ","54.07","54.31","53.36","53.53","53.65","53.54","53.61","839.90","48.10","2,78,602","1,49,35,546.31","2,201"
"30-Jul-2024","EQ","53.45","54.15","53.30","53.41","53.90","53.53","53.61","839.90","48.10","3,00,152","1,60,90,005.80","2,651"
"29-Jul-2024","EQ","54.11","54.49","53.10","53.57","53.59","53.41","53.66","839.90","48.10","4,38,195","2,35,13,293.54","4,041"
