"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","96.59","97.51","93.55","96.59","94.19","93.97","94.81","127.95","72.75","1,20,589","1,14,33,550.67","3,035"
"23-Aug-2024","EQ","97.70","97.71","95.44","96.39","96.90","96.59","96.79","127.95","72.75","42,575","41,20,962.81","1,318"
"22-Aug-2024","EQ","97.95","99.00","95.62","96.27","96.10","96.39","97.29","127.95","72.75","88,807","86,40,328.89","3,014"
"21-Aug-2024","EQ","95.48","98.00","94.35","95.52","96.95","96.27","96.43","127.95","72.75","67,933","65,50,549.98","2,371"
"20-Aug-2024","EQ","92.55","97.36","92.09","92.04","95.80","95.52","94.72","127.95","72.75","95,181","90,15,747.07","2,468"
"19-Aug-2024","EQ","93.50","94.20","91.40","92.13","92.19","92.04","92.55","127.95","72.75","67,983","62,91,707.61","1,721"
"16-Aug-2024","EQ","94.70","94.70","90.35","93.72","91.92","92.13","92.80","127.95","72.75","21,126","19,60,560.33","813"
"14-Aug-2024","EQ","92.98","94.18","89.51","91.86","93.80","93.72","91.82","127.95","72.75","69,096","63,44,519.12","1,968"
"13-Aug-2024","EQ","93.75","94.75","90.74","93.73","92.00","91.86","92.53","127.95","72.75","77,957","72,13,310.31","1,962"
"12-Aug-2024","EQ","95.10","95.86","93.20","95.90","93.40","93.73","93.99","127.95","72.75","50,687","47,64,036.00","2,103"
"09-Aug-2024","EQ","97.15","99.05","95.00","97.61","95.10","95.90","96.71","127.95","72.75","56,762","54,89,503.19","2,141"
"08-Aug-2024","EQ","95.01","99.00","94.24","94.23","98.48","97.61","96.94","127.95","72.75","1,59,897","1,55,01,042.25","4,773"
"07-Aug-2024","EQ","93.35","95.80","92.06","92.01","95.80","94.23","93.69","127.95","72.75","53,480","50,10,727.50","2,462"
"06-Aug-2024","EQ","95.55","96.96","91.20","94.14","93.50","92.01","94.86","127.95","72.75","99,816","94,68,449.28","3,544"
"05-Aug-2024","EQ","99.00","99.00","91.82","100.64","94.16","94.14","95.16","127.95","72.75","2,01,344","1,91,59,599.74","5,711"
"02-Aug-2024","EQ","102.45","103.64","100.01","102.68","100.56","100.64","101.72","127.95","72.75","67,642","68,80,648.15","2,662"
"01-Aug-2024","EQ","106.50","106.67","102.00","105.69","102.90","102.68","103.59","127.95","72.75","92,149","95,46,119.76","2,690"
"31-Jul-2024","EQ","100.95","109.90","100.21","100.95","106.26","105.69","107.01","127.95","72.75","7,15,001","7,65,12,706.91","14,048"
"30-Jul-2024","EQ","101.40","102.80","100.05","100.91","100.10","100.95","101.47","127.95","72.75","1,47,265","1,49,42,360.36","2,884"
"29-Jul-2024","EQ","101.61","102.90","100.00","100.83","100.70","100.91","101.37","127.95","72.75","65,039","65,92,816.07","1,958"
