"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","3,728.30","3,873.40","3,720.00","3,677.20","3,736.00","3,740.90","3,762.21","4,245.00","2,156.00","11,830","4,45,06,984.65","3,634"
"23-Aug-2024","EQ","3,650.00","3,748.00","3,640.00","3,630.35","3,663.00","3,677.20","3,686.99","4,245.00","2,156.00","5,559","2,04,95,956.50","2,055"
"22-Aug-2024","EQ","3,653.00","3,654.05","3,615.00","3,617.20","3,636.00","3,630.35","3,630.54","4,245.00","2,156.00","4,178","1,51,68,401.85","1,573"
"21-Aug-2024","EQ","3,663.30","3,669.70","3,610.05","3,645.45","3,620.50","3,617.20","3,629.52","4,245.00","2,156.00","2,782","1,00,97,318.35","1,014"
"20-Aug-2024","EQ","3,640.00","3,680.60","3,597.55","3,634.65","3,653.00","3,645.45","3,639.93","4,245.00","2,156.00","2,868","1,04,39,321.50","1,300"
"19-Aug-2024","EQ","3,688.35","3,688.35","3,622.00","3,652.20","3,630.00","3,634.65","3,642.74","4,245.00","2,156.00","2,918","1,06,29,521.30","1,370"
"16-Aug-2024","EQ","3,635.80","3,671.35","3,586.20","3,587.10","3,652.30","3,652.20","3,638.82","4,245.00","2,156.00","2,853","1,03,81,565.50","1,383"
"14-Aug-2024","EQ","3,710.00","3,741.45","3,570.55","3,683.25","3,590.00","3,587.10","3,609.12","4,245.00","2,156.00","7,550","2,72,48,862.50","2,408"
"13-Aug-2024","EQ","3,845.70","3,845.75","3,667.50","3,788.90","3,667.50","3,683.25","3,734.00","4,245.00","2,156.00","6,892","2,57,34,742.40","2,102"
"12-Aug-2024","EQ","3,909.35","3,955.20","3,761.50","3,901.65","3,800.00","3,788.90","3,849.53","4,245.00","2,156.00","5,121","1,97,13,434.55","1,700"
"09-Aug-2024","EQ","3,852.00","3,973.85","3,852.00","3,896.80","3,925.00","3,901.65","3,927.91","4,245.00","2,145.65","6,567","2,57,94,570.95","2,148"
"08-Aug-2024","EQ","3,830.00","3,924.95","3,824.55","3,834.95","3,887.35","3,896.80","3,893.05","4,245.00","2,145.65","9,869","3,84,20,468.85","2,706"
"07-Aug-2024","EQ","4,141.75","4,141.75","3,780.00","4,069.45","3,840.00","3,834.95","3,851.48","4,245.00","2,145.65","40,855","15,73,52,292.85","8,629"
"06-Aug-2024","EQ","3,947.55","4,087.90","3,947.55","3,947.55","4,077.95","4,069.45","4,047.06","4,245.00","2,145.65","12,304","4,97,95,044.35","3,266"
"05-Aug-2024","EQ","4,030.90","4,041.35","3,860.00","4,041.35","3,927.85","3,947.55","3,933.21","4,245.00","2,145.65","20,077","7,89,67,056.70","2,955"
"02-Aug-2024","EQ","4,000.00","4,095.95","3,921.00","4,036.00","4,026.60","4,041.35","4,046.49","4,245.00","2,145.65","8,172","3,30,67,882.05","2,223"
"01-Aug-2024","EQ","4,005.60","4,080.85","3,980.05","3,997.70","4,041.00","4,036.00","4,038.85","4,245.00","2,145.65","6,233","2,51,74,173.35","2,117"
"31-Jul-2024","EQ","4,016.95","4,039.95","3,963.05","3,981.15","4,000.00","3,997.70","4,005.83","4,245.00","2,145.65","7,229","2,89,58,153.65","1,905"
"30-Jul-2024","EQ","3,993.15","3,998.15","3,950.00","3,953.60","3,980.00","3,981.15","3,974.00","4,245.00","2,145.65","3,814","1,51,56,843.15","1,702"
"29-Jul-2024","EQ","3,993.60","4,059.80","3,930.00","3,993.60","3,951.00","3,953.60","3,974.28","4,245.00","2,145.65","7,202","2,86,22,785.95","2,761"
