"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","13.45","13.79","13.01","13.30","13.12","13.12","13.23","15.79","7.40","19,624","2,59,636.76","106"
"23-Aug-2024","BE","14.24","14.24","13.05","13.59","13.21","13.30","13.37","15.79","7.40","9,356","1,25,090.33","57"
"22-Aug-2024","BE","13.41","13.79","13.40","13.14","13.40","13.59","13.74","15.79","7.40","31,309","4,30,250.02","112"
"21-Aug-2024","BE","13.13","13.47","12.85","12.83","13.46","13.14","13.36","15.79","7.40","19,707","2,63,232.33","89"
"20-Aug-2024","BE","12.85","13.14","12.78","12.52","12.83","12.83","12.89","15.79","7.40","17,820","2,29,637.42","49"
"19-Aug-2024","BE","13.00","13.00","12.45","13.11","12.50","12.52","12.69","15.79","7.40","14,699","1,86,495.60","85"
"16-Aug-2024","BE","12.69","13.24","12.30","12.74","13.21","13.11","12.99","15.79","7.40","11,777","1,53,015.02","59"
"14-Aug-2024","BE","12.99","12.99","12.16","12.81","12.90","12.74","12.68","15.79","7.40","14,962","1,89,785.26","85"
"13-Aug-2024","BE","12.92","13.56","12.50","12.92","12.80","12.81","13.24","15.79","7.40","14,516","1,92,178.61","89"
"12-Aug-2024","BE","12.95","14.28","12.92","13.61","12.93","12.92","13.09","15.79","7.40","31,716","4,15,278.16","143"
"09-Aug-2024","BE","14.33","15.04","13.61","14.33","13.61","13.61","13.73","15.79","7.40","38,592","5,29,696.40","117"
"08-Aug-2024","EQ","15.79","15.79","14.33","15.09","14.33","14.33","14.82","15.79","7.40","83,683","12,40,501.31","235"
"07-Aug-2024","EQ","15.09","15.09","15.09","14.38","15.09","15.09","15.09","15.09","7.40","2,618","39,505.62","22"
"06-Aug-2024","EQ","14.38","14.38","14.38","13.70","14.38","14.38","14.38","14.60","7.40","3,556","51,135.28","26"
"05-Aug-2024","EQ","13.70","13.70","13.70","13.05","13.70","13.70","13.70","14.60","7.40","37,927","5,19,599.90","63"
"02-Aug-2024","EQ","13.00","13.05","12.68","12.43","13.05","13.05","13.03","14.60","7.40","99,109","12,91,261.04","225"
"01-Aug-2024","EQ","12.43","12.43","12.43","11.84","12.43","12.43","12.43","14.60","7.40","12,377","1,53,846.11","19"
"31-Jul-2024","EQ","11.84","11.84","11.84","11.28","11.84","11.84","11.84","14.60","7.40","22,199","2,62,836.16","38"
"30-Jul-2024","EQ","11.70","11.89","11.21","11.47","11.39","11.28","11.35","14.60","7.40","27,960","3,17,277.58","168"
"29-Jul-2024","EQ","11.39","11.55","11.20","11.17","11.49","11.47","11.47","14.60","7.40","10,624","1,21,819.04","130"
