"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","41.61","42.82","41.61","40.79","42.82","42.82","42.82","63.45","23.10","7,010","3,00,166.99","61"
"23-Aug-2024","BE","38.85","40.79","38.85","38.85","40.79","40.79","40.49","63.45","23.10","4,464","1,80,760.96","62"
"22-Aug-2024","BE","37.00","38.85","35.25","37.00","38.85","38.85","38.15","63.45","23.10","4,299","1,63,993.13","54"
"21-Aug-2024","BE","38.83","38.83","37.00","36.99","37.00","37.00","38.78","63.45","23.10","574","22,262.12","15"
"20-Aug-2024","BE","37.04","37.04","35.50","37.04","37.04","36.99","36.24","63.45","23.10","1,703","61,714.02","35"
"19-Aug-2024","BE","38.30","39.40","37.00","38.10","39.40","37.04","37.79","63.45","23.10","1,080","40,812.30","32"
"16-Aug-2024","BE","38.00","38.10","38.00","38.52","38.10","38.10","38.00","63.45","23.10","773","29,374.70","9"
"14-Aug-2024","BE","38.52","38.52","38.52","38.52","38.52","38.52","38.52","63.45","23.10","130","5,007.60","3"
"13-Aug-2024","BE","38.52","38.52","38.52","38.52","38.52","38.52","38.52","63.45","23.10","435","16,756.20","6"
"12-Aug-2024","BE","38.50","38.52","38.50","38.50","38.52","38.52","38.50","63.45","23.10","2,673","1,02,912.92","10"
"09-Aug-2024","BE","38.99","38.99","38.50","39.00","38.50","38.50","38.55","63.45","23.10","1,410","54,358.50","7"
"08-Aug-2024","BE","39.10","39.10","39.00","39.10","39.00","39.00","39.10","63.45","23.10","490","19,157.00","6"
"07-Aug-2024","BE","38.98","39.10","38.98","39.00","39.10","39.10","39.07","63.45","23.10","1,314","51,340.92","15"
"06-Aug-2024","BE","39.01","39.01","39.00","39.01","39.00","39.00","39.01","63.45","23.10","150","5,851.05","4"
"05-Aug-2024","BE","38.25","39.01","38.25","38.25","39.01","39.01","38.82","63.45","23.10","2,040","79,191.28","23"
"02-Aug-2024","BE","38.25","38.25","38.25","38.25","38.25","38.25","38.25","63.45","23.10","6","229.50","1"
"01-Aug-2024","BE","38.25","38.25","38.25","37.50","38.25","38.25","38.25","63.45","23.10","1,421","54,353.25","10"
"31-Jul-2024","BE","37.50","37.50","37.50","37.50","37.50","37.50","37.50","63.45","23.10","517","19,387.50","4"
"30-Jul-2024","BE","37.53","37.53","37.50","37.53","37.50","37.50","37.53","63.45","23.10","127","4,765.89","4"
"29-Jul-2024","BE","38.30","38.30","37.53","38.30","37.53","37.53","37.54","63.45","23.10","614","23,048.81","13"
