"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","113.85","118.55","113.85","117.38","118.15","118.19","118.16","123.40","68.55","6,68,784","7,90,23,186.34","6,684"
"23-Aug-2024","EQ","117.97","117.97","115.25","117.47","117.50","117.38","117.44","123.40","68.51","8,32,630","9,77,83,762.86","5,568"
"22-Aug-2024","EQ","118.76","118.76","117.22","117.77","117.50","117.47","117.54","123.40","68.51","9,20,850","10,82,40,917.42","5,900"
"21-Aug-2024","EQ","118.95","118.95","117.00","117.41","117.89","117.77","117.75","123.40","68.51","9,45,768","11,13,61,487.94","5,046"
"20-Aug-2024","EQ","118.20","118.20","116.68","116.68","117.42","117.41","117.32","123.40","68.51","15,11,861","17,73,76,519.46","5,766"
"19-Aug-2024","EQ","117.45","117.45","116.20","115.98","116.85","116.68","116.90","123.40","68.51","16,65,713","19,47,17,871.41","7,836"
"16-Aug-2024","EQ","115.97","117.80","114.52","114.38","116.03","115.98","115.18","123.40","68.51","11,67,659","13,44,85,749.78","7,599"
"14-Aug-2024","EQ","115.82","115.97","114.03","115.06","114.55","114.38","114.59","123.40","68.51","15,39,449","17,64,00,941.84","8,284"
"13-Aug-2024","EQ","118.50","118.50","114.90","116.49","115.20","115.06","115.88","123.40","68.51","15,44,565","17,89,78,640.46","9,059"
"12-Aug-2024","EQ","120.40","120.40","114.55","116.88","116.59","116.49","116.32","123.40","68.51","14,90,924","17,34,17,718.25","8,868"
"09-Aug-2024","EQ","117.25","117.95","113.90","116.14","117.50","116.88","116.63","123.40","68.51","22,00,679","25,66,57,922.27","7,738"
"08-Aug-2024","EQ","120.75","120.75","115.90","117.24","116.60","116.14","116.27","123.40","68.51","15,97,161","18,56,95,198.95","7,473"
"07-Aug-2024","EQ","115.95","117.50","114.63","114.23","117.40","117.24","116.69","123.40","68.51","16,65,866","19,43,94,378.17","6,876"
"06-Aug-2024","EQ","119.40","119.40","114.01","115.90","115.00","114.23","115.54","123.40","68.51","13,24,586","15,30,44,602.85","10,794"
"05-Aug-2024","EQ","117.99","117.99","113.81","118.97","116.00","115.90","115.27","123.40","68.51","35,21,396","40,59,27,874.78","24,538"
"02-Aug-2024","EQ","123.40","123.40","118.70","121.11","119.65","118.97","119.38","123.40","68.51","23,24,248","27,74,71,246.24","14,816"
"01-Aug-2024","EQ","123.33","123.33","120.02","120.72","121.13","121.11","121.22","123.33","68.51","15,67,029","18,99,60,847.06","8,344"
"31-Jul-2024","EQ","121.37","121.50","119.25","120.13","120.79","120.72","120.49","121.64","68.51","13,16,324","15,85,97,310.16","6,791"
"30-Jul-2024","EQ","119.37","120.93","119.03","119.37","120.06","120.13","120.34","121.64","68.51","20,87,547","25,12,24,069.47","6,877"
"29-Jul-2024","EQ","118.62","120.00","118.62","118.42","119.54","119.37","119.45","121.64","68.51","10,83,197","12,93,90,902.27","7,283"
