"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","732.00","732.00","715.45","731.95","723.80","723.25","723.77","752.45","463.45","13,97,958","1,01,18,03,112.90","43,938"
"23-Aug-2024","EQ","734.85","741.15","728.20","733.00","732.55","731.95","735.19","752.45","463.45","10,79,889","79,39,21,376.75","37,616"
"22-Aug-2024","EQ","744.85","748.85","731.30","741.45","733.45","733.00","736.04","752.45","463.45","16,34,542","1,20,30,83,374.35","37,919"
"21-Aug-2024","EQ","748.55","752.45","738.95","742.50","740.55","741.45","744.93","752.45","463.45","27,26,706","2,03,12,01,689.65","69,004"
"20-Aug-2024","EQ","719.80","748.30","719.40","720.05","747.00","742.50","737.10","748.30","463.45","28,67,974","2,11,39,79,815.80","91,776"
"19-Aug-2024","EQ","720.00","724.50","714.55","720.05","717.40","720.05","718.74","746.65","463.45","4,72,715","33,97,60,592.45","27,239"
"16-Aug-2024","EQ","711.00","722.50","702.65","718.20","721.90","720.05","711.15","746.65","463.45","20,69,373","1,47,16,34,925.50","42,910"
"14-Aug-2024","EQ","725.60","728.55","715.00","724.30","717.25","718.20","718.77","746.65","463.45","6,39,172","45,94,17,359.40","28,309"
"13-Aug-2024","EQ","730.00","739.30","720.30","728.75","725.25","724.30","725.73","746.65","463.45","11,66,273","84,63,95,175.95","53,011"
"12-Aug-2024","EQ","731.10","741.00","726.20","739.25","729.50","728.75","733.30","746.65","463.45","13,76,694","1,00,95,26,840.00","36,455"
"09-Aug-2024","EQ","741.10","746.65","735.75","738.65","738.65","739.25","741.45","746.65","463.45","12,46,603","92,42,91,364.45","46,400"
"08-Aug-2024","EQ","722.55","744.00","717.05","726.05","738.95","738.65","732.59","744.00","463.45","19,31,611","1,41,50,83,655.70","63,175"
"07-Aug-2024","EQ","708.25","728.50","705.00","700.05","722.65","726.05","716.99","742.20","463.45","14,72,564","1,05,58,13,669.40","48,080"
"06-Aug-2024","EQ","718.00","726.90","697.35","714.20","703.10","700.05","709.81","742.20","463.45","13,50,870","95,88,63,386.10","60,619"
"05-Aug-2024","EQ","705.00","725.85","705.00","728.60","715.40","714.20","715.91","742.20","463.45","22,69,484","1,62,47,52,834.55","64,075"
"02-Aug-2024","EQ","731.80","739.00","725.00","734.70","729.00","728.60","731.92","742.20","463.45","15,12,837","1,10,72,81,230.35","34,632"
"01-Aug-2024","EQ","735.70","742.20","730.55","735.95","733.15","734.70","735.31","742.20","463.45","19,88,202","1,46,19,49,544.50","36,466"
"31-Jul-2024","EQ","723.85","739.60","719.55","723.85","739.60","735.95","733.33","739.60","463.45","9,71,621","71,25,16,584.50","44,522"
"30-Jul-2024","EQ","722.80","733.35","698.05","719.05","721.85","723.85","722.13","733.35","463.45","26,95,889","1,94,67,94,888.95","1,35,074"
"29-Jul-2024","EQ","724.90","729.15","716.00","724.90","720.45","719.05","720.39","731.45","463.45","8,98,295","64,71,24,539.95","36,753"
