"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","280.00","283.00","267.00","275.68","270.00","269.53","274.63","283.00","70.00","16,84,418","46,25,85,399.41","41,971"
"23-Aug-2024","EQ","260.50","279.00","260.01","260.14","279.00","275.68","272.11","279.00","70.00","30,14,733","82,03,32,006.68","55,897"
"22-Aug-2024","EQ","254.29","263.99","252.09","254.36","260.50","260.14","258.76","263.99","70.00","17,59,996","45,54,23,659.65","39,906"
"21-Aug-2024","EQ","250.98","261.00","248.50","248.95","254.00","254.36","254.46","261.59","70.00","27,81,609","70,78,19,744.99","47,091"
"20-Aug-2024","EQ","227.50","261.59","224.17","221.77","249.80","248.95","247.47","261.59","70.00","81,54,724","2,01,80,26,717.19","1,33,522"
"19-Aug-2024","EQ","215.50","224.90","215.46","211.55","222.20","221.77","221.01","239.90","70.00","19,45,821","43,00,46,345.32","38,699"
"16-Aug-2024","EQ","210.00","216.40","209.02","206.85","212.50","211.55","213.06","239.90","63.25","8,94,202","19,05,17,256.87","30,511"
"14-Aug-2024","EQ","206.57","208.00","202.12","203.52","207.35","206.85","204.85","239.90","63.25","12,00,590","24,59,43,443.52","31,540"
"13-Aug-2024","EQ","209.00","212.15","202.55","209.32","204.70","203.52","208.10","239.90","63.25","7,32,289","15,23,88,494.79","26,057"
"12-Aug-2024","EQ","205.00","210.86","200.43","208.99","209.44","209.32","207.35","239.90","63.25","9,73,377","20,18,27,818.39","38,216"
"09-Aug-2024","EQ","209.77","217.90","207.00","208.51","208.80","208.99","212.73","239.90","63.25","14,86,524","31,62,25,535.06","46,776"
"08-Aug-2024","EQ","207.80","214.01","205.50","206.74","206.39","208.51","210.76","239.90","63.25","11,02,788","23,24,20,212.92","26,819"
"07-Aug-2024","EQ","200.00","207.89","199.01","196.00","207.20","206.74","203.15","239.90","63.25","6,49,714","13,19,90,408.67","18,399"
"06-Aug-2024","EQ","200.00","206.89","195.00","198.18","195.55","196.00","201.92","239.90","63.25","7,47,966","15,10,26,592.29","24,752"
"05-Aug-2024","EQ","205.50","209.42","196.24","212.28","197.50","198.18","202.84","239.90","63.25","14,08,756","28,57,46,115.38","41,381"
"02-Aug-2024","EQ","212.42","216.40","210.60","215.82","212.90","212.28","213.50","239.90","63.25","20,78,741","44,38,14,937.91","52,281"
"01-Aug-2024","EQ","219.37","222.80","201.43","212.34","216.00","215.82","213.37","239.90","63.25","80,22,554","1,71,17,44,077.86","1,14,979"
"31-Jul-2024","EQ","214.11","220.90","208.58","214.20","215.49","212.34","214.47","239.90","63.25","23,16,403","49,68,06,860.89","46,133"
"30-Jul-2024","EQ","200.00","219.37","198.50","197.12","216.37","214.20","210.31","239.90","63.25","40,06,838","84,26,67,119.10","76,408"
"29-Jul-2024","EQ","196.00","200.85","194.99","193.25","197.88","197.12","198.01","239.90","63.25","9,41,173","18,63,58,792.72","24,888"
