"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","553.35","560.00","544.00","548.35","549.00","547.10","549.69","632.70","374.50","15,83,358","87,03,61,951.65","57,291"
"23-Aug-2024","EQ","554.05","560.80","547.00","552.80","548.00","548.35","552.36","632.70","374.50","9,77,115","53,97,23,712.60","39,579"
"22-Aug-2024","EQ","555.00","559.50","551.05","552.10","553.80","552.80","554.75","632.70","374.50","13,16,796","73,04,93,886.00","42,951"
"21-Aug-2024","EQ","560.95","560.95","551.00","558.50","554.70","552.10","553.35","632.70","374.50","11,11,375","61,49,79,258.70","25,853"
"20-Aug-2024","EQ","550.05","565.00","550.05","550.00","557.95","558.50","558.51","632.70","374.50","6,38,652","35,66,96,703.45","30,197"
"19-Aug-2024","EQ","554.50","560.20","546.95","550.15","548.05","550.00","553.57","632.70","374.50","8,44,726","46,76,13,270.60","29,099"
"16-Aug-2024","EQ","546.00","562.45","545.00","550.35","549.55","550.15","554.75","632.70","374.50","7,34,213","40,73,01,716.00","29,899"
"14-Aug-2024","EQ","551.00","560.00","531.05","550.30","546.50","550.35","545.16","632.70","374.50","22,63,553","1,23,40,09,208.70","98,324"
"13-Aug-2024","EQ","562.00","566.00","547.30","558.35","550.65","550.30","554.19","632.70","374.50","10,52,887","58,35,04,523.40","37,650"
"12-Aug-2024","EQ","576.95","581.60","556.00","577.75","556.90","558.35","566.80","632.70","374.50","12,59,415","71,38,36,613.75","39,964"
"09-Aug-2024","EQ","562.50","579.00","553.00","555.70","577.70","577.75","568.52","632.70","343.35","14,38,148","81,76,12,816.50","53,179"
"08-Aug-2024","EQ","569.00","570.00","553.05","569.55","555.00","555.70","560.54","632.70","343.35","8,23,836","46,17,91,838.10","30,608"
"07-Aug-2024","EQ","569.00","572.40","559.00","565.40","568.00","569.55","567.58","632.70","343.35","12,69,029","72,02,69,923.50","37,818"
"06-Aug-2024","EQ","575.05","588.35","558.00","581.00","558.00","565.40","567.84","632.70","343.35","18,21,803","1,03,44,83,658.20","72,454"
"05-Aug-2024","EQ","578.90","585.80","565.00","595.95","573.10","581.00","574.97","632.70","343.35","26,07,067","1,49,89,81,952.30","81,463"
"02-Aug-2024","EQ","591.00","597.80","581.50","595.65","595.25","595.95","591.30","632.70","335.60","13,61,169","80,48,62,600.50","37,395"
"01-Aug-2024","EQ","605.05","613.20","590.00","608.80","596.50","595.65","602.99","632.70","335.60","13,50,860","81,45,50,381.20","52,186"
"31-Jul-2024","EQ","600.00","610.90","593.35","601.15","607.50","608.80","603.74","632.70","335.60","18,27,727","1,10,34,76,690.75","51,588"
"30-Jul-2024","EQ","594.50","604.50","587.25","587.25","600.00","601.15","596.39","632.70","335.60","25,07,716","1,49,55,71,745.20","50,213"
"29-Jul-2024","EQ","589.00","599.90","583.50","581.45","586.90","587.25","592.31","632.70","335.60","28,11,831","1,66,54,65,272.05","72,654"
