"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,457.15","1,465.15","1,444.05","1,449.40","1,465.00","1,453.45","1,451.38","1,605.00","1,250.00","38,181","5,54,15,313.40","6,324"
"23-Aug-2024","EQ","1,470.00","1,475.00","1,443.95","1,470.05","1,443.95","1,449.40","1,458.63","1,605.00","1,250.00","40,798","5,95,09,363.75","4,817"
"22-Aug-2024","EQ","1,485.00","1,499.00","1,465.00","1,469.45","1,468.00","1,470.05","1,479.78","1,605.00","1,250.00","62,411","9,23,54,726.20","8,192"
"21-Aug-2024","EQ","1,464.80","1,475.20","1,454.10","1,454.30","1,467.95","1,469.45","1,468.59","1,605.00","1,250.00","53,830","7,90,54,170.65","6,236"
"20-Aug-2024","EQ","1,460.00","1,463.95","1,441.20","1,446.50","1,458.00","1,454.30","1,450.89","1,605.00","1,250.00","32,672","4,74,03,531.55","5,314"
"19-Aug-2024","EQ","1,457.00","1,457.00","1,435.00","1,435.35","1,441.00","1,446.50","1,443.45","1,605.00","1,250.00","24,328","3,51,16,166.55","5,069"
"16-Aug-2024","EQ","1,440.00","1,451.00","1,432.25","1,436.85","1,435.00","1,435.35","1,437.08","1,605.00","1,250.00","21,525","3,09,33,044.65","3,291"
"14-Aug-2024","EQ","1,426.55","1,489.75","1,426.55","1,432.15","1,452.00","1,436.85","1,454.06","1,605.00","1,250.00","80,300","11,67,61,352.35","12,176"
"13-Aug-2024","EQ","1,437.00","1,441.65","1,429.05","1,432.65","1,434.60","1,432.15","1,433.67","1,605.00","1,250.00","27,792","3,98,44,438.35","4,330"
"12-Aug-2024","EQ","1,422.45","1,444.00","1,414.00","1,422.45","1,431.45","1,432.65","1,430.17","1,605.00","1,250.00","33,193","4,74,71,728.20","5,186"
"09-Aug-2024","EQ","1,460.00","1,460.00","1,413.05","1,437.00","1,423.90","1,422.45","1,428.90","1,679.95","1,250.00","58,271","8,32,63,187.85","9,680"
"08-Aug-2024","EQ","1,459.00","1,471.90","1,423.35","1,478.20","1,460.00","1,437.00","1,449.20","1,679.95","1,250.00","50,502","7,31,87,413.60","7,397"
"07-Aug-2024","EQ","1,442.00","1,490.75","1,410.00","1,474.00","1,475.00","1,478.20","1,454.28","1,679.95","1,250.00","2,02,747","29,48,50,937.35","26,294"
"06-Aug-2024","EQ","1,469.35","1,494.95","1,459.00","1,457.75","1,485.00","1,474.00","1,477.31","1,679.95","1,250.00","70,347","10,39,24,065.50","11,265"
"05-Aug-2024","EQ","1,460.95","1,490.60","1,432.05","1,481.00","1,452.00","1,457.75","1,463.60","1,679.95","1,250.00","1,04,108","15,23,72,465.45","14,765"
"02-Aug-2024","EQ","1,502.70","1,508.00","1,478.00","1,502.70","1,482.85","1,481.00","1,490.93","1,679.95","1,250.00","63,570","9,47,78,381.30","10,019"
"01-Aug-2024","EQ","1,514.00","1,517.30","1,493.05","1,498.95","1,502.25","1,502.70","1,505.43","1,679.95","1,250.00","74,766","11,25,55,094.05","10,579"
"31-Jul-2024","EQ","1,483.00","1,557.00","1,483.00","1,494.60","1,503.50","1,498.95","1,527.21","1,679.95","1,250.00","3,12,541","47,73,14,883.85","33,138"
"30-Jul-2024","EQ","1,480.00","1,506.00","1,475.00","1,485.15","1,491.05","1,494.60","1,493.17","1,679.95","1,250.00","78,889","11,77,95,030.85","12,417"
"29-Jul-2024","EQ","1,496.95","1,498.25","1,480.00","1,491.95","1,482.80","1,485.15","1,486.80","1,679.95","1,250.00","44,625","6,63,48,244.70","7,285"
