"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","435.45","439.30","428.55","434.35","432.60","433.25","432.14","453.30","166.35","61,48,376","2,65,69,65,636.40","51,256"
"23-Aug-2024","EQ","436.45","438.50","432.45","434.90","433.35","434.35","435.84","453.30","157.55","52,62,529","2,29,36,01,529.20","43,380"
"22-Aug-2024","EQ","426.50","439.20","426.00","424.90","435.65","434.90","433.53","453.30","157.55","1,09,47,918","4,74,61,99,785.90","1,04,298"
"21-Aug-2024","EQ","429.50","431.45","423.50","428.30","424.60","424.90","426.57","453.30","157.55","69,30,168","2,95,62,12,639.45","66,100"
"20-Aug-2024","EQ","421.00","430.35","419.60","418.65","429.70","428.30","424.98","453.30","157.55","93,43,091","3,97,06,14,596.30","77,842"
"19-Aug-2024","EQ","413.70","422.00","412.10","411.80","419.85","418.65","418.01","453.30","157.55","62,17,589","2,59,89,96,373.70","1,21,275"
"16-Aug-2024","EQ","406.45","413.20","405.45","403.05","412.00","411.80","409.96","453.30","157.35","40,01,648","1,64,05,20,502.60","1,00,294"
"14-Aug-2024","EQ","408.00","408.90","400.65","405.30","404.45","403.05","404.59","453.30","157.35","69,00,595","2,79,19,24,656.25","73,518"
"13-Aug-2024","EQ","418.00","418.00","403.20","415.90","403.55","405.30","408.80","453.30","157.35","70,84,701","2,89,62,56,897.35","64,381"
"12-Aug-2024","EQ","415.00","421.00","413.70","414.95","416.25","415.90","416.88","453.30","157.35","47,43,010","1,97,72,76,767.95","1,46,787"
"09-Aug-2024","EQ","416.00","422.35","414.40","417.00","416.20","414.95","417.35","453.30","157.35","60,11,495","2,50,88,86,600.95","59,049"
"08-Aug-2024","EQ","424.00","426.05","416.35","421.30","417.50","417.00","421.09","453.30","157.35","1,40,07,899","5,89,85,35,016.90","1,19,730"
"07-Aug-2024","EQ","420.05","422.50","414.50","414.55","421.65","421.30","417.74","453.30","157.35","1,25,73,368","5,25,24,47,938.25","1,22,610"
"06-Aug-2024","EQ","418.05","427.30","413.20","413.65","414.60","414.55","420.98","453.30","157.35","1,35,83,635","5,71,83,92,539.45","1,19,400"
"05-Aug-2024","EQ","417.90","425.40","407.00","421.10","412.90","413.65","414.87","453.30","157.35","1,46,01,326","6,05,76,05,519.75","1,20,700"
"02-Aug-2024","EQ","422.50","427.50","420.10","428.75","421.00","421.10","422.29","453.30","157.35","76,85,638","3,24,55,80,190.75","76,515"
"01-Aug-2024","EQ","435.90","436.60","424.30","433.15","429.00","428.75","429.77","453.30","157.35","1,06,96,575","4,59,70,70,347.25","87,695"
"31-Jul-2024","EQ","448.00","449.70","430.35","446.80","433.25","433.15","436.43","453.30","157.35","2,32,15,256","10,13,19,05,386.60","1,52,451"
"30-Jul-2024","EQ","444.50","453.30","443.60","443.40","447.95","446.80","448.08","453.30","157.35","1,01,82,321","4,56,25,01,199.05","90,962"
"29-Jul-2024","EQ","448.90","449.00","441.10","444.85","444.90","443.40","443.71","449.00","157.35","1,09,17,593","4,84,42,57,720.05","93,300"
