"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","698.90","698.95","681.15","692.15","694.45","695.25","691.54","725.00","421.35","78,457","5,42,56,367.50","6,675"
"23-Aug-2024","EQ","676.65","696.05","668.10","676.20","690.50","692.15","686.11","725.00","421.35","1,02,803","7,05,34,656.80","7,882"
"22-Aug-2024","EQ","678.05","689.95","671.40","678.05","676.00","676.20","678.38","725.00","421.35","68,171","4,62,45,804.20","5,249"
"21-Aug-2024","EQ","699.00","701.60","675.00","699.35","677.00","678.05","681.84","725.00","421.35","1,23,416","8,41,49,619.55","10,803"
"20-Aug-2024","EQ","689.65","720.40","687.35","687.35","697.00","699.35","704.09","725.00","421.35","1,95,133","13,73,90,888.80","12,409"
"19-Aug-2024","EQ","671.45","725.00","671.45","666.75","688.00","687.35","699.86","725.00","421.35","2,83,029","19,80,80,400.25","20,564"
"16-Aug-2024","EQ","648.55","672.90","637.65","649.70","667.00","666.75","656.57","696.95","421.35","1,82,808","12,00,26,455.85","17,447"
"14-Aug-2024","EQ","674.90","679.85","638.15","652.20","646.00","649.70","656.74","696.95","421.35","1,60,806","10,56,08,420.05","16,175"
"13-Aug-2024","EQ","609.90","696.95","600.05","605.15","653.00","652.20","655.47","696.95","421.35","6,69,177","43,86,22,726.40","43,967"
"12-Aug-2024","EQ","609.90","609.90","592.60","598.55","609.00","605.15","604.98","649.80","421.35","1,94,780","11,78,37,669.15","11,770"
"09-Aug-2024","EQ","620.00","634.00","595.30","608.65","596.00","598.55","607.42","649.80","421.35","72,877","4,42,67,169.40","5,450"
"08-Aug-2024","EQ","625.60","636.40","602.00","628.85","602.00","608.65","618.55","649.80","421.35","74,806","4,62,71,299.50","7,727"
"07-Aug-2024","EQ","614.00","635.10","608.45","610.10","629.20","628.85","624.75","649.80","421.35","75,564","4,72,08,555.85","6,704"
"06-Aug-2024","EQ","597.80","622.15","593.05","597.25","606.00","610.10","609.07","649.80","421.35","82,946","5,05,20,064.90","9,430"
"05-Aug-2024","EQ","611.00","614.60","586.25","620.80","594.60","597.25","599.42","649.80","421.35","1,65,726","9,93,39,462.05","14,845"
"02-Aug-2024","EQ","617.15","630.95","611.05","627.15","624.25","620.80","620.06","649.80","421.35","1,22,785","7,61,34,542.60","12,484"
"01-Aug-2024","EQ","635.25","638.95","613.05","632.90","623.00","627.15","623.27","649.80","421.35","96,714","6,02,79,305.80","9,097"
"31-Jul-2024","EQ","640.55","640.55","622.55","632.25","626.80","632.90","631.17","649.80","421.35","75,185","4,74,54,285.50","4,736"
"30-Jul-2024","EQ","643.40","649.80","621.00","632.90","639.90","632.25","637.93","649.80","421.35","76,311","4,86,80,790.80","5,904"
"29-Jul-2024","EQ","610.40","639.00","601.40","609.75","637.00","632.90","619.05","639.00","421.35","1,14,595","7,09,39,772.95","12,672"
