"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","219.65","227.83","216.27","218.68","226.60","225.91","224.07","663.00","124.25","99,77,883","2,23,57,11,179.86","94,448"
"23-Aug-2024","EQ","224.90","224.95","217.44","223.29","219.79","218.68","219.68","663.00","124.25","52,22,675","1,14,72,98,523.30","43,155"
"22-Aug-2024","EQ","216.00","232.00","214.05","215.34","224.25","223.29","225.43","663.00","124.25","1,74,82,035","3,94,10,02,954.08","96,808"
"21-Aug-2024","EQ","219.90","220.20","214.11","219.36","214.95","215.34","215.96","663.00","124.25","50,99,340","1,10,12,29,029.01","36,453"
"20-Aug-2024","EQ","213.60","222.00","208.50","213.38","219.80","219.36","217.03","663.00","124.25","1,19,25,763","2,58,82,26,571.36","68,365"
"19-Aug-2024","EQ","215.70","221.40","212.10","212.74","213.20","213.38","215.18","663.00","124.25","95,40,491","2,05,29,23,311.66","54,877"
"16-Aug-2024","EQ","215.00","217.90","204.20","210.14","213.30","212.74","211.08","663.00","124.25","1,47,90,812","3,12,20,05,100.80","85,234"
"14-Aug-2024","EQ","224.00","224.78","207.33","215.78","211.28","210.14","212.90","663.00","124.25","2,85,56,114","6,07,96,75,425.33","1,96,975"
"13-Aug-2024","EQ","217.89","236.95","213.55","208.55","217.60","215.78","225.35","663.00","124.25","7,99,79,080","18,02,35,92,402.88","5,33,568"
"12-Aug-2024","EQ","186.98","209.07","178.52","174.23","209.07","208.55","197.05","663.00","124.25","9,23,51,312","18,19,76,66,533.00","4,40,315"
"09-Aug-2024","EQ","175.10","177.00","171.60","171.91","173.96","174.23","174.72","663.00","124.25","81,98,197","1,43,23,91,413.64","77,209"
"08-Aug-2024","EQ","172.88","176.65","170.80","172.63","172.50","171.91","173.91","663.00","124.25","80,13,791","1,39,36,44,689.64","72,500"
"07-Aug-2024","EQ","172.06","174.99","167.22","166.18","172.80","172.63","171.05","663.00","124.25","85,50,090","1,46,24,81,817.69","61,312"
"06-Aug-2024","EQ","173.00","179.51","164.07","170.47","166.20","166.18","171.45","663.00","124.25","1,31,31,240","2,25,12,96,479.75","1,05,684"
"05-Aug-2024","EQ","172.00","176.54","166.69","179.38","170.00","170.47","170.84","663.00","124.25","1,60,07,533","2,73,47,26,691.34","1,19,658"
"02-Aug-2024","EQ","174.11","184.20","171.17","178.02","178.94","179.38","180.43","663.00","124.25","1,12,76,291","2,03,45,43,771.48","85,539"
"01-Aug-2024","EQ","184.39","184.95","175.80","183.62","178.20","178.02","179.78","663.00","124.25","1,07,62,857","1,93,49,13,594.23","86,871"
"31-Jul-2024","EQ","176.83","190.00","174.73","175.91","183.20","183.62","183.72","663.00","124.25","2,63,07,292","4,83,30,46,972.93","2,38,105"
"30-Jul-2024","EQ","173.90","179.63","171.50","173.61","176.05","175.91","176.53","663.00","124.25","1,15,67,572","2,04,20,07,413.69","88,515"
"29-Jul-2024","EQ","175.31","180.96","171.55","170.22","174.00","173.61","175.71","663.00","124.25","1,70,02,539","2,98,74,41,034.03","1,51,037"
