"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","911.00","914.25","879.00","911.75","901.20","901.40","893.30","965.00","456.45","95,282","8,51,15,169.65","8,032"
"23-Aug-2024","EQ","910.00","926.55","904.35","909.55","905.20","911.75","913.00","965.00","456.45","43,963","4,01,38,145.20","4,543"
"22-Aug-2024","EQ","935.00","955.00","892.20","928.05","907.55","909.55","920.40","965.00","456.45","1,14,193","10,51,03,600.50","10,634"
"21-Aug-2024","EQ","916.80","934.00","909.15","919.95","920.00","928.05","921.89","965.00","456.45","43,277","3,98,96,797.60","3,779"
"20-Aug-2024","EQ","906.50","925.05","904.95","908.05","911.00","919.95","917.12","965.00","456.45","52,389","4,80,47,144.45","5,667"
"19-Aug-2024","EQ","890.00","928.75","877.05","890.20","905.55","908.05","909.52","965.00","456.45","90,218","8,20,55,308.00","6,611"
"16-Aug-2024","EQ","878.10","902.00","860.00","874.35","888.00","890.20","883.41","965.00","456.45","99,884","8,82,38,635.60","9,227"
"14-Aug-2024","EQ","875.80","893.00","864.10","873.10","877.00","874.35","876.95","965.00","456.45","64,716","5,67,52,546.15","7,859"
"13-Aug-2024","EQ","924.15","935.00","866.00","918.25","878.00","873.10","898.47","965.00","456.45","1,31,764","11,83,86,351.50","12,941"
"12-Aug-2024","EQ","923.85","965.00","911.00","910.65","923.00","918.25","939.74","965.00","456.45","4,86,155","45,68,60,246.80","31,061"
"09-Aug-2024","EQ","857.45","927.70","852.65","854.20","914.00","910.65","896.05","927.70","442.15","3,21,173","28,77,86,281.90","13,455"
"08-Aug-2024","EQ","820.60","869.90","820.55","820.65","852.70","854.20","854.01","886.40","442.15","2,47,263","21,11,64,569.30","19,022"
"07-Aug-2024","EQ","808.00","840.65","807.10","808.00","812.50","820.65","819.12","886.40","442.15","2,09,958","17,19,80,528.65","20,013"
"06-Aug-2024","EQ","820.00","886.40","794.95","801.10","802.45","808.00","837.23","886.40","442.15","3,09,954","25,95,01,958.70","32,059"
"05-Aug-2024","EQ","754.95","810.95","737.95","759.50","799.90","801.10","794.27","832.60","442.15","3,54,706","28,17,33,718.85","30,284"
"02-Aug-2024","EQ","789.00","807.10","750.25","797.50","770.00","759.50","767.92","832.60","426.00","1,16,755","8,96,58,194.10","12,511"
"01-Aug-2024","EQ","791.15","823.10","783.00","796.60","799.00","797.50","806.15","832.60","426.00","73,691","5,94,06,115.00","6,711"
"31-Jul-2024","EQ","810.00","832.60","786.55","796.10","797.30","796.60","808.34","832.60","426.00","1,22,418","9,89,54,970.55","10,985"
"30-Jul-2024","EQ","767.55","803.20","767.55","772.90","799.40","796.10","791.22","809.00","426.00","1,00,756","7,97,20,499.65","7,010"
"29-Jul-2024","EQ","782.70","798.40","769.95","773.80","776.00","772.90","780.31","809.00","426.00","32,383","2,52,68,670.90","4,044"
